   r,   rd, expe_skew_gap, pred_skew_gap, expe_index_gap, pred_index_gap
  3,   6,0.00000, 0.00000, 0.00000, -0.06612
  4,   8,0.00000, 0.00000, 0.00000, -0.02598
  5,  10,-0.00000, 0.00000, 0.00000, -0.01172
  6,  12,0.00000, -0.00000, 0.00000, -0.00561
  7,  14,0.00000, -0.00000, 0.00000, -0.00275
  8,  16,0.00000, -0.00000, 0.00000, -0.00136
  9,  18,0.00000, -0.00000, 0.00000, -0.00068
 10,  20,0.00000, -0.00000, 0.00000, -0.00034
 11,  22,0.00000, -0.00000, 0.00000, -0.00017
 12,  24,0.00000, -0.00000, 0.00000, -0.00008
 13,  26,0.00000, -0.00000, 0.00000, -0.00004
 14,  28,0.00000, -0.00000, 0.00000, -0.00002
 15,  30,0.00000, -0.00000, 0.00000, -0.00001
 16,  32,0.00000, -0.00000, 0.00000, -0.00001
 17,  34,0.00000, -0.00000, 0.00000, -0.00000
 18,  36,0.00000, -0.00000, 0.00000, -0.00000
 19,  38,0.00000, -0.00000, 0.00000, -0.00000
 20,  40,0.00000, -0.00000, 0.00000, -0.00000
 21,  42,0.00000, -0.00000, 0.00000, -0.00000
 22,  44,0.00000, -0.00000, 0.00000, -0.00000
 23,  46,0.00000, -0.00000, 0.00000, -0.00000
 24,  48,0.00000, -0.00000, 0.00000, -0.00000
 25,  50,0.00000, -0.00000, 0.00000, -0.00000
 26,  52,0.00000, -0.00000, 0.00000, -0.00000
 27,  54,0.00000, -0.00000, 0.00000, -0.00000
 28,  56,0.00000, -0.00000, 0.00000, -0.00000
 29,  58,0.00000, -0.00000, 0.00000, -0.00000
 30,  60,0.00000, -0.00000, 0.00000, -0.00000
 31,  62,0.00000, -0.00000, 0.00000, -0.00000
 32,  64,0.00000, -0.00000, 0.00000, -0.00000
 33,  66,0.00000, -0.00000, 0.00000, -0.00000
 34,  68,0.00000, -0.00000, 0.00000, -0.00000
 35,  70,0.00000, -0.00000, 0.00000, -0.00000
 36,  72,0.00000, -0.00000, 0.00000, -0.00000
 37,  74,0.00000, -0.00000, 0.00000, -0.00000
