   r,   rd, expe_skew_gap, pred_skew_gap, expe_index_gap, pred_index_gap
  2,  16,-0.05598, -0.10328, 0.00000, -0.00933
  3,  24,-0.04532, -0.06679, 0.00000, -0.00033
  4,  32,-0.03993, -0.04930, 0.00000, -0.00002
  5,  40,-0.03396, -0.03906, 0.00000, -0.00000
  6,  48,-0.02962, -0.03233, 0.00000, -0.00000
  7,  56,-0.02570, -0.02758, 0.00000, -0.00000
  8,  64,-0.02241, -0.02405, 0.00000, -0.00000
  9,  72,-0.02124, -0.02131, 0.00000, -0.00000
