   r,   rd, expe_skew_gap, pred_skew_gap, expe_index_gap, pred_index_gap
  2,   8,-0.05381, -0.07009, 0.00000, -0.09100
  3,  12,-0.03559, -0.04509, 0.00000, -0.02705
  4,  16,-0.02883, -0.03319, 0.00000, -0.01176
  5,  20,-0.02560, -0.02624, 0.00000, -0.00561
  6,  24,-0.02023, -0.02170, 0.00000, -0.00275
  7,  28,-0.01723, -0.01849, 0.00000, -0.00136
  8,  32,-0.01574, -0.01611, 0.00000, -0.00068
  9,  36,-0.01452, -0.01427, 0.00000, -0.00034
 10,  40,-0.01267, -0.01281, 0.00000, -0.00017
 11,  44,-0.01209, -0.01162, 0.00000, -0.00008
 12,  48,-0.01046, -0.01063, 0.00000, -0.00004
 13,  52,-0.01079, -0.00980, 0.00000, -0.00002
 14,  56,-0.00910, -0.00909, 0.00000, -0.00001
 15,  60,-0.00906, -0.00847, 0.00000, -0.00001
 16,  64,-0.00792, -0.00793, 0.00000, -0.00000
 17,  68,-0.00795, -0.00746, 0.00000, -0.00000
 18,  72,-0.00705, -0.00704, 0.00000, -0.00000
 19,  76,-0.00708, -0.00667, 0.00000, -0.00000
