   r,   rd, expe_skew_gap, pred_skew_gap, expe_index_gap, pred_index_gap
  2,  16,-0.08664, -0.10328, -0.01378, -0.04131
  3,  24,-0.06130, -0.06679, -0.00866, -0.01298
  4,  32,-0.04784, -0.04930, -0.00503, -0.00581
  5,  40,-0.03756, -0.03906, -0.00234, -0.00280
  6,  48,-0.03400, -0.03233, -0.00061, -0.00138
  7,  56,-0.02755, -0.02758, -0.00095, -0.00068
  8,  64,-0.02422, -0.02405, -0.00043, -0.00034
  9,  72,-0.02028, -0.02131, -0.00009, -0.00017
