   r,   rd, expe_skew_gap, pred_skew_gap, expe_index_gap, pred_index_gap
  2,   8,-0.01874, -0.07009, 0.00000, -0.04986
  3,  12,-0.01545, -0.04509, 0.00000, -0.00543
  4,  16,-0.01513, -0.03319, 0.00000, -0.00082
  5,  20,-0.01400, -0.02624, 0.00000, -0.00014
  6,  24,-0.01393, -0.02170, 0.00000, -0.00003
  7,  28,-0.01239, -0.01849, 0.00000, -0.00001
  8,  32,-0.01185, -0.01611, 0.00000, -0.00000
  9,  36,-0.01126, -0.01427, 0.00000, -0.00000
 10,  40,-0.01050, -0.01281, 0.00000, -0.00000
 11,  44,-0.00996, -0.01162, 0.00000, -0.00000
 12,  48,-0.00927, -0.01063, 0.00000, -0.00000
 13,  52,-0.00891, -0.00980, 0.00000, -0.00000
 14,  56,-0.00802, -0.00909, 0.00000, -0.00000
 15,  60,-0.00756, -0.00847, 0.00000, -0.00000
 16,  64,-0.00701, -0.00793, 0.00000, -0.00000
 17,  68,-0.00683, -0.00746, 0.00000, -0.00000
 18,  72,-0.00674, -0.00704, 0.00000, -0.00000
 19,  76,-0.00670, -0.00667, 0.00000, -0.00000
