beta,  beta_eq3,  beta_eq4,  beta_eq5,  beta_eq7,  beta_eq8,  beta_eq9, beta_eq15, beta_eq16
 760,   -36.914,     1.841,   -43.479,   -37.981,     5.028,   -30.593,   -76.899,    10.902
 770,   -37.252,     1.837,   -43.903,   -38.397,     5.019,   -30.946,   -77.670,    10.886
 780,   -37.590,     1.834,   -44.330,   -38.798,     5.010,   -31.293,   -78.442,    10.862
 790,   -37.927,     1.830,   -44.751,   -39.210,     5.002,   -31.637,   -79.216,    10.844
 800,   -38.263,     1.827,   -45.174,   -39.613,     4.994,   -31.992,   -79.991,    10.837
 810,   -38.597,     1.823,   -45.597,   -40.016,     4.985,   -32.328,   -80.745,    10.822
 820,   -38.931,     1.820,   -46.014,   -40.426,     4.977,   -32.674,   -81.500,    10.800
 830,   -39.264,     1.817,   -46.436,   -40.822,     4.970,   -33.018,   -82.257,    10.782
 840,   -39.597,     1.813,   -46.852,   -41.228,     4.962,   -33.356,   -83.016,    10.777
 850,   -39.930,     1.810,   -47.269,   -41.625,     4.954,   -33.705,   -83.776,    10.763
 860,   -40.260,     1.807,   -47.687,   -42.024,     4.947,   -34.038,   -84.537,    10.743
 870,   -40.590,     1.804,   -48.099,   -42.428,     4.940,   -34.378,   -85.288,    10.726
 880,   -40.920,     1.801,   -48.516,   -42.819,     4.932,   -34.720,   -86.031,    10.721
 890,   -41.249,     1.798,   -48.927,   -43.220,     4.926,   -35.052,   -86.776,    10.709
 900,   -41.577,     1.795,   -49.339,   -43.612,     4.918,   -35.394,   -87.523,    10.689
 910,   -41.905,     1.792,   -49.753,   -44.006,     4.912,   -35.726,   -88.270,    10.673
 920,   -42.232,     1.790,   -50.160,   -44.405,     4.905,   -36.060,   -89.020,    10.669
 930,   -42.557,     1.787,   -50.572,   -44.791,     4.899,   -36.399,   -89.766,    10.658
 940,   -42.882,     1.784,   -50.979,   -45.187,     4.892,   -36.726,   -90.499,    10.640
 950,   -43.207,     1.782,   -51.386,   -45.575,     4.886,   -37.063,   -91.232,    10.624
 960,   -43.532,     1.779,   -51.796,   -45.964,     4.879,   -37.393,   -91.968,    10.621
 970,   -43.855,     1.776,   -52.199,   -46.358,     4.874,   -37.722,   -92.705,    10.610
 980,   -44.178,     1.774,   -52.606,   -46.740,     4.867,   -38.059,   -93.443,    10.594
 990,   -44.500,     1.772,   -53.009,   -47.132,     4.862,   -38.381,   -94.182,    10.578
1000,   -44.821,     1.769,   -53.412,   -47.516,     4.856,   -38.712,   -94.907,    10.575
