beta,  beta_eq3,  beta_eq4,  beta_eq5,  beta_eq7,  beta_eq8,  beta_eq9, beta_eq15, beta_eq16
 730,   -35.895,     1.853,   -42.586,   -37.517,     4.700,   -30.301,   -75.829,     9.897
 740,   -36.236,     1.849,   -43.012,   -37.936,     4.691,   -30.652,   -76.609,     9.880
 750,   -36.575,     1.845,   -43.437,   -38.335,     4.685,   -31.001,   -77.378,     9.854
 760,   -36.914,     1.841,   -43.865,   -38.745,     4.676,   -31.344,   -78.137,     9.853
 770,   -37.253,     1.837,   -44.285,   -39.151,     4.670,   -31.697,   -78.898,     9.846
 780,   -37.590,     1.834,   -44.710,   -39.552,     4.661,   -32.035,   -79.661,     9.830
 790,   -37.927,     1.830,   -45.131,   -39.965,     4.655,   -32.379,   -80.425,     9.806
 800,   -38.263,     1.827,   -45.550,   -40.358,     4.647,   -32.725,   -81.190,     9.805
 810,   -38.597,     1.823,   -45.974,   -40.763,     4.642,   -33.061,   -81.957,     9.799
 820,   -38.931,     1.820,   -46.388,   -41.163,     4.634,   -33.408,   -82.703,     9.784
 830,   -39.265,     1.817,   -46.807,   -41.559,     4.629,   -33.743,   -83.451,     9.762
 840,   -39.597,     1.813,   -47.223,   -41.966,     4.621,   -34.082,   -84.201,     9.761
 850,   -39.930,     1.810,   -47.637,   -42.355,     4.616,   -34.425,   -84.953,     9.755
 860,   -40.260,     1.807,   -48.056,   -42.754,     4.608,   -34.756,   -85.706,     9.742
 870,   -40.590,     1.804,   -48.465,   -43.150,     4.604,   -35.096,   -86.460,     9.722
 880,   -40.920,     1.801,   -48.879,   -43.541,     4.596,   -35.430,   -87.203,     9.720
 890,   -41.249,     1.798,   -49.291,   -43.943,     4.592,   -35.763,   -87.940,     9.715
 900,   -41.577,     1.795,   -49.700,   -44.327,     4.585,   -36.104,   -88.678,     9.703
 910,   -41.905,     1.792,   -50.113,   -44.721,     4.581,   -36.429,   -89.418,     9.684
 920,   -42.232,     1.790,   -50.519,   -45.113,     4.574,   -36.764,   -90.160,     9.682
 930,   -42.557,     1.787,   -50.928,   -45.500,     4.570,   -37.096,   -90.903,     9.678
 940,   -42.883,     1.784,   -51.336,   -45.896,     4.563,   -37.423,   -91.642,     9.666
 950,   -43.207,     1.782,   -51.741,   -46.277,     4.559,   -37.760,   -92.369,     9.648
 960,   -43.532,     1.779,   -52.149,   -46.667,     4.553,   -38.083,   -93.097,     9.646
 970,   -43.855,     1.776,   -52.551,   -47.054,     4.549,   -38.413,   -93.827,     9.643
 980,   -44.178,     1.774,   -52.956,   -47.436,     4.543,   -38.743,   -94.558,     9.632
 990,   -44.500,     1.772,   -53.359,   -47.828,     4.539,   -39.065,   -95.291,     9.615
1000,   -44.821,     1.769,   -53.760,   -48.206,     4.533,   -39.397,   -96.026,     9.613
