   r,   rd, expe_gap, pred_gap
  5,   5,-0.01546,0.00000
  6,   6,-0.01786,0.00000
  7,   7,-0.01187,0.00000
  8,   8,-0.00337,0.00000
  9,   9,-0.00488,0.00000
 10,  10,0.00065,0.00000
 11,  11,-0.00107,0.00000
 12,  12,-0.00045,0.00000
 13,  13,0.00084,0.00000
 14,  14,-0.00330,0.00000
 15,  15,0.00289,0.00000
 16,  16,-0.00532,0.00000
 17,  17,0.00029,0.00000
 18,  18,-0.00060,0.00000
 19,  19,0.00002,0.00000
 20,  20,0.00371,0.00000
 21,  21,0.00057,0.00000
 22,  22,-0.00017,0.00000
 23,  23,0.00047,0.00000
 24,  24,-0.00283,0.00000
 25,  25,-0.00293,0.00000
 26,  26,-0.00351,0.00000
 27,  27,-0.00180,0.00000
 28,  28,0.00251,0.00000
 29,  29,-0.00053,0.00000
 30,  30,0.00159,0.00000
 31,  31,0.00100,0.00000
 32,  32,-0.00040,0.00000
 33,  33,-0.00072,0.00000
 34,  34,0.00017,0.00000
 35,  35,0.00024,0.00000
 36,  36,0.00107,0.00000
 37,  37,-0.00052,0.00000
 38,  38,0.00099,0.00000
 39,  39,0.00053,0.00000
 40,  40,-0.00078,0.00000
 41,  41,0.00046,0.00000
 42,  42,0.00511,0.00000
 43,  43,0.00320,0.00000
 44,  44,0.00315,0.00000
 45,  45,0.00128,0.00000
 46,  46,0.00305,0.00000
 47,  47,-0.00097,0.00000
 48,  48,0.00199,0.00000
 49,  49,0.00050,0.00000
 50,  50,0.00048,0.00000
 51,  51,0.00003,0.00000
 52,  52,0.00222,0.00000
 53,  53,0.00195,0.00000
 54,  54,-0.00047,0.00000
 55,  55,0.00017,0.00000
 56,  56,0.00018,0.00000
 57,  57,-0.00014,0.00000
 58,  58,0.00063,0.00000
 59,  59,0.00100,0.00000
 60,  60,0.00204,0.00000
 61,  61,0.00140,0.00000
 62,  62,0.00079,0.00000
 63,  63,0.00030,0.00000
 64,  64,0.00272,0.00000
 65,  65,0.00038,0.00000
 66,  66,0.00285,0.00000
 67,  67,0.00196,0.00000
 68,  68,0.00212,0.00000
 69,  69,0.00380,0.00000
 70,  70,0.00326,0.00000
 71,  71,0.00555,0.00000
 72,  72,0.00341,0.00000
 73,  73,0.00275,0.00000
 74,  74,0.00402,0.00000
 75,  75,0.00399,0.00000
 76,  76,0.00447,0.00000
 77,  77,0.00353,0.00000
 78,  78,0.00368,0.00000
