   r,   rd, expe_gap, pred_gap
  1,   8,0.32215,0.33851
  2,  16,0.18790,0.16925
  3,  24,0.12016,0.11284
  4,  32,0.08801,0.08463
  5,  40,0.07140,0.06770
  6,  48,0.05885,0.05642
  7,  56,0.04946,0.04836
  8,  64,0.04331,0.04231
  9,  72,0.03869,0.03761
