   r,   rd, expe_gap, pred_gap
  2,   8,0.22132,0.20118
  3,  12,0.14500,0.13412
  4,  16,0.10773,0.10059
  5,  20,0.08370,0.08047
  6,  24,0.07286,0.06706
  7,  28,0.05920,0.05748
  8,  32,0.05239,0.05029
  9,  36,0.04645,0.04471
 10,  40,0.04000,0.04024
 11,  44,0.03791,0.03658
 12,  48,0.03326,0.03353
 13,  52,0.02931,0.03095
 14,  56,0.03011,0.02874
 15,  60,0.02717,0.02682
 16,  64,0.02590,0.02515
 17,  68,0.02507,0.02367
 18,  72,0.02348,0.02235
 19,  76,0.02239,0.02118
