   r,   rd, expe_gap, pred_gap
  1,   6,0.33950,0.32432
  2,  12,0.18298,0.16216
  3,  18,0.11460,0.10811
  4,  24,0.08575,0.08108
  5,  30,0.06541,0.06486
  6,  36,0.05579,0.05405
  7,  42,0.04684,0.04633
  8,  48,0.04164,0.04054
  9,  54,0.03668,0.03604
 10,  60,0.03185,0.03243
 11,  66,0.03021,0.02948
 12,  72,0.02801,0.02703
