   r,   rd, expe_gap, pred_gap
  2,   8,0.19120,0.17329
  3,  12,0.11781,0.11552
  4,  16,0.08632,0.08664
  5,  20,0.06786,0.06931
  6,  24,0.05638,0.05776
  7,  28,0.04944,0.04951
  8,  32,0.04288,0.04332
  9,  36,0.03986,0.03851
 10,  40,0.03347,0.03466
 11,  44,0.03411,0.03151
 12,  48,0.03084,0.02888
 13,  52,0.02751,0.02666
 14,  56,0.02466,0.02476
 15,  60,0.02277,0.02310
 16,  64,0.02148,0.02166
 17,  68,0.02048,0.02039
 18,  72,0.01903,0.01925
 19,  76,0.01919,0.01824
