   r,   rd, expe_gap, pred_gap
  3,   6,0.14725,0.18310
  4,   8,0.11300,0.13733
  5,  10,0.09652,0.10986
  6,  12,0.07497,0.09155
  7,  14,0.06555,0.07847
  8,  16,0.06461,0.06866
  9,  18,0.05771,0.06103
 10,  20,0.05266,0.05493
 11,  22,0.04788,0.04994
 12,  24,0.04146,0.04578
 13,  26,0.04087,0.04225
 14,  28,0.03636,0.03924
 15,  30,0.03586,0.03662
 16,  32,0.03318,0.03433
 17,  34,0.03079,0.03231
 18,  36,0.03080,0.03052
 19,  38,0.02894,0.02891
 20,  40,0.02676,0.02747
 21,  42,0.02810,0.02616
 22,  44,0.02520,0.02497
 23,  46,0.02339,0.02388
 24,  48,0.02404,0.02289
 25,  50,0.02362,0.02197
 26,  52,0.02133,0.02113
 27,  54,0.02162,0.02034
 28,  56,0.02103,0.01962
 29,  58,0.01880,0.01894
 30,  60,0.02049,0.01831
 31,  62,0.02027,0.01772
 32,  64,0.01972,0.01717
 33,  66,0.01821,0.01665
 34,  68,0.01896,0.01616
 35,  70,0.01929,0.01569
 36,  72,0.01715,0.01526
