  i, ellQ, ellK 
  0, 1.75745, 1.75745
  1, 1.75745, 
  2, 1.73170, 1.73170
  3, 1.73170, 
  4, 1.65309, 1.65309
  5, 1.65309, 
  6, 1.63778, 1.63778
  7, 1.63778, 
  8, 1.64015, 1.64015
  9, 1.64015, 
 10, 1.61202, 1.61202
 11, 1.61202, 
 12, 1.53662, 1.53662
 13, 1.53662, 
 14, 1.51587, 1.51587
 15, 1.51587, 
 16, 1.50462, 1.50462
 17, 1.50462, 
 18, 1.46019, 1.46019
 19, 1.46019, 
 20, 1.37770, 1.37770
 21, 1.37770, 
 22, 1.32295, 1.32295
 23, 1.32295, 
 24, 1.32034, 1.32034
 25, 1.32034, 
 26, 1.25030, 1.25030
 27, 1.25030, 
 28, 1.21689, 1.21689
 29, 1.21689, 
 30, 1.14504, 1.14504
 31, 1.14504, 
 32, 1.09884, 1.09884
 33, 1.09884, 
 34, 1.07773, 1.07773
 35, 1.07773, 
 36, 1.00481, 1.00481
 37, 1.00481, 
 38, 0.97188, 0.97188
 39, 0.97188, 
 40, 0.95116, 0.95116
 41, 0.95116, 
 42, 0.87276, 0.87276
 43, 0.87276, 
 44, 0.82330, 0.82330
 45, 0.82330, 
 46, 0.79604, 0.79604
 47, 0.79604, 
 48, 0.73407, 0.73407
 49, 0.73407, 
 50, 0.71500, 0.71500
 51, 0.71500, 
 52, 0.64537, 0.64537
 53, 0.64537, 
 54, 0.60366, 0.60366
 55, 0.60366, 
 56, 0.56264, 0.56264
 57, 0.56264, 
 58, 0.51098, 0.51098
 59, 0.51098, 
 60, 0.46739, 0.46739
 61, 0.46739, 
 62, 0.38696, 0.38696
 63, 0.38696, 
 64, 0.38883, 0.38883
 65, 0.38883, 
 66, 0.33047, 0.33047
 67, 0.33047, 
 68, 0.26362, 0.26362
 69, 0.26362, 
 70, 0.23233, 0.23233
 71, 0.23233, 
 72, 0.17749, 0.17749
 73, 0.17749, 
 74, 0.12476, 0.12476
 75, 0.12476, 
 76, 0.08215, 0.08215
 77, 0.08215, 
 78, 0.05706, 0.05706
 79, 0.05706, 
 80, 0.00613, 0.00613
 81, 0.00613, 
 82, -0.03967, -0.03967
 83, -0.03967, 
 84, -0.11571, -0.11571
 85, -0.11571, 
 86, -0.16216, -0.16216
 87, -0.16216, 
 88, -0.21080, -0.21080
 89, -0.21080, 
 90, -0.24446, -0.24446
 91, -0.24446, 
 92, -0.30710, -0.30710
 93, -0.30710, 
 94, -0.36927, -0.36927
 95, -0.36927, 
 96, -0.41666, -0.41666
 97, -0.41666, 
 98, -0.42662, -0.42662
 99, -0.42662, 
100, -0.48307, -0.48307
101, -0.48307, 
102, -0.52736, -0.52736
103, -0.52736, 
104, -0.55372, -0.55372
105, -0.55372, 
106, -0.58373, -0.58373
107, -0.58373, 
108, -0.63145, -0.63145
109, -0.63145, 
110, -0.69549, -0.69549
111, -0.69549, 
112, -0.70384, -0.70384
113, -0.70384, 
114, -0.77696, -0.77696
115, -0.77696, 
116, -0.79081, -0.79081
117, -0.79081, 
118, -0.86579, -0.86579
119, -0.86579, 
120, -0.91327, -0.91327
121, -0.91327, 
122, -0.95733, -0.95733
123, -0.95733, 
124, -1.00787, -1.00787
125, -1.00787, 
126, -1.05192, -1.05192
127, -1.05192, 
128, -1.09057, -1.09057
129, -1.09057, 
130, -1.16055, -1.16055
131, -1.16055, 
132, -1.20504, -1.20504
133, -1.20504, 
134, -1.27010, -1.27010
135, -1.27010, 
136, -1.29525, -1.29525
137, -1.29525, 
138, -1.37742, -1.37742
139, -1.37742, 
140, -1.47174, -1.47174
141, -1.47174, 
142, -1.49418, -1.49418
143, -1.49418, 
144, -1.58568, -1.58568
145, -1.58568, 
146, -1.65024, -1.65024
147, -1.65024, 
148, -1.65259, -1.65259
149, -1.65259, 
150, -1.74882, -1.74882
151, -1.74882, 
152, -1.81602, -1.81602
153, -1.81602, 
154, -1.92791, -1.92791
155, -1.92791, 
156, -1.87730, -1.87730
157, -1.87730, 
158, -2.10970, -2.10970
159, -2.10970, 
