  i, ellQ, ellK 
  0, 1.71145, 1.61901
  1, 1.66114, 
  2, 1.60831, 
  3, 1.49512, 
  4, 1.60749, 1.51204
  5, 1.54800, 
  6, 1.49670, 
  7, 1.39599, 
  8, 1.59532, 1.50568
  9, 1.56463, 
 10, 1.50492, 
 11, 1.35786, 
 12, 1.49807, 1.38428
 13, 1.40117, 
 14, 1.35021, 
 15, 1.28768, 
 16, 1.41779, 1.32530
 17, 1.36732, 
 18, 1.31453, 
 19, 1.20155, 
 20, 1.34658, 1.24206
 21, 1.26658, 
 22, 1.21639, 
 23, 1.13869, 
 24, 1.27951, 1.18511
 25, 1.22294, 
 26, 1.17123, 
 27, 1.06674, 
 28, 1.19148, 1.09661
 29, 1.13359, 
 30, 1.08207, 
 31, 0.97931, 
 32, 1.09385, 1.00342
 33, 1.05244, 
 34, 0.99726, 
 35, 0.87014, 
 36, 1.00060, 0.91039
 37, 0.96056, 
 38, 0.90492, 
 39, 0.77547, 
 40, 0.90227, 0.80450
 41, 0.83684, 
 42, 0.78614, 
 43, 0.69273, 
 44, 0.82704, 0.72532
 45, 0.75275, 
 46, 0.70251, 
 47, 0.61897, 
 48, 0.74170, 0.61897
 49, 0.63030, 
 50, 0.57773, 
 51, 0.52617, 
 52, 0.65496, 0.56381
 53, 0.60980, 
 54, 0.55574, 
 55, 0.43472, 
 56, 0.59490, 0.50528
 57, 0.56156, 
 58, 0.50319, 
 59, 0.36148, 
 60, 0.47148, 0.37861
 61, 0.41969, 
 62, 0.36717, 
 63, 0.25610, 
 64, 0.41491, 0.30415
 65, 0.32327, 
 66, 0.27269, 
 67, 0.20573, 
 68, 0.34107, 0.25036
 69, 0.29806, 
 70, 0.24338, 
 71, 0.11892, 
 72, 0.25052, 0.13233
 73, 0.14632, 
 74, 0.09464, 
 75, 0.03785, 
 76, 0.17472, 0.08510
 77, 0.14314, 
 78, 0.08390, 
 79, -0.06134, 
 80, 0.08204, -0.01468
 81, 0.01921, 
 82, -0.03172, 
 83, -0.12827, 
 84, -0.05932, -0.17096
 85, -0.15251, 
 86, -0.20319, 
 87, -0.26882, 
 88, -0.10364, -0.20407
 89, -0.17516, 
 90, -0.22549, 
 91, -0.31200, 
 92, -0.19178, -0.29371
 93, -0.26650, 
 94, -0.31673, 
 95, -0.39982, 
 96, -0.28676, -0.38075
 97, -0.34210, 
 98, -0.39399, 
 99, -0.50015, 
100, -0.36909, -0.46424
101, -0.42776, 
102, -0.47917, 
103, -0.58093, 
104, -0.42648, -0.52649
105, -0.49707, 
106, -0.54744, 
107, -0.63498, 
108, -0.50523, -0.61600
109, -0.59689, 
110, -0.64747, 
111, -0.71441, 
112, -0.57149, -0.67486
113, -0.64920, 
114, -0.69938, 
115, -0.77939, 
116, -0.66790, -0.76409
117, -0.72938, 
118, -0.78045, 
119, -0.87865, 
120, -0.81786, -0.92232
121, -0.89775, 
122, -0.94793, 
123, -1.02575, 
124, -0.85990, -0.97496
125, -0.95895, 
126, -1.01010, 
127, -1.07090, 
128, -0.95430, -1.05185
129, -1.01917, 
130, -1.06992, 
131, -1.16400, 
132, -0.99029, -1.08074
133, -1.03185, 
134, -1.08698, 
135, -1.21383, 
136, -1.16052, -1.26428
137, -1.23901, 
138, -1.28920, 
139, -1.36841, 
140, -1.16902, -1.26034
141, -1.21494, 
142, -1.26880, 
143, -1.38861, 
144, -1.31950, -1.43280
145, -1.41557, 
146, -1.46646, 
147, -1.52967, 
148, -1.50448, -1.60387
149, -1.57369, 
150, -1.62413, 
151, -1.71320, 
152, -1.52096, -1.63602
153, -1.62002, 
154, -1.67117, 
155, -1.73195, 
156, -1.72314, -1.81528
157, -1.77232, 
158, -1.82539, 
159, -1.94026, 
