  i, ellQ, ellK
  0, 1.689748, 1.596702
  1, 1.639310, 
  2, 1.585950, 
  3, 1.471808, 
  4, 1.624566, 1.531354
  5, 1.572720, 
  6, 1.519888, 
  7, 1.408244, 
  8, 1.582208, 1.484710
  9, 1.522868, 
 10, 1.469490, 
 11, 1.364282, 
 12, 1.508340, 1.412688
 13, 1.454442, 
 14, 1.400232, 
 15, 1.287738, 
 16, 1.412332, 1.315270
 17, 1.352762, 
 18, 1.299946, 
 19, 1.196036, 
 20, 1.340040, 1.231150
 21, 1.254994, 
 22, 1.203042, 
 23, 1.126530, 
 24, 1.258434, 1.162300
 25, 1.198196, 
 26, 1.146584, 
 27, 1.045978, 
 28, 1.169236, 1.074986
 29, 1.116214, 
 30, 1.062928, 
 31, 0.951570, 
 32, 1.081564, 0.989746
 33, 1.034390, 
 34, 0.980654, 
 35, 0.862380, 
 36, 0.989742, 0.894710
 37, 0.934796, 
 38, 0.881688, 
 39, 0.772612, 
 40, 0.920760, 0.821554
 41, 0.856094, 
 42, 0.803660, 
 43, 0.705700, 
 44, 0.832672, 0.733438
 45, 0.768328, 
 46, 0.715696, 
 47, 0.617058, 
 48, 0.739340, 0.634568
 49, 0.662750, 
 50, 0.610696, 
 51, 0.525496, 
 52, 0.673790, 0.579534
 53, 0.619584, 
 54, 0.566880, 
 55, 0.457876, 
 56, 0.577480, 0.483252
 57, 0.524282, 
 58, 0.471104, 
 59, 0.360144, 
 60, 0.486502, 0.395578
 61, 0.443764, 
 62, 0.388736, 
 63, 0.263314, 
 64, 0.419480, 0.317232
 65, 0.346768, 
 66, 0.295274, 
 67, 0.207406, 
 68, 0.335142, 0.243394
 69, 0.291866, 
 70, 0.235866, 
 71, 0.110696, 
 72, 0.244834, 0.140938
 73, 0.168964, 
 74, 0.117404, 
 75, 0.032550, 
 76, 0.160134, 0.069448
 77, 0.119320, 
 78, 0.063576, 
 79, -0.065240, 
 80, 0.069584, -0.028150
 81, 0.006380, 
 82, -0.045354, 
 83, -0.143220, 
 84, -0.025568, -0.122946
 85, -0.085076, 
 86, -0.138256, 
 87, -0.242890, 
 88, -0.127906, -0.223094
 89, -0.183282, 
 90, -0.236338, 
 91, -0.344846, 
 92, -0.199868, -0.297748
 93, -0.262340, 
 94, -0.314572, 
 95, -0.414206, 
 96, -0.299542, -0.394168
 97, -0.354420, 
 98, -0.407172, 
 99, -0.515546, 
100, -0.364646, -0.461436
101, -0.424526, 
102, -0.476936, 
103, -0.579634, 
104, -0.421644, -0.517244
105, -0.476976, 
106, -0.530446, 
107, -0.639902, 
108, -0.526896, -0.635324
109, -0.614030, 
110, -0.664536, 
111, -0.735830, 
112, -0.579574, -0.683960
113, -0.658828, 
114, -0.709236, 
115, -0.788206, 
116, -0.676802, -0.771874
117, -0.734212, 
118, -0.786162, 
119, -0.890330, 
120, -0.771372, -0.865826
121, -0.825558, 
122, -0.878462, 
123, -0.987916, 
124, -0.843962, -0.949130
125, -0.924068, 
126, -0.974816, 
127, -1.053678, 
128, -0.934428, -1.033268
129, -0.997428, 
130, -1.050338, 
131, -1.150872, 
132, -1.004986, -1.101430
133, -1.065414, 
134, -1.117232, 
135, -1.218074, 
136, -1.126586, -1.227152
137, -1.193614, 
138, -1.246252, 
139, -1.342164, 
140, -1.229256, -1.321040
141, -1.276842, 
142, -1.330346, 
143, -1.447720, 
144, -1.333390, -1.440150
145, -1.416050, 
146, -1.467102, 
147, -1.544062, 
148, -1.467002, -1.575802
149, -1.552686, 
150, -1.604240, 
151, -1.679280, 
152, -1.555748, -1.670264
153, -1.651994, 
154, -1.703970, 
155, -1.769348, 
156, -1.698478, -1.792550
157, -1.753298, 
158, -1.805524, 
159, -1.912898, 
