  i, ellQ, ellK 
  0, 1.70671, 1.70671
  1, 1.70671, 
  2, 1.73282, 1.73282
  3, 1.73282, 
  4, 1.66303, 1.66303
  5, 1.66303, 
  6, 1.66860, 1.66860
  7, 1.66860, 
  8, 1.64542, 1.64542
  9, 1.64542, 
 10, 1.56879, 1.56879
 11, 1.56879, 
 12, 1.55587, 1.55587
 13, 1.55587, 
 14, 1.49075, 1.49075
 15, 1.49075, 
 16, 1.48072, 1.48072
 17, 1.48072, 
 18, 1.45420, 1.45420
 19, 1.45420, 
 20, 1.41433, 1.41433
 21, 1.41433, 
 22, 1.30110, 1.30110
 23, 1.30110, 
 24, 1.24035, 1.24035
 25, 1.24035, 
 26, 1.24124, 1.24124
 27, 1.24124, 
 28, 1.20062, 1.20062
 29, 1.20062, 
 30, 1.17297, 1.17297
 31, 1.17297, 
 32, 1.11535, 1.11535
 33, 1.11535, 
 34, 1.05844, 1.05844
 35, 1.05844, 
 36, 1.01064, 1.01064
 37, 1.01064, 
 38, 0.94978, 0.94978
 39, 0.94978, 
 40, 0.95188, 0.95188
 41, 0.95188, 
 42, 0.86199, 0.86199
 43, 0.86199, 
 44, 0.84537, 0.84537
 45, 0.84537, 
 46, 0.78642, 0.78642
 47, 0.78642, 
 48, 0.73048, 0.73048
 49, 0.73048, 
 50, 0.70373, 0.70373
 51, 0.70373, 
 52, 0.62531, 0.62531
 53, 0.62531, 
 54, 0.61782, 0.61782
 55, 0.61782, 
 56, 0.56450, 0.56450
 57, 0.56450, 
 58, 0.49972, 0.49972
 59, 0.49972, 
 60, 0.48696, 0.48696
 61, 0.48696, 
 62, 0.41536, 0.41536
 63, 0.41536, 
 64, 0.35139, 0.35139
 65, 0.35139, 
 66, 0.31691, 0.31691
 67, 0.31691, 
 68, 0.27106, 0.27106
 69, 0.27106, 
 70, 0.23111, 0.23111
 71, 0.23111, 
 72, 0.18313, 0.18313
 73, 0.18313, 
 74, 0.16481, 0.16481
 75, 0.16481, 
 76, 0.08903, 0.08903
 77, 0.08903, 
 78, 0.02788, 0.02788
 79, 0.02788, 
 80, 0.02375, 0.02375
 81, 0.02375, 
 82, -0.07866, -0.07866
 83, -0.07866, 
 84, -0.12075, -0.12075
 85, -0.12075, 
 86, -0.15600, -0.15600
 87, -0.15600, 
 88, -0.24597, -0.24597
 89, -0.24597, 
 90, -0.22023, -0.22023
 91, -0.22023, 
 92, -0.28240, -0.28240
 93, -0.28240, 
 94, -0.36204, -0.36204
 95, -0.36204, 
 96, -0.41267, -0.41267
 97, -0.41267, 
 98, -0.43291, -0.43291
 99, -0.43291, 
100, -0.48177, -0.48177
101, -0.48177, 
102, -0.53745, -0.53745
103, -0.53745, 
104, -0.58156, -0.58156
105, -0.58156, 
106, -0.59812, -0.59812
107, -0.59812, 
108, -0.66029, -0.66029
109, -0.66029, 
110, -0.66667, -0.66667
111, -0.66667, 
112, -0.70101, -0.70101
113, -0.70101, 
114, -0.78999, -0.78999
115, -0.78999, 
116, -0.77988, -0.77988
117, -0.77988, 
118, -0.79965, -0.79965
119, -0.79965, 
120, -0.90308, -0.90308
121, -0.90308, 
122, -0.97285, -0.97285
123, -0.97285, 
124, -1.05560, -1.05560
125, -1.05560, 
126, -1.07475, -1.07475
127, -1.07475, 
128, -1.12794, -1.12794
129, -1.12794, 
130, -1.20539, -1.20539
131, -1.20539, 
132, -1.18883, -1.18883
133, -1.18883, 
134, -1.23692, -1.23692
135, -1.23692, 
136, -1.30536, -1.30536
137, -1.30536, 
138, -1.35182, -1.35182
139, -1.35182, 
140, -1.44803, -1.44803
141, -1.44803, 
142, -1.44619, -1.44619
143, -1.44619, 
144, -1.51412, -1.51412
145, -1.51412, 
146, -1.55053, -1.55053
147, -1.55053, 
148, -1.71862, -1.71862
149, -1.71862, 
150, -1.76714, -1.76714
151, -1.76714, 
152, -1.83214, -1.83214
153, -1.83214, 
154, -1.88026, -1.88026
155, -1.88026, 
156, -1.94286, -1.94286
157, -1.94286, 
158, -1.98989, -1.98989
159, -1.98989, 
