  i, ellQ, ellK 
  0, 1.66297, 1.48999
  1, 1.51913, 
  2, 1.62024, 
  3, 1.47640, 
  4, 1.55973, 
  5, 1.41350, 
  6, 1.40532, 
  7, 1.26267, 
  8, 1.54016, 1.37199
  9, 1.39632, 
 10, 1.48093, 
 11, 1.33709, 
 12, 1.42767, 
 13, 1.28383, 
 14, 1.32686, 
 15, 1.18302, 
 16, 1.38100, 1.21722
 17, 1.23716, 
 18, 1.33336, 
 19, 1.18951, 
 20, 1.27997, 
 21, 1.16246, 
 22, 1.13593, 
 23, 1.01842, 
 24, 1.21731, 1.03143
 25, 1.07347, 
 26, 1.15907, 
 27, 1.01523, 
 28, 1.06674, 
 29, 0.92290, 
 30, 0.97029, 
 31, 0.82645, 
 32, 1.09069, 0.91994
 33, 0.94685, 
 34, 1.03078, 
 35, 0.88694, 
 36, 0.97658, 
 37, 0.83274, 
 38, 0.86940, 
 39, 0.72556, 
 40, 0.90056, 0.72382
 41, 0.75672, 
 42, 0.83805, 
 43, 0.69421, 
 44, 0.77743, 
 45, 0.67619, 
 46, 0.62433, 
 47, 0.52309, 
 48, 0.74778, 0.58375
 49, 0.60394, 
 50, 0.71208, 
 51, 0.65644, 
 52, 0.56986, 
 53, 0.50716, 
 54, 0.50829, 
 55, 0.36445, 
 56, 0.59954, 0.39723
 57, 0.45569, 
 58, 0.52605, 
 59, 0.45867, 
 60, 0.37084, 
 61, 0.32105, 
 62, 0.28613, 
 63, 0.15988, 
 64, 0.44502, 0.27024
 65, 0.30118, 
 66, 0.39725, 
 67, 0.25341, 
 68, 0.33005, 
 69, 0.18621, 
 70, 0.19634, 
 71, 0.05249, 
 72, 0.24906, 0.04283
 73, 0.20831, 
 74, 0.15291, 
 75, 0.02469, 
 76, 0.01801, 
 77, -0.02692, 
 78, -0.08105, 
 79, -0.20242, 
 80, 0.11843, -0.05588
 81, 0.06807, 
 82, -0.03749, 
 83, -0.08784, 
 84, 0.00357, 
 85, -0.14027, 
 86, -0.11384, 
 87, -0.25768, 
 88, -0.05716, -0.22817
 89, -0.20100, 
 90, -0.09355, 
 91, -0.23739, 
 92, -0.16612, 
 93, -0.30622, 
 94, -0.31190, 
 95, -0.45199, 
 96, -0.22404, -0.42301
 97, -0.36788, 
 98, -0.28256, 
 99, -0.42640, 
100, -0.38418, 
101, -0.52802, 
102, -0.51360, 
103, -0.65744, 
104, -0.38575, -0.55904
105, -0.52959, 
106, -0.42780, 
107, -0.57164, 
108, -0.49383, 
109, -0.63767, 
110, -0.64109, 
111, -0.78493, 
112, -0.51726, -0.68633
113, -0.66110, 
114, -0.56520, 
115, -0.61361, 
116, -0.74698, 
117, -0.71632, 
118, -0.77151, 
119, -0.89865, 
120, -0.64007, -0.81667
121, -0.78391, 
122, -0.69546, 
123, -0.75369, 
124, -0.85500, 
125, -0.91323, 
126, -0.87407, 
127, -1.01791, 
128, -0.87884, -1.05193
129, -1.02268, 
130, -0.93597, 
131, -0.99371, 
132, -1.09358, 
133, -1.09543, 
134, -1.14682, 
135, -1.24838, 
136, -0.96933, -1.16625
137, -1.11317, 
138, -1.02618, 
139, -1.17002, 
140, -1.13994, 
141, -1.28378, 
142, -1.24188, 
143, -1.38572, 
144, -1.23083, -1.41411
145, -1.37467, 
146, -1.29590, 
147, -1.33951, 
148, -1.44515, 
149, -1.48876, 
150, -1.49710, 
151, -1.64095, 
152, -1.42886, -1.64706
153, -1.57270, 
154, -1.52278, 
155, -1.66662, 
156, -1.62529, 
157, -1.76913, 
158, -1.72363, 
159, -1.86747, 
