  i, ellQ, ellK
  0, 1.809208, 1.799410
  1, 1.799544, 
  2, 1.799272, 
  3, 1.789614, 
  4, 1.742492, 1.741640
  5, 1.741644, 
  6, 1.741640, 
  7, 1.740792, 
  8, 1.660032, 1.653958
  9, 1.654114, 
 10, 1.653800, 
 11, 1.647886, 
 12, 1.566002, 1.555446
 13, 1.555726, 
 14, 1.555162, 
 15, 1.544890, 
 16, 1.480536, 1.465246
 17, 1.465664, 
 18, 1.464832, 
 19, 1.449962, 
 20, 1.413322, 1.402682
 21, 1.402994, 
 22, 1.402368, 
 23, 1.392040, 
 24, 1.322772, 1.318942
 25, 1.318970, 
 26, 1.318914, 
 27, 1.315112, 
 28, 1.233060, 1.223574
 29, 1.223704, 
 30, 1.223442, 
 31, 1.214088, 
 32, 1.126936, 1.120288
 33, 1.120410, 
 34, 1.120160, 
 35, 1.113634, 
 36, 1.041224, 1.039444
 37, 1.039448, 
 38, 1.039442, 
 39, 1.037666, 
 40, 0.945564, 0.938464
 41, 0.938584, 
 42, 0.938344, 
 43, 0.931362, 
 44, 0.832420, 0.826652
 45, 0.826700, 
 46, 0.826608, 
 47, 0.820886, 
 48, 0.755516, 0.751512
 49, 0.751538, 
 50, 0.751482, 
 51, 0.747510, 
 52, 0.651104, 0.648536
 53, 0.648560, 
 54, 0.648510, 
 55, 0.645964, 
 56, 0.542170, 0.535524
 57, 0.535614, 
 58, 0.535436, 
 59, 0.528884, 
 60, 0.461586, 0.458262
 61, 0.458276, 
 62, 0.458250, 
 63, 0.454946, 
 64, 0.369098, 0.363014
 65, 0.363130, 
 66, 0.362898, 
 67, 0.356928, 
 68, 0.279126, 0.269690
 69, 0.269966, 
 70, 0.269412, 
 71, 0.260256, 
 72, 0.190706, 0.181430
 73, 0.181560, 
 74, 0.181296, 
 75, 0.172150, 
 76, 0.067126, 0.063020
 77, 0.063046, 
 78, 0.062992, 
 79, 0.058910, 
 80, -0.016074, -0.027316
 81, -0.027134, 
 82, -0.027502, 
 83, -0.038564, 
 84, -0.110036, -0.115216
 85, -0.115168, 
 86, -0.115268, 
 87, -0.120398, 
 88, -0.225180, -0.229676
 89, -0.229622, 
 90, -0.229734, 
 91, -0.234168, 
 92, -0.343566, -0.350520
 93, -0.350420, 
 94, -0.350620, 
 95, -0.357472, 
 96, -0.439654, -0.450536
 97, -0.450324, 
 98, -0.450750, 
 99, -0.461418, 
100, -0.516356, -0.521786
101, -0.521688, 
102, -0.521886, 
103, -0.527218, 
104, -0.593958, -0.598376
105, -0.598342, 
106, -0.598410, 
107, -0.602798, 
108, -0.689784, -0.706094
109, -0.705726, 
110, -0.706462, 
111, -0.722404, 
112, -0.751282, -0.763140
113, -0.762842, 
114, -0.763438, 
115, -0.774998, 
116, -0.846638, -0.857472
117, -0.857192, 
118, -0.857750, 
119, -0.868302, 
120, -0.936540, -0.948008
121, -0.947712, 
122, -0.948304, 
123, -0.959470, 
124, -1.026658, -1.029246
125, -1.029230, 
126, -1.029258, 
127, -1.031830, 
128, -1.169620, -1.177238
129, -1.177152, 
130, -1.177328, 
131, -1.184858, 
132, -1.254534, -1.262460
133, -1.262326, 
134, -1.262592, 
135, -1.270382, 
136, -1.335030, -1.373994
137, -1.370552, 
138, -1.377440, 
139, -1.412962, 
140, -1.468102, -1.508102
141, -1.504962, 
142, -1.511240, 
143, -1.548102, 
144, -1.625934, -1.647292
145, -1.646418, 
146, -1.648168, 
147, -1.668652, 
148, -1.726980, -1.760186
149, -1.756548, 
150, -1.763820, 
151, -1.793390, 
152, -1.881054, -1.916660
153, -1.914428, 
154, -1.918896, 
155, -1.952274, 
156, -2.040102, -2.113408
157, -2.104246, 
158, -2.122572, 
159, -2.186716, 
