  i, ellQ, ellK 
  0, 1.77039, 1.77039
  1, 1.77039, 
  2, 1.78281, 1.78281
  3, 1.78281, 
  4, 1.72424, 1.72424
  5, 1.72424, 
  6, 1.67265, 1.67265
  7, 1.67265, 
  8, 1.66764, 1.66764
  9, 1.66764, 
 10, 1.62080, 1.62080
 11, 1.62080, 
 12, 1.56091, 1.56091
 13, 1.56091, 
 14, 1.51613, 1.51613
 15, 1.51613, 
 16, 1.46667, 1.46667
 17, 1.46667, 
 18, 1.43891, 1.43891
 19, 1.43891, 
 20, 1.38321, 1.38321
 21, 1.38321, 
 22, 1.27581, 1.27581
 23, 1.27581, 
 24, 1.29288, 1.29288
 25, 1.29288, 
 26, 1.23701, 1.23701
 27, 1.23701, 
 28, 1.22076, 1.22076
 29, 1.22076, 
 30, 1.12291, 1.12291
 31, 1.12291, 
 32, 1.12127, 1.12127
 33, 1.12127, 
 34, 1.04836, 1.04836
 35, 1.04836, 
 36, 1.02701, 1.02701
 37, 1.02701, 
 38, 0.98259, 0.98259
 39, 0.98259, 
 40, 0.94189, 0.94189
 41, 0.94189, 
 42, 0.86717, 0.86717
 43, 0.86717, 
 44, 0.83997, 0.83997
 45, 0.83997, 
 46, 0.79917, 0.79917
 47, 0.79917, 
 48, 0.73244, 0.73244
 49, 0.73244, 
 50, 0.64470, 0.64470
 51, 0.64470, 
 52, 0.64101, 0.64101
 53, 0.64101, 
 54, 0.57423, 0.57423
 55, 0.57423, 
 56, 0.57192, 0.57192
 57, 0.57192, 
 58, 0.49065, 0.49065
 59, 0.49065, 
 60, 0.46498, 0.46498
 61, 0.46498, 
 62, 0.38773, 0.38773
 63, 0.38773, 
 64, 0.36135, 0.36135
 65, 0.36135, 
 66, 0.30592, 0.30592
 67, 0.30592, 
 68, 0.24825, 0.24825
 69, 0.24825, 
 70, 0.23571, 0.23571
 71, 0.23571, 
 72, 0.17410, 0.17410
 73, 0.17410, 
 74, 0.15063, 0.15063
 75, 0.15063, 
 76, 0.09500, 0.09500
 77, 0.09500, 
 78, 0.05498, 0.05498
 79, 0.05498, 
 80, -0.03486, -0.03486
 81, -0.03486, 
 82, -0.14465, -0.14465
 83, -0.14465, 
 84, -0.08837, -0.08837
 85, -0.08837, 
 86, -0.17024, -0.17024
 87, -0.17024, 
 88, -0.21276, -0.21276
 89, -0.21276, 
 90, -0.24835, -0.24835
 91, -0.24835, 
 92, -0.29880, -0.29880
 93, -0.29880, 
 94, -0.33553, -0.33553
 95, -0.33553, 
 96, -0.37860, -0.37860
 97, -0.37860, 
 98, -0.43356, -0.43356
 99, -0.43356, 
100, -0.52594, -0.52594
101, -0.52594, 
102, -0.52022, -0.52022
103, -0.52022, 
104, -0.54196, -0.54196
105, -0.54196, 
106, -0.55755, -0.55755
107, -0.55755, 
108, -0.65754, -0.65754
109, -0.65754, 
110, -0.69036, -0.69036
111, -0.69036, 
112, -0.69869, -0.69869
113, -0.69869, 
114, -0.73826, -0.73826
115, -0.73826, 
116, -0.78017, -0.78017
117, -0.78017, 
118, -0.84899, -0.84899
119, -0.84899, 
120, -0.89323, -0.89323
121, -0.89323, 
122, -0.95456, -0.95456
123, -0.95456, 
124, -0.98125, -0.98125
125, -0.98125, 
126, -1.02939, -1.02939
127, -1.02939, 
128, -1.08769, -1.08769
129, -1.08769, 
130, -1.12230, -1.12230
131, -1.12230, 
132, -1.23782, -1.23782
133, -1.23782, 
134, -1.25060, -1.25060
135, -1.25060, 
136, -1.33291, -1.33291
137, -1.33291, 
138, -1.40750, -1.40750
139, -1.40750, 
140, -1.47690, -1.47690
141, -1.47690, 
142, -1.50412, -1.50412
143, -1.50412, 
144, -1.56436, -1.56436
145, -1.56436, 
146, -1.64268, -1.64268
147, -1.64268, 
148, -1.64392, -1.64392
149, -1.64392, 
150, -1.76356, -1.76356
151, -1.76356, 
152, -1.83167, -1.83167
153, -1.83167, 
154, -1.81343, -1.81343
155, -1.81343, 
156, -2.06727, -2.06727
157, -2.06727, 
158, -2.00414, -2.00414
159, -2.00414, 
