  i, ellQ, ellK 
  0, 1.66544, 1.59352
  1, 1.52160, 
  2, 1.64132, 1.56940
  3, 1.49748, 
  4, 1.59565, 1.52373
  5, 1.45181, 
  6, 1.60707, 1.53515
  7, 1.46323, 
  8, 1.54499, 1.47307
  9, 1.40115, 
 10, 1.48023, 1.40831
 11, 1.33639, 
 12, 1.49038, 1.41846
 13, 1.34654, 
 14, 1.45194, 1.38002
 15, 1.30810, 
 16, 1.40444, 1.33252
 17, 1.26060, 
 18, 1.37379, 1.30187
 19, 1.22995, 
 20, 1.33631, 1.26439
 21, 1.19247, 
 22, 1.29114, 1.21922
 23, 1.14730, 
 24, 1.21975, 1.14783
 25, 1.07591, 
 26, 1.20663, 1.13471
 27, 1.06279, 
 28, 1.17752, 1.10560
 29, 1.03368, 
 30, 1.10782, 1.03590
 31, 0.96398, 
 32, 1.09864, 1.02672
 33, 0.95480, 
 34, 1.04078, 0.96886
 35, 0.89694, 
 36, 0.99367, 0.92175
 37, 0.84983, 
 38, 0.96398, 0.89206
 39, 0.82014, 
 40, 0.92485, 0.85293
 41, 0.78101, 
 42, 0.84437, 0.77245
 43, 0.70053, 
 44, 0.73956, 0.66764
 45, 0.59572, 
 46, 0.82083, 0.74891
 47, 0.67699, 
 48, 0.76162, 0.68970
 49, 0.61778, 
 50, 0.72105, 0.64913
 51, 0.57721, 
 52, 0.65295, 0.58103
 53, 0.50911, 
 54, 0.63261, 0.56069
 55, 0.48877, 
 56, 0.54029, 0.46837
 57, 0.39645, 
 58, 0.52305, 0.45113
 59, 0.37921, 
 60, 0.50680, 0.43488
 61, 0.36296, 
 62, 0.45829, 0.38637
 63, 0.31445, 
 64, 0.44409, 0.37217
 65, 0.30025, 
 66, 0.37689, 0.30497
 67, 0.23305, 
 68, 0.32945, 0.25753
 69, 0.18561, 
 70, 0.25933, 0.18740
 71, 0.11548, 
 72, 0.22359, 0.15167
 73, 0.07975, 
 74, 0.19155, 0.11963
 75, 0.04771, 
 76, 0.15278, 0.08086
 77, 0.00894, 
 78, 0.13411, 0.06219
 79, -0.00973, 
 80, 0.07678, 0.00486
 81, -0.06706, 
 82, 0.02668, -0.04524
 83, -0.11716, 
 84, -0.01552, -0.08744
 85, -0.15936, 
 86, -0.06799, -0.13991
 87, -0.21183, 
 88, -0.08601, -0.15793
 89, -0.22985, 
 90, -0.15734, -0.22926
 91, -0.30118, 
 92, -0.18194, -0.25386
 93, -0.32578, 
 94, -0.28018, -0.35210
 95, -0.42402, 
 96, -0.30155, -0.37348
 97, -0.44540, 
 98, -0.36797, -0.43989
 99, -0.51181, 
100, -0.36942, -0.44134
101, -0.51326, 
102, -0.40571, -0.47763
103, -0.54955, 
104, -0.43631, -0.50823
105, -0.58015, 
106, -0.47800, -0.54992
107, -0.62184, 
108, -0.51425, -0.58617
109, -0.65809, 
110, -0.56764, -0.63956
111, -0.71149, 
112, -0.58387, -0.65579
113, -0.72771, 
114, -0.64094, -0.71286
115, -0.78478, 
116, -0.68040, -0.75232
117, -0.82424, 
118, -0.71681, -0.78874
119, -0.86066, 
120, -0.76486, -0.83678
121, -0.90870, 
122, -0.80973, -0.88165
123, -0.95357, 
124, -0.81351, -0.88543
125, -0.95735, 
126, -0.84929, -0.92121
127, -0.99313, 
128, -0.91970, -0.99162
129, -1.06354, 
130, -0.94160, -1.01352
131, -1.08544, 
132, -1.03976, -1.11168
133, -1.18360, 
134, -1.10761, -1.17953
135, -1.25145, 
136, -1.14674, -1.21866
137, -1.29058, 
138, -1.13927, -1.21119
139, -1.28311, 
140, -1.21512, -1.28704
141, -1.35896, 
142, -1.29565, -1.36757
143, -1.43949, 
144, -1.30368, -1.37560
145, -1.44752, 
146, -1.39355, -1.46547
147, -1.53739, 
148, -1.46844, -1.54037
149, -1.61229, 
150, -1.52644, -1.59836
151, -1.67028, 
152, -1.54944, -1.62136
153, -1.69328, 
154, -1.62010, -1.69202
155, -1.76394, 
156, -1.69975, -1.77167
157, -1.84359, 
158, -1.82328, -1.89520
159, -1.96712, 
