  i, ellQ, ellK
  0, 1.723574, 1.723574
  1, 1.719226, 1.719226
  2, 1.709808, 1.709808
  3, 1.666584, 1.666584
  4, 1.664556, 1.664556
  5, 1.650620, 1.650620
  6, 1.652214, 1.652214
  7, 1.607150, 1.607150
  8, 1.598950, 1.598950
  9, 1.567216, 1.567216
 10, 1.580494, 1.580494
 11, 1.557126, 1.557126
 12, 1.522338, 1.522338
 13, 1.516198, 1.516198
 14, 1.491768, 1.491768
 15, 1.475930, 1.475930
 16, 1.438790, 1.438790
 17, 1.419890, 1.419890
 18, 1.414962, 1.414962
 19, 1.388744, 1.388744
 20, 1.360736, 1.360736
 21, 1.339284, 1.339284
 22, 1.305752, 1.305752
 23, 1.291918, 1.291918
 24, 1.255464, 1.255464
 25, 1.253614, 1.253614
 26, 1.235282, 1.235282
 27, 1.218272, 1.218272
 28, 1.170388, 1.170388
 29, 1.165704, 1.165704
 30, 1.126568, 1.126568
 31, 1.102488, 1.102488
 32, 1.099806, 1.099806
 33, 1.074152, 1.074152
 34, 1.037250, 1.037250
 35, 1.015728, 1.015728
 36, 0.993946, 0.993946
 37, 0.977864, 0.977864
 38, 0.961258, 0.961258
 39, 0.934172, 0.934172
 40, 0.905656, 0.905656
 41, 0.889014, 0.889014
 42, 0.860428, 0.860428
 43, 0.839474, 0.839474
 44, 0.828410, 0.828410
 45, 0.797316, 0.797316
 46, 0.778208, 0.778208
 47, 0.763480, 0.763480
 48, 0.729974, 0.729974
 49, 0.707982, 0.707982
 50, 0.702632, 0.702632
 51, 0.670194, 0.670194
 52, 0.646874, 0.646874
 53, 0.614310, 0.614310
 54, 0.602200, 0.602200
 55, 0.565204, 0.565204
 56, 0.541998, 0.541998
 57, 0.520898, 0.520898
 58, 0.513348, 0.513348
 59, 0.490430, 0.490430
 60, 0.465410, 0.465410
 61, 0.440356, 0.440356
 62, 0.416792, 0.416792
 63, 0.400920, 0.400920
 64, 0.372494, 0.372494
 65, 0.320952, 0.320952
 66, 0.309576, 0.309576
 67, 0.304746, 0.304746
 68, 0.280746, 0.280746
 69, 0.263192, 0.263192
 70, 0.237046, 0.237046
 71, 0.222362, 0.222362
 72, 0.190642, 0.190642
 73, 0.162860, 0.162860
 74, 0.148854, 0.148854
 75, 0.127836, 0.127836
 76, 0.099212, 0.099212
 77, 0.077122, 0.077122
 78, 0.059832, 0.059832
 79, 0.020120, 0.020120
 80, 0.004918, 0.004918
 81, -0.011036, -0.011036
 82, -0.048220, -0.048220
 83, -0.062306, -0.062306
 84, -0.091448, -0.091448
 85, -0.120836, -0.120836
 86, -0.142524, -0.142524
 87, -0.179658, -0.179658
 88, -0.186314, -0.186314
 89, -0.216462, -0.216462
 90, -0.244342, -0.244342
 91, -0.261044, -0.261044
 92, -0.288256, -0.288256
 93, -0.310520, -0.310520
 94, -0.348416, -0.348416
 95, -0.372728, -0.372728
 96, -0.383090, -0.383090
 97, -0.406356, -0.406356
 98, -0.420346, -0.420346
 99, -0.434114, -0.434114
100, -0.448742, -0.448742
101, -0.475766, -0.475766
102, -0.491808, -0.491808
103, -0.511334, -0.511334
104, -0.524582, -0.524582
105, -0.551282, -0.551282
106, -0.572590, -0.572590
107, -0.583960, -0.583960
108, -0.603458, -0.603458
109, -0.636820, -0.636820
110, -0.667018, -0.667018
111, -0.681764, -0.681764
112, -0.705910, -0.705910
113, -0.698820, -0.698820
114, -0.718828, -0.718828
115, -0.748428, -0.748428
116, -0.772866, -0.772866
117, -0.800594, -0.800594
118, -0.820462, -0.820462
119, -0.845086, -0.845086
120, -0.874478, -0.874478
121, -0.902654, -0.902654
122, -0.933992, -0.933992
123, -0.938482, -0.938482
124, -0.956746, -0.956746
125, -0.979898, -0.979898
126, -1.018376, -1.018376
127, -1.042214, -1.042214
128, -1.050840, -1.050840
129, -1.092302, -1.092302
130, -1.105506, -1.105506
131, -1.154770, -1.154770
132, -1.179912, -1.179912
133, -1.204338, -1.204338
134, -1.226548, -1.226548
135, -1.245496, -1.245496
136, -1.298814, -1.298814
137, -1.312980, -1.312980
138, -1.345476, -1.345476
139, -1.385420, -1.385420
140, -1.399092, -1.399092
141, -1.419798, -1.419798
142, -1.439874, -1.439874
143, -1.480264, -1.480264
144, -1.514520, -1.514520
145, -1.529086, -1.529086
146, -1.597298, -1.597298
147, -1.592434, -1.592434
148, -1.627428, -1.627428
149, -1.671884, -1.671884
150, -1.681440, -1.681440
151, -1.740686, -1.740686
152, -1.767248, -1.767248
153, -1.792980, -1.792980
154, -1.817730, -1.817730
155, -1.833344, -1.833344
156, -1.843694, -1.843694
157, -1.921338, -1.921338
158, -1.926536, -1.926536
159, -1.945744, -1.945744
