  i, ellQ, ellK 
  0, 1.62864, 1.53726
  1, 1.58250, 
  2, 1.52870, 
  3, 1.40922, 
  4, 1.59191, 1.49636
  5, 1.53213, 
  6, 1.48086, 
  7, 1.38052, 
  8, 1.57489, 1.48080
  9, 1.51925, 
 10, 1.46740, 
 11, 1.36166, 
 12, 1.48824, 1.39844
 13, 1.45166, 
 14, 1.39472, 
 15, 1.25914, 
 16, 1.37030, 1.25366
 17, 1.26862, 
 18, 1.21722, 
 19, 1.15849, 
 20, 1.32221, 1.20609
 21, 1.22140, 
 22, 1.17008, 
 23, 1.11068, 
 24, 1.24885, 1.15712
 25, 1.20125, 
 26, 1.14781, 
 27, 1.03058, 
 28, 1.17234, 1.08213
 29, 1.13231, 
 30, 1.07667, 
 31, 0.94720, 
 32, 1.09096, 0.99653
 33, 1.03432, 
 34, 0.98263, 
 35, 0.87822, 
 36, 1.00218, 0.89790
 37, 0.92266, 
 38, 0.87247, 
 39, 0.79429, 
 40, 0.94448, 0.84773
 41, 0.88158, 
 42, 0.83066, 
 43, 0.73420, 
 44, 0.84750, 0.74777
 45, 0.77753, 
 46, 0.72713, 
 47, 0.63891, 
 48, 0.76226, 0.66731
 49, 0.70414, 
 50, 0.65266, 
 51, 0.55019, 
 52, 0.68674, 0.58475
 53, 0.61189, 
 54, 0.56166, 
 55, 0.47872, 
 56, 0.59656, 0.50443
 57, 0.54739, 
 58, 0.49432, 
 59, 0.37944, 
 60, 0.51787, 0.42708
 61, 0.47445, 
 62, 0.41990, 
 63, 0.29611, 
 64, 0.42291, 0.31290
 65, 0.33261, 
 66, 0.28210, 
 67, 0.21398, 
 68, 0.32850, 0.22982
 69, 0.26093, 
 70, 0.21039, 
 71, 0.11945, 
 72, 0.24462, 0.13677
 73, 0.15824, 
 74, 0.10792, 
 75, 0.03628, 
 76, 0.14902, 0.05937
 77, 0.11474, 
 78, 0.05681, 
 79, -0.08309, 
 80, 0.07497, -0.01978
 81, 0.01740, 
 82, -0.03416, 
 83, -0.13734, 
 84, -0.02851, -0.12154
 85, -0.08081, 
 86, -0.13324, 
 87, -0.24359, 
 88, -0.10985, -0.20422
 89, -0.16631, 
 90, -0.21803, 
 91, -0.32267, 
 92, -0.22671, -0.32739
 93, -0.29876, 
 94, -0.34907, 
 95, -0.43501, 
 96, -0.29464, -0.38734
 97, -0.34585, 
 98, -0.39849, 
 99, -0.51040, 
100, -0.34576, -0.45754
101, -0.43919, 
102, -0.48989, 
103, -0.55531, 
104, -0.41355, -0.50456
105, -0.45802, 
106, -0.51227, 
107, -0.63438, 
108, -0.50620, -0.60874
109, -0.58220, 
110, -0.63240, 
111, -0.71415, 
112, -0.57648, -0.68192
113, -0.65828, 
114, -0.70848, 
115, -0.78444, 
116, -0.70411, -0.80337
117, -0.77302, 
118, -0.82348, 
119, -0.91288, 
120, -0.75144, -0.84156
121, -0.79082, 
122, -0.84669, 
123, -0.97728, 
124, -0.83897, -0.93738
125, -0.90592, 
126, -0.95650, 
127, -1.04815, 
128, -0.99343, -1.09135
129, -1.05919, 
130, -1.10986, 
131, -1.20290, 
132, -0.98529, -1.08839
133, -1.06243, 
134, -1.11262, 
135, -1.19320, 
136, -1.09290, -1.20158
137, -1.18080, 
138, -1.23118, 
139, -1.30144, 
140, -1.25014, -1.34179
141, -1.29741, 
142, -1.35093, 
143, -1.46866, 
144, -1.33624, -1.43853
145, -1.41172, 
146, -1.46194, 
147, -1.54422, 
148, -1.40160, -1.49614
149, -1.45856, 
150, -1.51021, 
151, -1.61419, 
152, -1.57589, -1.68764
153, -1.66927, 
154, -1.71996, 
155, -1.78543, 
156, -1.68629, -1.78349
157, -1.75030, 
158, -1.80112, 
159, -1.89623, 
