  i, ellQ, ellK 
  0, 1.70300, 1.61332
  1, 1.66817, 
  2, 1.61048, 
  3, 1.47163, 
  4, 1.64156, 1.54936
  5, 1.59214, 
  6, 1.53912, 
  7, 1.42461, 
  8, 1.58651, 1.49481
  9, 1.53901, 
 10, 1.48555, 
 11, 1.36817, 
 12, 1.52594, 1.43523
 13, 1.48291, 
 14, 1.42824, 
 15, 1.30382, 
 16, 1.42801, 1.33728
 17, 1.38489, 
 18, 1.33025, 
 19, 1.20597, 
 20, 1.33180, 1.23833
 21, 1.27807, 
 22, 1.22590, 
 23, 1.11755, 
 24, 1.26220, 1.16797
 25, 1.20614, 
 26, 1.15436, 
 27, 1.04918, 
 28, 1.13946, 1.03935
 29, 1.06864, 
 30, 1.01828, 
 31, 0.93100, 
 32, 1.07551, 0.98358
 33, 1.02712, 
 34, 0.97387, 
 35, 0.85783, 
 36, 0.93725, 0.84733
 37, 0.89945, 
 38, 0.84299, 
 39, 0.70962, 
 40, 0.92581, 0.80623
 41, 0.81937, 
 42, 0.76744, 
 43, 0.71231, 
 44, 0.83889, 0.72505
 45, 0.74190, 
 46, 0.69093, 
 47, 0.62848, 
 48, 0.71580, 0.60457
 49, 0.62334, 
 50, 0.57271, 
 51, 0.50646, 
 52, 0.67814, 0.58632
 53, 0.63016, 
 54, 0.57681, 
 55, 0.46016, 
 56, 0.56426, 0.46594
 57, 0.49754, 
 58, 0.44694, 
 59, 0.35502, 
 60, 0.45245, 0.36276
 61, 0.41737, 
 62, 0.35980, 
 63, 0.22142, 
 64, 0.42068, 0.32716
 65, 0.36678, 
 66, 0.31464, 
 67, 0.20653, 
 68, 0.33613, 0.24652
 69, 0.30454, 
 70, 0.24327, 
 71, 0.10214, 
 72, 0.23997, 0.13278
 73, 0.15483, 
 74, 0.10455, 
 75, 0.03176, 
 76, 0.16196, 0.06985
 77, 0.11286, 
 78, 0.05977, 
 79, -0.05521, 
 80, 0.07035, -0.03291
 81, -0.00713, 
 82, -0.05732, 
 83, -0.13755, 
 84, 0.00664, -0.09445
 85, -0.06632, 
 86, -0.11659, 
 87, -0.20155, 
 88, -0.10944, -0.21065
 89, -0.18263, 
 90, -0.23290, 
 91, -0.31761, 
 92, -0.19023, -0.27989
 93, -0.22469, 
 94, -0.28254, 
 95, -0.42209, 
 96, -0.30306, -0.40283
 97, -0.37311, 
 98, -0.42351, 
 99, -0.51164, 
100, -0.35466, -0.44493
101, -0.39512, 
102, -0.45061, 
103, -0.57934, 
104, -0.42931, -0.51904
105, -0.46490, 
106, -0.52226, 
107, -0.65968, 
108, -0.52054, -0.63620
109, -0.62058, 
110, -0.67182, 
111, -0.73184, 
112, -0.56929, -0.67514
113, -0.65189, 
114, -0.70210, 
115, -0.77729, 
116, -0.68536, -0.77604
117, -0.72820, 
118, -0.78293, 
119, -0.90767, 
120, -0.76299, -0.85571
121, -0.81427, 
122, -0.86690, 
123, -0.97870, 
124, -0.88524, -0.99949
125, -0.98292, 
126, -1.03394, 
127, -1.09585, 
128, -0.89001, -0.97965
129, -0.92070, 
130, -0.98041, 
131, -1.12747, 
132, -1.02371, -1.12121
133, -1.08846, 
134, -1.13922, 
135, -1.23343, 
136, -1.10340, -1.19301
137, -1.13493, 
138, -1.19420, 
139, -1.33953, 
140, -1.22922, -1.32026
141, -1.27387, 
142, -1.32808, 
143, -1.44989, 
144, -1.36766, -1.46112
145, -1.42136, 
146, -1.47353, 
147, -1.58192, 
148, -1.49903, -1.62465
149, -1.61487, 
150, -1.66809, 
151, -1.71661, 
152, -1.52848, -1.62384
153, -1.58775, 
154, -1.63908, 
155, -1.74007, 
156, -1.69173, -1.78272
157, -1.73612, 
158, -1.79040, 
159, -1.91263, 
