  i, ellQ, ellK 
  0, 1.70318, 1.60869
  1, 1.64638, 
  2, 1.59471, 
  3, 1.49051, 
  4, 1.61719, 1.52711
  5, 1.57811, 
  6, 1.52213, 
  7, 1.39102, 
  8, 1.58984, 1.49244
  9, 1.52534, 
 10, 1.47456, 
 11, 1.38004, 
 12, 1.51545, 1.42558
 13, 1.47810, 
 14, 1.42147, 
 15, 1.28729, 
 16, 1.41909, 1.32627
 17, 1.36747, 
 18, 1.31491, 
 19, 1.20361, 
 20, 1.34651, 1.24954
 21, 1.28306, 
 22, 1.23219, 
 23, 1.13641, 
 24, 1.25273, 1.15606
 25, 1.19002, 
 26, 1.13907, 
 27, 1.04240, 
 28, 1.17480, 1.08514
 29, 1.14042, 
 30, 1.08253, 
 31, 0.94282, 
 32, 1.06911, 0.97716
 33, 1.02061, 
 34, 0.96739, 
 35, 0.85151, 
 36, 1.00154, 0.90359
 37, 0.93570, 
 38, 0.88503, 
 39, 0.79210, 
 40, 0.92039, 0.82941
 41, 0.87606, 
 42, 0.82176, 
 43, 0.69944, 
 44, 0.82856, 0.73738
 45, 0.78331, 
 46, 0.72927, 
 47, 0.60841, 
 48, 0.73709, 0.64677
 49, 0.69634, 
 50, 0.64094, 
 51, 0.51271, 
 52, 0.67132, 0.57575
 53, 0.61149, 
 54, 0.56023, 
 55, 0.45995, 
 56, 0.53948, 0.44771
 57, 0.49170, 
 58, 0.43831, 
 59, 0.32135, 
 60, 0.49305, 0.40320
 61, 0.45596, 
 62, 0.39922, 
 63, 0.26456, 
 64, 0.42117, 0.32999
 65, 0.37589, 
 66, 0.32186, 
 67, 0.20105, 
 68, 0.32883, 0.23881
 69, 0.29019, 
 70, 0.23405, 
 71, 0.10217, 
 72, 0.25055, 0.15542
 73, 0.19194, 
 74, 0.14052, 
 75, 0.03869, 
 76, 0.14628, 0.05510
 77, 0.10098, 
 78, 0.04696, 
 79, -0.07383, 
 80, 0.08207, -0.02173
 81, 0.00350, 
 82, -0.04668, 
 83, -0.12581, 
 84, -0.04039, -0.13000
 85, -0.07269, 
 86, -0.13157, 
 87, -0.27534, 
 88, -0.12761, -0.21734
 89, -0.16331, 
 90, -0.22062, 
 91, -0.35782, 
 92, -0.19406, -0.28683
 93, -0.24552, 
 94, -0.29811, 
 95, -0.40965, 
 96, -0.30401, -0.40104
 97, -0.36760, 
 98, -0.41846, 
 99, -0.51408, 
100, -0.38099, -0.47402
101, -0.43331, 
102, -0.48573, 
103, -0.59605, 
104, -0.42329, -0.53007
105, -0.50765, 
106, -0.55791, 
107, -0.63143, 
108, -0.53975, -0.64704
109, -0.62508, 
110, -0.67537, 
111, -0.74798, 
112, -0.58889, -0.68570
113, -0.65195, 
114, -0.70286, 
115, -0.79911, 
116, -0.70067, -0.79369
117, -0.75296, 
118, -0.80539, 
119, -0.91575, 
120, -0.71881, -0.81028
121, -0.76535, 
122, -0.81905, 
123, -0.93790, 
124, -0.83001, -0.92975
125, -0.90000, 
126, -0.95040, 
127, -1.03860, 
128, -0.91188, -1.00532
129, -0.96552, 
130, -1.01770, 
131, -1.12618, 
132, -1.02237, -1.12041
133, -1.08843, 
134, -1.13908, 
135, -1.23176, 
136, -1.13414, -1.22638
137, -1.18372, 
138, -1.23670, 
139, -1.35096, 
140, -1.22520, -1.31873
141, -1.27914, 
142, -1.33127, 
143, -1.43933, 
144, -1.33977, -1.45837
145, -1.44465, 
146, -1.49640, 
147, -1.55268, 
148, -1.45745, -1.56059
149, -1.53467, 
150, -1.58486, 
151, -1.66536, 
152, -1.63301, -1.74981
153, -1.73494, 
154, -1.78637, 
155, -1.84490, 
156, -1.70973, -1.80402
157, -1.76596, 
158, -1.81771, 
159, -1.92268, 
