  i, ellQ, ellK 
  0, 1.70657, 1.70657
  1, 1.70403, 1.70403
  2, 1.71767, 1.71767
  3, 1.70473, 1.70473
  4, 1.66586, 1.66586
  5, 1.65164, 1.65164
  6, 1.66442, 1.66442
  7, 1.60964, 1.60964
  8, 1.63208, 1.63208
  9, 1.57978, 1.57978
 10, 1.59608, 1.59608
 11, 1.58288, 1.58288
 12, 1.50971, 1.50971
 13, 1.52746, 1.52746
 14, 1.51224, 1.51224
 15, 1.49141, 1.49141
 16, 1.43277, 1.43277
 17, 1.41027, 1.41027
 18, 1.41602, 1.41602
 19, 1.38973, 1.38973
 20, 1.36343, 1.36343
 21, 1.33893, 1.33893
 22, 1.28265, 1.28265
 23, 1.30362, 1.30362
 24, 1.24245, 1.24245
 25, 1.22871, 1.22871
 26, 1.24014, 1.24014
 27, 1.22275, 1.22275
 28, 1.14871, 1.14871
 29, 1.14882, 1.14882
 30, 1.13284, 1.13284
 31, 1.13119, 1.13119
 32, 1.08670, 1.08670
 33, 1.06980, 1.06980
 34, 1.02316, 1.02316
 35, 1.01310, 1.01310
 36, 0.96957, 0.96957
 37, 0.96327, 0.96327
 38, 0.96171, 0.96171
 39, 0.92316, 0.92316
 40, 0.92408, 0.92408
 41, 0.88760, 0.88760
 42, 0.87551, 0.87551
 43, 0.81714, 0.81714
 44, 0.82131, 0.82131
 45, 0.80398, 0.80398
 46, 0.78376, 0.78376
 47, 0.76980, 0.76980
 48, 0.71598, 0.71598
 49, 0.70820, 0.70820
 50, 0.70006, 0.70006
 51, 0.67016, 0.67016
 52, 0.64342, 0.64342
 53, 0.61167, 0.61167
 54, 0.59524, 0.59524
 55, 0.55775, 0.55775
 56, 0.54026, 0.54026
 57, 0.53133, 0.53133
 58, 0.52105, 0.52105
 59, 0.49851, 0.49851
 60, 0.45157, 0.45157
 61, 0.41723, 0.41723
 62, 0.40094, 0.40094
 63, 0.39602, 0.39602
 64, 0.38397, 0.38397
 65, 0.31643, 0.31643
 66, 0.30541, 0.30541
 67, 0.32325, 0.32325
 68, 0.24215, 0.24215
 69, 0.27945, 0.27945
 70, 0.23274, 0.23274
 71, 0.19735, 0.19735
 72, 0.18650, 0.18650
 73, 0.17571, 0.17571
 74, 0.12907, 0.12907
 75, 0.12951, 0.12951
 76, 0.10584, 0.10584
 77, 0.06675, 0.06675
 78, 0.06332, 0.06332
 79, 0.03163, 0.03163
 80, -0.02200, -0.02200
 81, -0.00293, -0.00293
 82, -0.08665, -0.08665
 83, -0.04574, -0.04574
 84, -0.10764, -0.10764
 85, -0.11527, -0.11527
 86, -0.16643, -0.16643
 87, -0.17240, -0.17240
 88, -0.16528, -0.16528
 89, -0.24209, -0.24209
 90, -0.26725, -0.26725
 91, -0.26899, -0.26899
 92, -0.29495, -0.29495
 93, -0.29802, -0.29802
 94, -0.36396, -0.36396
 95, -0.42238, -0.42238
 96, -0.39689, -0.39689
 97, -0.38798, -0.38798
 98, -0.40932, -0.40932
 99, -0.42108, -0.42108
100, -0.43925, -0.43925
101, -0.48782, -0.48782
102, -0.49947, -0.49947
103, -0.50039, -0.50039
104, -0.52559, -0.52559
105, -0.53469, -0.53469
106, -0.54181, -0.54181
107, -0.57057, -0.57057
108, -0.59615, -0.59615
109, -0.61110, -0.61110
110, -0.64160, -0.64160
111, -0.67217, -0.67217
112, -0.69635, -0.69635
113, -0.69233, -0.69233
114, -0.70041, -0.70041
115, -0.74590, -0.74590
116, -0.76564, -0.76564
117, -0.79060, -0.79060
118, -0.79505, -0.79505
119, -0.87731, -0.87731
120, -0.88378, -0.88378
121, -0.89241, -0.89241
122, -0.92204, -0.92204
123, -0.99111, -0.99111
124, -0.97359, -0.97359
125, -0.95654, -0.95654
126, -1.00119, -1.00119
127, -1.02555, -1.02555
128, -1.06599, -1.06599
129, -1.07475, -1.07475
130, -1.08272, -1.08272
131, -1.12268, -1.12268
132, -1.17671, -1.17671
133, -1.19949, -1.19949
134, -1.20392, -1.20392
135, -1.24607, -1.24607
136, -1.29056, -1.29056
137, -1.32918, -1.32918
138, -1.32345, -1.32345
139, -1.39452, -1.39452
140, -1.38036, -1.38036
141, -1.42075, -1.42075
142, -1.43063, -1.43063
143, -1.46452, -1.46452
144, -1.46144, -1.46144
145, -1.48194, -1.48194
146, -1.58048, -1.58048
147, -1.56510, -1.56510
148, -1.65137, -1.65137
149, -1.69061, -1.69061
150, -1.68656, -1.68656
151, -1.76417, -1.76417
152, -1.77747, -1.77747
153, -1.83872, -1.83872
154, -1.85718, -1.85718
155, -1.87305, -1.87305
156, -1.88178, -1.88178
157, -1.92478, -1.92478
158, -1.97445, -1.97445
159, -1.90833, -1.90833
