  i, ellQ, ellK 
  0, 1.77876, 1.77876
  1, 1.77876, 
  2, 1.73601, 1.73601
  3, 1.73601, 
  4, 1.72267, 1.72267
  5, 1.72267, 
  6, 1.64464, 1.64464
  7, 1.64464, 
  8, 1.66349, 1.66349
  9, 1.66349, 
 10, 1.60771, 1.60771
 11, 1.60771, 
 12, 1.56839, 1.56839
 13, 1.56839, 
 14, 1.54870, 1.54870
 15, 1.54870, 
 16, 1.49230, 1.49230
 17, 1.49230, 
 18, 1.45472, 1.45472
 19, 1.45472, 
 20, 1.37103, 1.37103
 21, 1.37103, 
 22, 1.28016, 1.28016
 23, 1.28016, 
 24, 1.28943, 1.28943
 25, 1.28943, 
 26, 1.22883, 1.22883
 27, 1.22883, 
 28, 1.20778, 1.20778
 29, 1.20778, 
 30, 1.15257, 1.15257
 31, 1.15257, 
 32, 1.10396, 1.10396
 33, 1.10396, 
 34, 1.06371, 1.06371
 35, 1.06371, 
 36, 1.01217, 1.01217
 37, 1.01217, 
 38, 0.96225, 0.96225
 39, 0.96225, 
 40, 0.92403, 0.92403
 41, 0.92403, 
 42, 0.86006, 0.86006
 43, 0.86006, 
 44, 0.80601, 0.80601
 45, 0.80601, 
 46, 0.77312, 0.77312
 47, 0.77312, 
 48, 0.71035, 0.71035
 49, 0.71035, 
 50, 0.69579, 0.69579
 51, 0.69579, 
 52, 0.59023, 0.59023
 53, 0.59023, 
 54, 0.60947, 0.60947
 55, 0.60947, 
 56, 0.56433, 0.56433
 57, 0.56433, 
 58, 0.52705, 0.52705
 59, 0.52705, 
 60, 0.48407, 0.48407
 61, 0.48407, 
 62, 0.40466, 0.40466
 63, 0.40466, 
 64, 0.38951, 0.38951
 65, 0.38951, 
 66, 0.34106, 0.34106
 67, 0.34106, 
 68, 0.29299, 0.29299
 69, 0.29299, 
 70, 0.25957, 0.25957
 71, 0.25957, 
 72, 0.20056, 0.20056
 73, 0.20056, 
 74, 0.14159, 0.14159
 75, 0.14159, 
 76, 0.06822, 0.06822
 77, 0.06822, 
 78, 0.02467, 0.02467
 79, 0.02467, 
 80, 0.01194, 0.01194
 81, 0.01194, 
 82, -0.05669, -0.05669
 83, -0.05669, 
 84, -0.08016, -0.08016
 85, -0.08016, 
 86, -0.12253, -0.12253
 87, -0.12253, 
 88, -0.19146, -0.19146
 89, -0.19146, 
 90, -0.26382, -0.26382
 91, -0.26382, 
 92, -0.32582, -0.32582
 93, -0.32582, 
 94, -0.33231, -0.33231
 95, -0.33231, 
 96, -0.38092, -0.38092
 97, -0.38092, 
 98, -0.43363, -0.43363
 99, -0.43363, 
100, -0.49726, -0.49726
101, -0.49726, 
102, -0.51110, -0.51110
103, -0.51110, 
104, -0.54540, -0.54540
105, -0.54540, 
106, -0.59151, -0.59151
107, -0.59151, 
108, -0.64435, -0.64435
109, -0.64435, 
110, -0.69087, -0.69087
111, -0.69087, 
112, -0.74186, -0.74186
113, -0.74186, 
114, -0.74862, -0.74862
115, -0.74862, 
116, -0.81860, -0.81860
117, -0.81860, 
118, -0.85818, -0.85818
119, -0.85818, 
120, -0.95826, -0.95826
121, -0.95826, 
122, -0.95650, -0.95650
123, -0.95650, 
124, -0.99914, -0.99914
125, -0.99914, 
126, -1.03587, -1.03587
127, -1.03587, 
128, -1.09199, -1.09199
129, -1.09199, 
130, -1.12526, -1.12526
131, -1.12526, 
132, -1.19733, -1.19733
133, -1.19733, 
134, -1.27087, -1.27087
135, -1.27087, 
136, -1.32436, -1.32436
137, -1.32436, 
138, -1.35774, -1.35774
139, -1.35774, 
140, -1.41813, -1.41813
141, -1.41813, 
142, -1.46354, -1.46354
143, -1.46354, 
144, -1.53449, -1.53449
145, -1.53449, 
146, -1.67515, -1.67515
147, -1.67515, 
148, -1.71342, -1.71342
149, -1.71342, 
150, -1.71130, -1.71130
151, -1.71130, 
152, -1.78942, -1.78942
153, -1.78942, 
154, -1.96076, -1.96076
155, -1.96076, 
156, -2.03792, -2.03792
157, -2.03792, 
158, -2.11203, -2.11203
159, -2.11203, 
