  i, ellQ, ellK 
  0, 1.66313, 1.59121
  1, 1.51929, 
  2, 1.64278, 1.57086
  3, 1.49894, 
  4, 1.62796, 1.55604
  5, 1.48412, 
  6, 1.56812, 1.49620
  7, 1.42428, 
  8, 1.56801, 1.49608
  9, 1.42416, 
 10, 1.51959, 1.44767
 11, 1.37575, 
 12, 1.44467, 1.37275
 13, 1.30083, 
 14, 1.46264, 1.39072
 15, 1.31880, 
 16, 1.41786, 1.34594
 17, 1.27402, 
 18, 1.33109, 1.25917
 19, 1.18724, 
 20, 1.31890, 1.24697
 21, 1.17505, 
 22, 1.31250, 1.24058
 23, 1.16866, 
 24, 1.22405, 1.15213
 25, 1.08021, 
 26, 1.19987, 1.12795
 27, 1.05603, 
 28, 1.17239, 1.10047
 29, 1.02855, 
 30, 1.11626, 1.04434
 31, 0.97242, 
 32, 1.08365, 1.01173
 33, 0.93981, 
 34, 1.00640, 0.93448
 35, 0.86256, 
 36, 0.96712, 0.89520
 37, 0.82328, 
 38, 0.93158, 0.85966
 39, 0.78774, 
 40, 0.90279, 0.83087
 41, 0.75895, 
 42, 0.88689, 0.81497
 43, 0.74305, 
 44, 0.82773, 0.75581
 45, 0.68389, 
 46, 0.78141, 0.70949
 47, 0.63757, 
 48, 0.74644, 0.67452
 49, 0.60260, 
 50, 0.70762, 0.63570
 51, 0.56378, 
 52, 0.67702, 0.60510
 53, 0.53318, 
 54, 0.64225, 0.57033
 55, 0.49841, 
 56, 0.57842, 0.50650
 57, 0.43458, 
 58, 0.54911, 0.47719
 59, 0.40527, 
 60, 0.49653, 0.42461
 61, 0.35269, 
 62, 0.45988, 0.38796
 63, 0.31604, 
 64, 0.41223, 0.34031
 65, 0.26839, 
 66, 0.36770, 0.29578
 67, 0.22386, 
 68, 0.33708, 0.26515
 69, 0.19323, 
 70, 0.30131, 0.22939
 71, 0.15747, 
 72, 0.23925, 0.16733
 73, 0.09541, 
 74, 0.18667, 0.11475
 75, 0.04283, 
 76, 0.15982, 0.08790
 77, 0.01598, 
 78, 0.07477, 0.00285
 79, -0.06907, 
 80, 0.02232, -0.04960
 81, -0.12152, 
 82, 0.02015, -0.05177
 83, -0.12369, 
 84, -0.01475, -0.08667
 85, -0.15860, 
 86, -0.04961, -0.12153
 87, -0.19345, 
 88, -0.09271, -0.16463
 89, -0.23655, 
 90, -0.14375, -0.21567
 91, -0.28759, 
 92, -0.21751, -0.28943
 93, -0.36135, 
 94, -0.23218, -0.30411
 95, -0.37603, 
 96, -0.28983, -0.36175
 97, -0.43367, 
 98, -0.34253, -0.41446
 99, -0.48638, 
100, -0.40527, -0.47719
101, -0.54911, 
102, -0.40827, -0.48019
103, -0.55211, 
104, -0.41638, -0.48830
105, -0.56023, 
106, -0.45325, -0.52517
107, -0.59709, 
108, -0.50501, -0.57693
109, -0.64885, 
110, -0.53795, -0.60987
111, -0.68179, 
112, -0.58746, -0.65938
113, -0.73130, 
114, -0.64116, -0.71308
115, -0.78500, 
116, -0.65440, -0.72632
117, -0.79824, 
118, -0.70486, -0.77679
119, -0.84871, 
120, -0.77232, -0.84424
121, -0.91616, 
122, -0.80077, -0.87270
123, -0.94462, 
124, -0.87545, -0.94737
125, -1.01929, 
126, -0.87312, -0.94504
127, -1.01696, 
128, -1.00693, -1.07885
129, -1.15077, 
130, -0.97924, -1.05116
131, -1.12308, 
132, -1.04003, -1.11195
133, -1.18387, 
134, -1.08392, -1.15584
135, -1.22776, 
136, -1.17976, -1.25168
137, -1.32360, 
138, -1.18961, -1.26153
139, -1.33346, 
140, -1.24453, -1.31645
141, -1.38837, 
142, -1.25712, -1.32904
143, -1.40097, 
144, -1.33212, -1.40404
145, -1.47596, 
146, -1.39278, -1.46470
147, -1.53662, 
148, -1.45530, -1.52722
149, -1.59914, 
150, -1.53679, -1.60871
151, -1.68063, 
152, -1.58472, -1.65664
153, -1.72856, 
154, -1.61419, -1.68611
155, -1.75803, 
156, -1.57184, -1.64376
157, -1.71568, 
158, -1.71488, -1.78680
159, -1.85872, 
