  i, ellQ, ellK 
  0, 1.74737, 1.74737
  1, 1.74737, 
  2, 1.71703, 1.71703
  3, 1.71703, 
  4, 1.72320, 1.72320
  5, 1.72320, 
  6, 1.68588, 1.68588
  7, 1.68588, 
  8, 1.62080, 1.62080
  9, 1.62080, 
 10, 1.62474, 1.62474
 11, 1.62474, 
 12, 1.52165, 1.52165
 13, 1.52165, 
 14, 1.51696, 1.51696
 15, 1.51696, 
 16, 1.44179, 1.44179
 17, 1.44179, 
 18, 1.41055, 1.41055
 19, 1.41055, 
 20, 1.39935, 1.39935
 21, 1.39935, 
 22, 1.29687, 1.29687
 23, 1.29687, 
 24, 1.29707, 1.29707
 25, 1.29707, 
 26, 1.24646, 1.24646
 27, 1.24646, 
 28, 1.20695, 1.20695
 29, 1.20695, 
 30, 1.14456, 1.14456
 31, 1.14456, 
 32, 1.10514, 1.10514
 33, 1.10514, 
 34, 1.07968, 1.07968
 35, 1.07968, 
 36, 0.98596, 0.98596
 37, 0.98596, 
 38, 0.97977, 0.97977
 39, 0.97977, 
 40, 0.92921, 0.92921
 41, 0.92921, 
 42, 0.87912, 0.87912
 43, 0.87912, 
 44, 0.84527, 0.84527
 45, 0.84527, 
 46, 0.74314, 0.74314
 47, 0.74314, 
 48, 0.69387, 0.69387
 49, 0.69387, 
 50, 0.68171, 0.68171
 51, 0.68171, 
 52, 0.63867, 0.63867
 53, 0.63867, 
 54, 0.61241, 0.61241
 55, 0.61241, 
 56, 0.56967, 0.56967
 57, 0.56967, 
 58, 0.54803, 0.54803
 59, 0.54803, 
 60, 0.46641, 0.46641
 61, 0.46641, 
 62, 0.42123, 0.42123
 63, 0.42123, 
 64, 0.36680, 0.36680
 65, 0.36680, 
 66, 0.31123, 0.31123
 67, 0.31123, 
 68, 0.29529, 0.29529
 69, 0.29529, 
 70, 0.22873, 0.22873
 71, 0.22873, 
 72, 0.20986, 0.20986
 73, 0.20986, 
 74, 0.11022, 0.11022
 75, 0.11022, 
 76, 0.12023, 0.12023
 77, 0.12023, 
 78, 0.06261, 0.06261
 79, 0.06261, 
 80, 0.00616, 0.00616
 81, 0.00616, 
 82, -0.07147, -0.07147
 83, -0.07147, 
 84, -0.09748, -0.09748
 85, -0.09748, 
 86, -0.14685, -0.14685
 87, -0.14685, 
 88, -0.20372, -0.20372
 89, -0.20372, 
 90, -0.24217, -0.24217
 91, -0.24217, 
 92, -0.29717, -0.29717
 93, -0.29717, 
 94, -0.38927, -0.38927
 95, -0.38927, 
 96, -0.41040, -0.41040
 97, -0.41040, 
 98, -0.44294, -0.44294
 99, -0.44294, 
100, -0.47564, -0.47564
101, -0.47564, 
102, -0.53874, -0.53874
103, -0.53874, 
104, -0.54706, -0.54706
105, -0.54706, 
106, -0.58414, -0.58414
107, -0.58414, 
108, -0.62023, -0.62023
109, -0.62023, 
110, -0.70755, -0.70755
111, -0.70755, 
112, -0.72106, -0.72106
113, -0.72106, 
114, -0.73633, -0.73633
115, -0.73633, 
116, -0.85906, -0.85906
117, -0.85906, 
118, -0.83200, -0.83200
119, -0.83200, 
120, -0.87979, -0.87979
121, -0.87979, 
122, -0.92350, -0.92350
123, -0.92350, 
124, -0.99288, -0.99288
125, -0.99288, 
126, -1.09782, -1.09782
127, -1.09782, 
128, -1.08384, -1.08384
129, -1.08384, 
130, -1.15313, -1.15313
131, -1.15313, 
132, -1.20629, -1.20629
133, -1.20629, 
134, -1.30429, -1.30429
135, -1.30429, 
136, -1.31165, -1.31165
137, -1.31165, 
138, -1.36661, -1.36661
139, -1.36661, 
140, -1.49197, -1.49197
141, -1.49197, 
142, -1.49950, -1.49950
143, -1.49950, 
144, -1.52391, -1.52391
145, -1.52391, 
146, -1.62678, -1.62678
147, -1.62678, 
148, -1.68339, -1.68339
149, -1.68339, 
150, -1.84046, -1.84046
151, -1.84046, 
152, -1.86908, -1.86908
153, -1.86908, 
154, -1.78760, -1.78760
155, -1.78760, 
156, -1.86791, -1.86791
157, -1.86791, 
158, -2.05796, -2.05796
159, -2.05796, 
