  i, ellQ, ellK
  0, 1.893460, 1.872196
  1, 1.887708, 
  2, 1.876958, 
  3, 1.871504, 
  4, 1.871058, 
  5, 1.867204, 
  6, 1.856884, 
  7, 1.852802, 
  8, 1.711084, 1.678954
  9, 1.704770, 
 10, 1.690226, 
 11, 1.678438, 
 12, 1.677072, 
 13, 1.669626, 
 14, 1.654410, 
 15, 1.645996, 
 16, 1.512426, 1.498620
 17, 1.506806, 
 18, 1.500426, 
 19, 1.499236, 
 20, 1.498766, 
 21, 1.496200, 
 22, 1.490020, 
 23, 1.485090, 
 24, 1.337992, 1.310272
 25, 1.331314, 
 26, 1.325904, 
 27, 1.313098, 
 28, 1.305986, 
 29, 1.298954, 
 30, 1.291670, 
 31, 1.277252, 
 32, 1.158044, 1.139882
 33, 1.149658, 
 34, 1.144194, 
 35, 1.140198, 
 36, 1.139808, 
 37, 1.135616, 
 38, 1.131760, 
 39, 1.119798, 
 40, 0.967220, 0.939152
 41, 0.954326, 
 42, 0.946788, 
 43, 0.939894, 
 44, 0.938960, 
 45, 0.933360, 
 46, 0.922624, 
 47, 0.910024, 
 48, 0.739978, 0.701374
 49, 0.727070, 
 50, 0.720916, 
 51, 0.704378, 
 52, 0.700534, 
 53, 0.679032, 
 54, 0.673706, 
 55, 0.665388, 
 56, 0.558360, 0.534732
 57, 0.552156, 
 58, 0.543190, 
 59, 0.533060, 
 60, 0.532460, 
 61, 0.527798, 
 62, 0.521512, 
 63, 0.509314, 
 64, 0.374032, 0.368582
 65, 0.372376, 
 66, 0.369800, 
 67, 0.368664, 
 68, 0.368626, 
 69, 0.367352, 
 70, 0.364842, 
 71, 0.362958, 
 72, 0.159592, 0.122976
 73, 0.139490, 
 74, 0.130616, 
 75, 0.110870, 
 76, 0.131518, 
 77, 0.114482, 
 78, 0.108864, 
 79, 0.088372, 
 80, -0.040602, -0.058876
 81, -0.047154, 
 82, -0.055548, 
 83, -0.058846, 
 84, -0.059232, 
 85, -0.061688, 
 86, -0.069472, 
 87, -0.078476, 
 88, -0.255378, -0.272282
 89, -0.262812, 
 90, -0.265416, 
 91, -0.268250, 
 92, -0.273364, 
 93, -0.278560, 
 94, -0.286280, 
 95, -0.288186, 
 96, -0.476488, -0.500462
 97, -0.485144, 
 98, -0.490418, 
 99, -0.500934, 
100, -0.501404, 
101, -0.508660, 
102, -0.515166, 
103, -0.525474, 
104, -0.641262, -0.661386
105, -0.651142, 
106, -0.654364, 
107, -0.660686, 
108, -0.661106, 
109, -0.668918, 
110, -0.672652, 
111, -0.680954, 
112, -0.848258, -0.886474
113, -0.866950, 
114, -0.871210, 
115, -0.885256, 
116, -0.889656, 
117, -0.899398, 
118, -0.902596, 
119, -0.928454, 
120, -0.984804, -1.053522
121, -1.037156, 
122, -1.032362, 
123, -1.048214, 
124, -1.054736, 
125, -1.075240, 
126, -1.080866, 
127, -1.114806, 
128, -1.211900, -1.256780
129, -1.234576, 
130, -1.249016, 
131, -1.254684, 
132, -1.257764, 
133, -1.262192, 
134, -1.269522, 
135, -1.314592, 
136, -1.508632, -1.561842
137, -1.537640, 
138, -1.541690, 
139, -1.554318, 
140, -1.568734, 
141, -1.577554, 
142, -1.586686, 
143, -1.619498, 
144, -1.715570, -1.829414
145, -1.765926, 
146, -1.786336, 
147, -1.837600, 
148, -1.821618, 
149, -1.859408, 
150, -1.890676, 
151, -1.958164, 
152, -1.959954, -2.085702
153, -2.042124, 
154, -2.042608, 
155, -2.081746, 
156, -2.080690, 
157, -2.140260, 
158, -2.150292, 
159, -2.187944, 
