  i, ellQ, ellK 
  0, 1.87283, 1.83722
  1, 1.87207, 
  2, 1.85384, 
  3, 1.83167, 
  4, 1.83132, 
  5, 1.81985, 
  6, 1.80821, 
  7, 1.80800, 
  8, 1.70761, 1.67336
  9, 1.70761, 
 10, 1.68793, 
 11, 1.66906, 
 12, 1.66786, 
 13, 1.66086, 
 14, 1.64439, 
 15, 1.64152, 
 16, 1.42331, 1.41921
 17, 1.42151, 
 18, 1.41921, 
 19, 1.41921, 
 20, 1.41921, 
 21, 1.41917, 
 22, 1.41718, 
 23, 1.41488, 
 24, 1.33953, 1.26455
 25, 1.31515, 
 26, 1.30221, 
 27, 1.28155, 
 28, 1.24817, 
 29, 1.24594, 
 30, 1.22113, 
 31, 1.16274, 
 32, 1.18723, 1.17930
 33, 1.18189, 
 34, 1.17930, 
 35, 1.17930, 
 36, 1.17930, 
 37, 1.17921, 
 38, 1.17751, 
 39, 1.17068, 
 40, 0.98125, 0.96491
 41, 0.98125, 
 42, 0.97262, 
 43, 0.96314, 
 44, 0.96296, 
 45, 0.95757, 
 46, 0.95046, 
 47, 0.94999, 
 48, 0.74938, 0.72050
 49, 0.74385, 
 50, 0.74361, 
 51, 0.72235, 
 52, 0.72138, 
 53, 0.69616, 
 54, 0.69553, 
 55, 0.69178, 
 56, 0.55919, 0.52834
 57, 0.55879, 
 58, 0.54709, 
 59, 0.52405, 
 60, 0.52299, 
 61, 0.51295, 
 62, 0.50341, 
 63, 0.49823, 
 64, 0.35842, 0.35631
 65, 0.35836, 
 66, 0.35695, 
 67, 0.35638, 
 68, 0.35637, 
 69, 0.35563, 
 70, 0.35418, 
 71, 0.35416, 
 72, 0.17656, 0.16018
 73, 0.17297, 
 74, 0.16715, 
 75, 0.15887, 
 76, 0.15878, 
 77, 0.15143, 
 78, 0.14935, 
 79, 0.14636, 
 80, -0.03949, -0.05310
 81, -0.04184, 
 82, -0.04967, 
 83, -0.05404, 
 84, -0.05404, 
 85, -0.05790, 
 86, -0.06293, 
 87, -0.06491, 
 88, -0.28503, -0.29348
 89, -0.29262, 
 90, -0.29279, 
 91, -0.29343, 
 92, -0.29346, 
 93, -0.29393, 
 94, -0.29483, 
 95, -0.30177, 
 96, -0.46018, -0.49929
 97, -0.47902, 
 98, -0.49198, 
 99, -0.49866, 
100, -0.49957, 
101, -0.50094, 
102, -0.51762, 
103, -0.54635, 
104, -0.62519, -0.63725
105, -0.62712, 
106, -0.62932, 
107, -0.63800, 
108, -0.63809, 
109, -0.64592, 
110, -0.64639, 
111, -0.64794, 
112, -0.89035, -0.92779
113, -0.91405, 
114, -0.92744, 
115, -0.92827, 
116, -0.92843, 
117, -0.93184, 
118, -0.93420, 
119, -0.96770, 
120, -0.96242, -1.08996
121, -1.07305, 
122, -1.07791, 
123, -1.07979, 
124, -1.09317, 
125, -1.12254, 
126, -1.13367, 
127, -1.17714, 
128, -1.17350, -1.23569
129, -1.22179, 
130, -1.22189, 
131, -1.23322, 
132, -1.23827, 
133, -1.24928, 
134, -1.24933, 
135, -1.29828, 
136, -1.48735, -1.57976
137, -1.52412, 
138, -1.52765, 
139, -1.54924, 
140, -1.60465, 
141, -1.60881, 
142, -1.63103, 
143, -1.70526, 
144, -1.72011, -1.88702
145, -1.79838, 
146, -1.79950, 
147, -1.86478, 
148, -1.92259, 
149, -1.95503, 
150, -1.95550, 
151, -2.08028, 
152, -1.72479, -1.90053
153, -1.83977, 
154, -1.82593, 
155, -1.87718, 
156, -1.93062, 
157, -1.99441, 
158, -2.00542, 
159, -2.00613, 
