  i, ellQ, ellK 
  0, 1.79924, 1.79809
  1, 1.79809, 
  2, 1.79809, 
  3, 1.79695, 
  4, 1.74641, 1.74631
  5, 1.74631, 
  6, 1.74631, 
  7, 1.74622, 
  8, 1.67795, 1.67786
  9, 1.67786, 
 10, 1.67786, 
 11, 1.67778, 
 12, 1.53247, 1.52046
 13, 1.52060, 
 14, 1.52031, 
 15, 1.50845, 
 16, 1.50821, 1.49766
 17, 1.49777, 
 18, 1.49755, 
 19, 1.48711, 
 20, 1.38545, 1.34673
 21, 1.34822, 
 22, 1.34523, 
 23, 1.30800, 
 24, 1.31870, 1.31589
 25, 1.31590, 
 26, 1.31588, 
 27, 1.31308, 
 28, 1.22557, 1.21636
 29, 1.21644, 
 30, 1.21627, 
 31, 1.20715, 
 32, 1.14825, 1.14578
 33, 1.14578, 
 34, 1.14577, 
 35, 1.14331, 
 36, 1.04646, 1.04371
 37, 1.04372, 
 38, 1.04371, 
 39, 1.04097, 
 40, 0.93184, 0.91260
 41, 0.91297, 
 42, 0.91223, 
 43, 0.89336, 
 44, 0.85864, 0.85848
 45, 0.85848, 
 46, 0.85848, 
 47, 0.85832, 
 48, 0.75856, 0.75355
 49, 0.75357, 
 50, 0.75352, 
 51, 0.74853, 
 52, 0.66218, 0.66134
 53, 0.66134, 
 54, 0.66134, 
 55, 0.66049, 
 56, 0.52132, 0.52113
 57, 0.52113, 
 58, 0.52113, 
 59, 0.52094, 
 60, 0.44507, 0.44214
 61, 0.44214, 
 62, 0.44213, 
 63, 0.43921, 
 64, 0.34468, 0.32126
 65, 0.32181, 
 66, 0.32071, 
 67, 0.29783, 
 68, 0.29254, 0.28852
 69, 0.28853, 
 70, 0.28850, 
 71, 0.28450, 
 72, 0.20976, 0.20314
 73, 0.20318, 
 74, 0.20309, 
 75, 0.19651, 
 76, 0.07790, 0.07306
 77, 0.07308, 
 78, 0.07304, 
 79, 0.06822, 
 80, -0.02548, -0.03954
 81, -0.03934, 
 82, -0.03974, 
 83, -0.05360, 
 84, -0.10787, -0.10787
 85, -0.10787, 
 86, -0.10787, 
 87, -0.10787, 
 88, -0.22736, -0.22747
 89, -0.22747, 
 90, -0.22747, 
 91, -0.22758, 
 92, -0.36818, -0.37336
 93, -0.37334, 
 94, -0.37339, 
 95, -0.37854, 
 96, -0.46627, -0.46683
 97, -0.46683, 
 98, -0.46683, 
 99, -0.46738, 
100, -0.53091, -0.55297
101, -0.55249, 
102, -0.55346, 
103, -0.57504, 
104, -0.59827, -0.60169
105, -0.60168, 
106, -0.60170, 
107, -0.60511, 
108, -0.67003, -0.68464
109, -0.68442, 
110, -0.68485, 
111, -0.69924, 
112, -0.73947, -0.74812
113, -0.74804, 
114, -0.74819, 
115, -0.75676, 
116, -0.86203, -0.86233
117, -0.86233, 
118, -0.86233, 
119, -0.86262, 
120, -0.94935, -0.97805
121, -0.97723, 
122, -0.97887, 
123, -1.00674, 
124, -1.02274, -1.02441
125, -1.02441, 
126, -1.02441, 
127, -1.02608, 
128, -1.15870, -1.17507
129, -1.17480, 
130, -1.17534, 
131, -1.19144, 
132, -1.29111, -1.31130
133, -1.31089, 
134, -1.31171, 
135, -1.33149, 
136, -1.39105, -1.41653
137, -1.41589, 
138, -1.41718, 
139, -1.44201, 
140, -1.46749, -1.49050
141, -1.48997, 
142, -1.49103, 
143, -1.51351, 
144, -1.63023, -1.65770
145, -1.65695, 
146, -1.65845, 
147, -1.68517, 
148, -1.71934, -1.74457
149, -1.74393, 
150, -1.74520, 
151, -1.76980, 
152, -1.83441, -1.84088
153, -1.84084, 
154, -1.84092, 
155, -1.84736, 
156, -2.02040, -2.04023
157, -2.03983, 
158, -2.04062, 
159, -2.06005, 
