  i, ellQ, ellK 
  0, 1.66945, 1.59753
  1, 1.52561, 
  2, 1.65452, 1.58259
  3, 1.51067, 
  4, 1.60797, 1.53605
  5, 1.46413, 
  6, 1.56903, 1.49711
  7, 1.42519, 
  8, 1.52242, 1.45049
  9, 1.37857, 
 10, 1.43201, 1.36009
 11, 1.28817, 
 12, 1.44718, 1.37526
 13, 1.30334, 
 14, 1.43910, 1.36718
 15, 1.29526, 
 16, 1.44155, 1.36963
 17, 1.29771, 
 18, 1.33331, 1.26139
 19, 1.18947, 
 20, 1.29452, 1.22260
 21, 1.15068, 
 22, 1.27649, 1.20457
 23, 1.13265, 
 24, 1.21507, 1.14315
 25, 1.07123, 
 26, 1.15361, 1.08169
 27, 1.00977, 
 28, 1.17815, 1.10623
 29, 1.03431, 
 30, 1.12284, 1.05092
 31, 0.97900, 
 32, 1.07597, 1.00405
 33, 0.93213, 
 34, 1.01279, 0.94086
 35, 0.86894, 
 36, 1.00513, 0.93321
 37, 0.86129, 
 38, 0.97388, 0.90196
 39, 0.83003, 
 40, 0.90562, 0.83370
 41, 0.76178, 
 42, 0.85934, 0.78742
 43, 0.71550, 
 44, 0.85190, 0.77998
 45, 0.70806, 
 46, 0.79588, 0.72396
 47, 0.65204, 
 48, 0.75504, 0.68312
 49, 0.61120, 
 50, 0.69751, 0.62559
 51, 0.55367, 
 52, 0.65935, 0.58743
 53, 0.51551, 
 54, 0.59041, 0.51849
 55, 0.44657, 
 56, 0.57188, 0.49996
 57, 0.42804, 
 58, 0.55094, 0.47902
 59, 0.40710, 
 60, 0.51673, 0.44481
 61, 0.37289, 
 62, 0.45658, 0.38466
 63, 0.31274, 
 64, 0.42726, 0.35534
 65, 0.28342, 
 66, 0.40222, 0.33030
 67, 0.25838, 
 68, 0.34910, 0.27718
 69, 0.20526, 
 70, 0.31221, 0.24029
 71, 0.16837, 
 72, 0.24232, 0.17040
 73, 0.09848, 
 74, 0.21497, 0.14305
 75, 0.07113, 
 76, 0.16176, 0.08984
 77, 0.01792, 
 78, 0.12136, 0.04944
 79, -0.02248, 
 80, 0.06860, -0.00332
 81, -0.07524, 
 82, 0.02895, -0.04297
 83, -0.11489, 
 84, -0.08678, -0.15870
 85, -0.23063, 
 86, -0.05944, -0.13136
 87, -0.20328, 
 88, -0.11151, -0.18343
 89, -0.25536, 
 90, -0.16433, -0.23625
 91, -0.30817, 
 92, -0.17603, -0.24795
 93, -0.31987, 
 94, -0.23208, -0.30400
 95, -0.37592, 
 96, -0.29899, -0.37091
 97, -0.44283, 
 98, -0.33132, -0.40324
 99, -0.47516, 
100, -0.39017, -0.46209
101, -0.53401, 
102, -0.39177, -0.46369
103, -0.53561, 
104, -0.43876, -0.51068
105, -0.58260, 
106, -0.45770, -0.52962
107, -0.60154, 
108, -0.49695, -0.56887
109, -0.64079, 
110, -0.54418, -0.61610
111, -0.68802, 
112, -0.56587, -0.63779
113, -0.70971, 
114, -0.63257, -0.70449
115, -0.77641, 
116, -0.66067, -0.73259
117, -0.80451, 
118, -0.69036, -0.76228
119, -0.83420, 
120, -0.75300, -0.82492
121, -0.89684, 
122, -0.77861, -0.85053
123, -0.92245, 
124, -0.82970, -0.90162
125, -0.97354, 
126, -0.92146, -0.99338
127, -1.06530, 
128, -0.93935, -1.01127
129, -1.08319, 
130, -0.99116, -1.06308
131, -1.13500, 
132, -1.04808, -1.12000
133, -1.19192, 
134, -1.09185, -1.16377
135, -1.23569, 
136, -1.07356, -1.14548
137, -1.21740, 
138, -1.16408, -1.23600
139, -1.30792, 
140, -1.23582, -1.30774
141, -1.37966, 
142, -1.27870, -1.35062
143, -1.42254, 
144, -1.29502, -1.36694
145, -1.43886, 
146, -1.36154, -1.43346
147, -1.50538, 
148, -1.45926, -1.53118
149, -1.60310, 
150, -1.53577, -1.60769
151, -1.67961, 
152, -1.57444, -1.64636
153, -1.71828, 
154, -1.60280, -1.67472
155, -1.74664, 
156, -1.74309, -1.81501
157, -1.88693, 
158, -1.80453, -1.87645
159, -1.94837, 
