  i, ellQ, ellK 
  0, 1.63716, 1.44551
  1, 1.57711, 
  2, 1.49122, 
  3, 1.51301, 
  4, 1.40331, 
  5, 1.39453, 
  6, 1.33880, 
  7, 1.20893, 
  8, 1.50078, 1.28601
  9, 1.35694, 
 10, 1.39848, 
 11, 1.25464, 
 12, 1.35700, 
 13, 1.21316, 
 14, 1.17545, 
 15, 1.03161, 
 16, 1.38098, 1.17232
 17, 1.23714, 
 18, 1.31337, 
 19, 1.20380, 
 20, 1.16624, 
 21, 1.05437, 
 22, 1.08325, 
 23, 0.93941, 
 24, 1.25113, 1.06189
 25, 1.10729, 
 26, 1.16437, 
 27, 1.02053, 
 28, 1.10486, 
 29, 0.96102, 
 30, 1.01487, 
 31, 0.87103, 
 32, 1.06265, 0.88831
 33, 0.91881, 
 34, 0.99050, 
 35, 0.84666, 
 36, 0.93761, 
 37, 0.85204, 
 38, 0.79189, 
 39, 0.70632, 
 40, 0.93942, 0.76314
 41, 0.79558, 
 42, 0.86486, 
 43, 0.72102, 
 44, 0.81679, 
 45, 0.67295, 
 46, 0.71918, 
 47, 0.57534, 
 48, 0.73743, 0.54772
 49, 0.59359, 
 50, 0.65287, 
 51, 0.50903, 
 52, 0.59683, 
 53, 0.51336, 
 54, 0.43108, 
 55, 0.34761, 
 56, 0.60605, 0.43303
 57, 0.46220, 
 58, 0.54659, 
 59, 0.40275, 
 60, 0.48732, 
 61, 0.34348, 
 62, 0.37983, 
 63, 0.23599, 
 64, 0.45935, 0.27143
 65, 0.31551, 
 66, 0.39590, 
 67, 0.35182, 
 68, 0.22040, 
 69, 0.21983, 
 70, 0.16552, 
 71, 0.04308, 
 72, 0.30359, 0.12896
 73, 0.15975, 
 74, 0.24902, 
 75, 0.10518, 
 76, 0.18953, 
 77, 0.04569, 
 78, 0.06136, 
 79, -0.08248, 
 80, 0.13313, -0.03791
 81, -0.01071, 
 82, 0.09006, 
 83, 0.03573, 
 84, -0.07166, 
 85, -0.12600, 
 86, -0.10497, 
 87, -0.24882, 
 88, -0.03757, -0.21732
 89, -0.18141, 
 90, -0.10782, 
 91, -0.25166, 
 92, -0.15333, 
 93, -0.29717, 
 94, -0.28288, 
 95, -0.42672, 
 96, -0.20490, -0.41234
 97, -0.34874, 
 98, -0.27731, 
 99, -0.42115, 
100, -0.39966, 
101, -0.54350, 
102, -0.47981, 
103, -0.62365, 
104, -0.33789, -0.52078
105, -0.42887, 
106, -0.48240, 
107, -0.57339, 
108, -0.47999, 
109, -0.62383, 
110, -0.54802, 
111, -0.69186, 
112, -0.50202, -0.69218
113, -0.64586, 
114, -0.59214, 
115, -0.73598, 
116, -0.65840, 
117, -0.80224, 
118, -0.72850, 
119, -0.87234, 
120, -0.63805, -0.85938
121, -0.78189, 
122, -0.73110, 
123, -0.87494, 
124, -0.81652, 
125, -0.96036, 
126, -0.96417, 
127, -1.10801, 
128, -0.81190, -0.98828
129, -0.95574, 
130, -0.87887, 
131, -0.92691, 
132, -1.03503, 
133, -1.03010, 
134, -1.08839, 
135, -1.17927, 
136, -0.98354, -1.19690
137, -1.12738, 
138, -1.12115, 
139, -1.26499, 
140, -1.17985, 
141, -1.32369, 
142, -1.21539, 
143, -1.35923, 
144, -1.19753, -1.41549
145, -1.34137, 
146, -1.33181, 
147, -1.47565, 
148, -1.39900, 
149, -1.54284, 
150, -1.44593, 
151, -1.58977, 
152, -1.42869, -1.65773
153, -1.57253, 
154, -1.48093, 
155, -1.62477, 
156, -1.67279, 
157, -1.81664, 
158, -1.76084, 
159, -1.90469, 
