  i, ellQ, ellK
  0, 1.752136, 1.752136
  1, 1.752136, 
  2, 1.740074, 1.740074
  3, 1.740074, 
  4, 1.697246, 1.697246
  5, 1.697246, 
  6, 1.661910, 1.661910
  7, 1.661910, 
  8, 1.647500, 1.647500
  9, 1.647500, 
 10, 1.606812, 1.606812
 11, 1.606812, 
 12, 1.548688, 1.548688
 13, 1.548688, 
 14, 1.517682, 1.517682
 15, 1.517682, 
 16, 1.477220, 1.477220
 17, 1.477220, 
 18, 1.443714, 1.443714
 19, 1.443714, 
 20, 1.389124, 1.389124
 21, 1.389124, 
 22, 1.295378, 1.295378
 23, 1.295378, 
 24, 1.288014, 1.288014
 25, 1.288014, 
 26, 1.240768, 1.240768
 27, 1.240768, 
 28, 1.210600, 1.210600
 29, 1.210600, 
 30, 1.147610, 1.147610
 31, 1.147610, 
 32, 1.108912, 1.108912
 33, 1.108912, 
 34, 1.065584, 1.065584
 35, 1.065584, 
 36, 1.008118, 1.008118
 37, 1.008118, 
 38, 0.969254, 0.969254
 39, 0.969254, 
 40, 0.939634, 0.939634
 41, 0.939634, 
 42, 0.868220, 0.868220
 43, 0.868220, 
 44, 0.831984, 0.831984
 45, 0.831984, 
 46, 0.779578, 0.779578
 47, 0.779578, 
 48, 0.720242, 0.720242
 49, 0.720242, 
 50, 0.688186, 0.688186
 51, 0.688186, 
 52, 0.628118, 0.628118
 53, 0.628118, 
 54, 0.603518, 0.603518
 55, 0.603518, 
 56, 0.566612, 0.566612
 57, 0.566612, 
 58, 0.515286, 0.515286
 59, 0.515286, 
 60, 0.473962, 0.473962
 61, 0.473962, 
 62, 0.403188, 0.403188
 63, 0.403188, 
 64, 0.371576, 0.371576
 65, 0.371576, 
 66, 0.321118, 0.321118
 67, 0.321118, 
 68, 0.274242, 0.274242
 69, 0.274242, 
 70, 0.237490, 0.237490
 71, 0.237490, 
 72, 0.189028, 0.189028
 73, 0.189028, 
 74, 0.138402, 0.138402
 75, 0.138402, 
 76, 0.090926, 0.090926
 77, 0.090926, 
 78, 0.045440, 0.045440
 79, 0.045440, 
 80, 0.002624, 0.002624
 81, 0.002624, 
 82, -0.078228, -0.078228
 83, -0.078228, 
 84, -0.100494, -0.100494
 85, -0.100494, 
 86, -0.151556, -0.151556
 87, -0.151556, 
 88, -0.212942, -0.212942
 89, -0.212942, 
 90, -0.243806, -0.243806
 91, -0.243806, 
 92, -0.302258, -0.302258
 93, -0.302258, 
 94, -0.357684, -0.357684
 95, -0.357684, 
 96, -0.399850, -0.399850
 97, -0.399850, 
 98, -0.433932, -0.433932
 99, -0.433932, 
100, -0.492736, -0.492736
101, -0.492736, 
102, -0.526974, -0.526974
103, -0.526974, 
104, -0.553940, -0.553940
105, -0.553940, 
106, -0.583010, -0.583010
107, -0.583010, 
108, -0.642772, -0.642772
109, -0.642772, 
110, -0.690188, -0.690188
111, -0.690188, 
112, -0.713292, -0.713292
113, -0.713292, 
114, -0.758032, -0.758032
115, -0.758032, 
116, -0.805704, -0.805704
117, -0.805704, 
118, -0.840922, -0.840922
119, -0.840922, 
120, -0.909526, -0.909526
121, -0.909526, 
122, -0.952948, -0.952948
123, -0.952948, 
124, -1.007348, -1.007348
125, -1.007348, 
126, -1.057950, -1.057950
127, -1.057950, 
128, -1.096406, -1.096406
129, -1.096406, 
130, -1.153326, -1.153326
131, -1.153326, 
132, -1.207062, -1.207062
133, -1.207062, 
134, -1.266556, -1.266556
135, -1.266556, 
136, -1.313906, -1.313906
137, -1.313906, 
138, -1.372218, -1.372218
139, -1.372218, 
140, -1.461354, -1.461354
141, -1.461354, 
142, -1.481506, -1.481506
143, -1.481506, 
144, -1.544512, -1.544512
145, -1.544512, 
146, -1.629076, -1.629076
147, -1.629076, 
148, -1.682388, -1.682388
149, -1.682388, 
150, -1.766256, -1.766256
151, -1.766256, 
152, -1.827666, -1.827666
153, -1.827666, 
154, -1.873992, -1.873992
155, -1.873992, 
156, -1.958652, -1.958652
157, -1.958652, 
158, -2.054744, -2.054744
159, -2.054744, 
