beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04353,	-0.04353,	89.55,	89.55
  2,	  5,	-0.04353,	-0.04353,	0.00,	89.55
  5,	  5,	-0.04353,	-0.04353,	57.16,	146.71
  6,	  5,	-0.04353,	-0.04353,	57.41,	204.12
  7,	  5,	-0.04327,	-0.04327,	59.56,	263.68
  8,	  5,	-0.04274,	-0.04274,	53.01,	316.70
  9,	  5,	-0.04203,	-0.04203,	44.85,	361.54
 10,	  5,	-0.04123,	-0.04123,	41.02,	402.56
 11,	  5,	-0.04034,	-0.04034,	38.48,	441.04
 12,	  5,	-0.03942,	-0.03942,	36.31,	477.34
 13,	  5,	-0.03852,	-0.03852,	36.23,	513.57
 14,	  5,	-0.03760,	-0.03760,	37.31,	550.88
 15,	  5,	-0.03668,	-0.03668,	38.72,	589.60
 16,	  5,	-0.03575,	-0.03575,	40.87,	630.46
 17,	  5,	-0.03486,	-0.03486,	41.88,	672.35
 18,	  5,	-0.03409,	-0.03409,	44.00,	716.34
 19,	  5,	-0.03330,	-0.03330,	47.12,	763.46
 20,	  5,	-0.03262,	-0.03262,	47.92,	811.38
 21,	  5,	-0.03190,	-0.03190,	50.69,	862.07
 22,	  5,	-0.03130,	-0.03130,	53.26,	915.33
 23,	  5,	-0.03073,	-0.03073,	56.51,	971.83
 24,	  5,	-0.03027,	-0.03027,	59.85,	1031.68
 25,	  5,	-0.02980,	-0.02980,	62.12,	1093.81
 26,	  5,	-0.02940,	-0.02940,	65.40,	1159.21
 27,	  5,	-0.02908,	-0.02908,	71.14,	1230.35
 28,	  5,	-0.02876,	-0.02876,	76.06,	1306.41
 29,	  5,	-0.02852,	-0.02852,	84.35,	1390.76
 30,	  5,	-0.02831,	-0.02831,	91.66,	1482.42
 31,	  5,	-0.02807,	-0.02807,	83.05,	1565.47
 32,	  5,	-0.02790,	-0.02790,	88.56,	1654.02
 33,	  5,	-0.02768,	-0.02768,	93.28,	1747.30
 34,	  5,	-0.02750,	-0.02750,	98.04,	1845.34
 35,	  5,	-0.02740,	-0.02740,	106.61,	1951.96
 36,	  5,	-0.02723,	-0.02723,	110.27,	2062.22
 37,	  5,	-0.02712,	-0.02712,	120.97,	2183.19
 38,	  5,	-0.02695,	-0.02695,	130.45,	2313.64
 39,	  5,	-0.02674,	-0.02674,	138.87,	2452.52
 40,	  5,	-0.02661,	-0.02661,	148.79,	2601.30
 41,	  5,	-0.02642,	-0.02642,	288.79,	2890.09
 42,	  5,	-0.02620,	-0.02620,	321.71,	3211.80
 43,	  5,	-0.02605,	-0.02605,	486.95,	3698.75
 44,	  5,	-0.02583,	-0.02583,	548.43,	4247.18
 45,	  5,	-0.02564,	-0.02564,	745.35,	4992.53
 46,	  5,	-0.02546,	-0.02546,	837.88,	5830.41
 47,	  5,	-0.02531,	-0.02531,	1096.02,	6926.43
 48,	  5,	-0.02519,	-0.02519,	1208.47,	8134.90
 49,	  5,	-0.02503,	-0.02503,	1571.01,	9705.91
 50,	  5,	-0.02484,	-0.02484,	1752.12,	11458.02
 51,	  5,	-0.02469,	-0.02469,	2157.94,	13615.96
 52,	  5,	-0.02455,	-0.02455,	2391.55,	16007.51
 53,	  5,	-0.02445,	-0.02445,	2922.66,	18930.17
 54,	  5,	-0.02432,	-0.02432,	3295.01,	22225.18
 55,	  5,	-0.02413,	-0.02413,	3842.17,	26067.35
 56,	  5,	-0.02394,	-0.02394,	4225.48,	30292.83
 57,	  5,	-0.02379,	-0.02379,	4962.19,	35255.03
 58,	  5,	-0.02367,	-0.02367,	5470.87,	40725.90
 59,	  5,	-0.02347,	-0.02347,	6329.41,	47055.30
 60,	  5,	-0.02335,	-0.02335,	6953.19,	54008.50
 61,	  5,	-0.02318,	-0.02318,	7902.42,	61910.92
 62,	  5,	-0.02304,	-0.02304,	8378.10,	70289.01
 63,	  5,	-0.02296,	-0.02296,	9585.01,	79874.02
 64,	  5,	-0.02282,	-0.02282,	10359.97,	90233.99
 65,	  5,	-0.02272,	-0.02272,	11637.30,	101871.29
 66,	  5,	-0.02256,	-0.02256,	12414.33,	114285.63
 67,	  5,	-0.02245,	-0.02245,	14137.79,	128423.42
 68,	  5,	-0.02232,	-0.02232,	14713.58,	143137.00
 69,	  5,	-0.02222,	-0.02222,	16454.31,	159591.31
 70,	  5,	-0.02211,	-0.02211,	17153.39,	176744.70
 71,	  5,	-0.02198,	-0.02198,	19122.60,	195867.30
 72,	  5,	-0.02186,	-0.02186,	21292.12,	217159.42
 73,	  5,	-0.02174,	-0.02174,	24514.80,	241674.22
 74,	  5,	-0.02162,	-0.02162,	26257.30,	267931.52
