beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  3,	-0.04306,	-2.75851,	4306.92,	9767.47
  2,	  5,	-0.04143,	-2.65339,	3620.13,	13387.60
  8,	 40,	-0.04143,	-2.65339,	173.70,	13561.30
 16,	 40,	-0.04106,	-2.62905,	5036.79,	18598.09
 24,	 40,	-0.03694,	-2.36594,	3783.95,	22382.05
 32,	 40,	-0.03313,	-2.12172,	3563.64,	25945.68
 40,	 40,	-0.03098,	-1.98430,	3182.07,	29127.76
 48,	 40,	-0.02894,	-1.85340,	6118.76,	35246.52
 56,	 40,	-0.02700,	-1.72948,	11403.99,	46650.51
 64,	 40,	-0.02554,	-1.63576,	21593.33,	68243.84
 72,	 40,	-0.02398,	-1.53592,	41063.99,	109307.83
 80,	 40,	-0.02278,	-1.45876,	81376.24,	190684.07
