beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04425,	-0.04425,	73.44,	73.44
  2,	  5,	-0.04425,	-0.04425,	0.00,	73.44
  5,	  5,	-0.04425,	-0.04425,	56.84,	130.28
  6,	  5,	-0.04425,	-0.04425,	56.81,	187.09
  7,	  5,	-0.04403,	-0.04403,	58.48,	245.57
  8,	  5,	-0.04350,	-0.04350,	52.03,	297.59
  9,	  5,	-0.04278,	-0.04278,	43.73,	341.32
 10,	  5,	-0.04192,	-0.04192,	37.49,	378.81
 11,	  5,	-0.04101,	-0.04101,	31.47,	410.28
 12,	  5,	-0.04012,	-0.04012,	30.87,	441.15
 13,	  5,	-0.03916,	-0.03916,	30.06,	471.21
 14,	  5,	-0.03825,	-0.03825,	30.06,	501.27
 15,	  5,	-0.03722,	-0.03722,	32.10,	533.37
 16,	  5,	-0.03623,	-0.03623,	33.35,	566.71
 17,	  5,	-0.03528,	-0.03528,	34.57,	601.28
 18,	  5,	-0.03439,	-0.03439,	35.59,	636.87
 19,	  5,	-0.03355,	-0.03355,	37.93,	674.80
 20,	  5,	-0.03275,	-0.03275,	39.68,	714.48
 21,	  5,	-0.03205,	-0.03205,	41.33,	755.81
 22,	  5,	-0.03145,	-0.03145,	42.57,	798.38
 23,	  5,	-0.03090,	-0.03090,	44.80,	843.18
 24,	  5,	-0.03039,	-0.03039,	48.12,	891.30
 25,	  5,	-0.02991,	-0.02991,	51.27,	942.57
 26,	  5,	-0.02948,	-0.02948,	54.89,	997.46
 27,	  5,	-0.02912,	-0.02912,	57.86,	1055.32
 28,	  5,	-0.02875,	-0.02875,	63.57,	1118.89
 29,	  5,	-0.02850,	-0.02850,	69.64,	1188.53
 30,	  5,	-0.02829,	-0.02829,	76.43,	1264.96
 31,	  5,	-0.02807,	-0.02807,	68.60,	1333.56
 32,	  5,	-0.02792,	-0.02792,	73.55,	1407.11
 33,	  5,	-0.02776,	-0.02776,	76.15,	1483.26
 34,	  5,	-0.02758,	-0.02758,	79.40,	1562.66
 35,	  5,	-0.02743,	-0.02743,	86.42,	1649.08
 36,	  5,	-0.02724,	-0.02724,	92.66,	1741.74
 37,	  5,	-0.02709,	-0.02709,	99.43,	1841.17
 38,	  5,	-0.02698,	-0.02698,	109.55,	1950.72
 39,	  5,	-0.02678,	-0.02678,	118.11,	2068.83
 40,	  5,	-0.02661,	-0.02661,	125.78,	2194.61
 41,	  5,	-0.02636,	-0.02636,	249.95,	2444.56
 42,	  5,	-0.02625,	-0.02625,	270.71,	2715.26
 43,	  5,	-0.02603,	-0.02603,	413.01,	3128.27
 44,	  5,	-0.02586,	-0.02586,	455.08,	3583.35
 45,	  5,	-0.02565,	-0.02565,	629.62,	4212.97
 46,	  5,	-0.02550,	-0.02550,	705.77,	4918.75
 47,	  5,	-0.02537,	-0.02537,	927.95,	5846.70
 48,	  5,	-0.02526,	-0.02526,	1044.01,	6890.71
 49,	  5,	-0.02505,	-0.02505,	1295.08,	8185.79
 50,	  5,	-0.02488,	-0.02488,	1470.02,	9655.81
 51,	  5,	-0.02472,	-0.02472,	1801.37,	11457.18
 52,	  5,	-0.02457,	-0.02457,	2006.13,	13463.31
 53,	  5,	-0.02440,	-0.02440,	2384.14,	15847.45
 54,	  5,	-0.02427,	-0.02427,	2654.44,	18501.88
 55,	  5,	-0.02409,	-0.02409,	3117.95,	21619.84
 56,	  5,	-0.02394,	-0.02394,	3539.68,	25159.52
 57,	  5,	-0.02382,	-0.02382,	4086.32,	29245.83
 58,	  5,	-0.02367,	-0.02367,	4467.15,	33712.98
 59,	  5,	-0.02351,	-0.02351,	5075.33,	38788.31
 60,	  5,	-0.02336,	-0.02336,	5558.61,	44346.93
 61,	  5,	-0.02324,	-0.02324,	6454.60,	50801.53
 62,	  5,	-0.02313,	-0.02313,	6950.63,	57752.15
 63,	  5,	-0.02299,	-0.02299,	7803.20,	65555.36
 64,	  5,	-0.02283,	-0.02283,	8294.55,	73849.91
 65,	  5,	-0.02268,	-0.02268,	9574.68,	83424.59
 66,	  5,	-0.02257,	-0.02257,	10261.74,	93686.33
 67,	  5,	-0.02250,	-0.02250,	11488.07,	105174.40
 68,	  5,	-0.02230,	-0.02230,	11778.48,	116952.88
 69,	  5,	-0.02221,	-0.02221,	13496.22,	130449.10
 70,	  5,	-0.02209,	-0.02209,	14030.29,	144479.40
 71,	  5,	-0.02194,	-0.02194,	15952.80,	160432.20
 72,	  5,	-0.02185,	-0.02185,	17989.85,	178422.04
 73,	  5,	-0.02176,	-0.02176,	20164.24,	198586.29
 74,	  5,	-0.02162,	-0.02162,	22791.49,	221377.78
 75,	  5,	-0.02149,	-0.02149,	25014.53,	246392.31
 76,	  5,	-0.02140,	-0.02140,	27912.42,	274304.73
