beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04385,	-0.04385,	98.54,	98.54
  2,	  5,	-0.04385,	-0.04385,	0.00,	98.54
  5,	  5,	-0.04385,	-0.04385,	56.90,	155.44
  6,	  5,	-0.04384,	-0.04384,	58.39,	213.83
  7,	  5,	-0.04351,	-0.04351,	59.93,	273.76
  8,	  5,	-0.04299,	-0.04299,	55.11,	328.87
  9,	  5,	-0.04228,	-0.04228,	47.00,	375.87
 10,	  5,	-0.04145,	-0.04145,	42.98,	418.85
 11,	  5,	-0.04063,	-0.04063,	40.46,	459.30
 12,	  5,	-0.03970,	-0.03970,	39.38,	498.68
 13,	  5,	-0.03876,	-0.03876,	38.65,	537.33
 14,	  5,	-0.03778,	-0.03778,	40.32,	577.65
 15,	  5,	-0.03683,	-0.03683,	42.36,	620.02
 16,	  5,	-0.03587,	-0.03587,	44.52,	664.53
 17,	  5,	-0.03497,	-0.03497,	46.49,	711.02
 18,	  5,	-0.03413,	-0.03413,	48.68,	759.70
 19,	  5,	-0.03335,	-0.03335,	51.19,	810.89
 20,	  5,	-0.03260,	-0.03260,	53.75,	864.64
 21,	  5,	-0.03194,	-0.03194,	55.50,	920.14
 22,	  5,	-0.03127,	-0.03127,	59.46,	979.60
 23,	  5,	-0.03072,	-0.03072,	62.08,	1041.69
 24,	  5,	-0.03022,	-0.03022,	64.55,	1106.24
 25,	  5,	-0.02975,	-0.02975,	69.15,	1175.39
 26,	  5,	-0.02943,	-0.02943,	74.17,	1249.56
 27,	  5,	-0.02902,	-0.02902,	77.09,	1326.65
 28,	  5,	-0.02873,	-0.02873,	86.04,	1412.69
 29,	  5,	-0.02849,	-0.02849,	91.61,	1504.30
 30,	  5,	-0.02821,	-0.02821,	99.13,	1603.43
 31,	  5,	-0.02800,	-0.02800,	92.62,	1696.05
 32,	  5,	-0.02784,	-0.02784,	97.73,	1793.78
 33,	  5,	-0.02772,	-0.02772,	103.98,	1897.76
 34,	  5,	-0.02752,	-0.02752,	107.98,	2005.74
 35,	  5,	-0.02736,	-0.02736,	115.13,	2120.87
 36,	  5,	-0.02726,	-0.02726,	121.43,	2242.31
 37,	  5,	-0.02709,	-0.02709,	131.03,	2373.34
 38,	  5,	-0.02691,	-0.02691,	141.35,	2514.69
 39,	  5,	-0.02674,	-0.02674,	152.94,	2667.63
 40,	  5,	-0.02661,	-0.02661,	162.23,	2829.86
 41,	  5,	-0.02639,	-0.02639,	315.88,	3145.73
 42,	  5,	-0.02618,	-0.02618,	351.07,	3496.80
 43,	  5,	-0.02598,	-0.02598,	524.18,	4020.98
 44,	  5,	-0.02581,	-0.02581,	600.16,	4621.14
 45,	  5,	-0.02566,	-0.02566,	828.49,	5449.63
 46,	  5,	-0.02552,	-0.02552,	915.82,	6365.45
 47,	  5,	-0.02530,	-0.02530,	1207.29,	7572.74
 48,	  5,	-0.02511,	-0.02511,	1367.51,	8940.25
 49,	  5,	-0.02495,	-0.02495,	1688.11,	10628.36
 50,	  5,	-0.02481,	-0.02481,	1929.46,	12557.81
 51,	  5,	-0.02468,	-0.02468,	2365.99,	14923.80
 52,	  5,	-0.02453,	-0.02453,	2670.16,	17593.96
 53,	  5,	-0.02437,	-0.02437,	3226.86,	20820.82
 54,	  5,	-0.02422,	-0.02422,	3593.36,	24414.18
 55,	  5,	-0.02405,	-0.02405,	4275.55,	28689.73
 56,	  5,	-0.02395,	-0.02395,	4850.97,	33540.70
 57,	  5,	-0.02381,	-0.02381,	5551.11,	39091.81
 58,	  5,	-0.02365,	-0.02365,	6065.62,	45157.43
 59,	  5,	-0.02351,	-0.02351,	7097.20,	52254.63
 60,	  5,	-0.02339,	-0.02339,	7635.75,	59890.38
 61,	  5,	-0.02326,	-0.02326,	8823.67,	68714.05
 62,	  5,	-0.02315,	-0.02315,	9489.71,	78203.76
 63,	  5,	-0.02297,	-0.02297,	10873.14,	89076.90
 64,	  5,	-0.02285,	-0.02285,	11513.34,	100590.25
 65,	  5,	-0.02273,	-0.02273,	13018.82,	113609.06
 66,	  5,	-0.02260,	-0.02260,	14045.74,	127654.81
 67,	  5,	-0.02247,	-0.02247,	15504.30,	143159.10
 68,	  5,	-0.02231,	-0.02231,	16381.26,	159540.36
 69,	  5,	-0.02220,	-0.02220,	18356.12,	177896.49
 70,	  5,	-0.02210,	-0.02210,	19334.75,	197231.24
 71,	  5,	-0.02200,	-0.02200,	21554.60,	218785.84
 72,	  5,	-0.02186,	-0.02186,	24237.07,	243022.91
 73,	  5,	-0.02173,	-0.02173,	26998.13,	270021.04
