beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04450,	-0.04450,	72.01,	72.01
  2,	  5,	-0.04450,	-0.04450,	0.00,	72.01
  5,	  5,	-0.04450,	-0.04450,	56.83,	128.85
  6,	  5,	-0.04439,	-0.04439,	58.13,	186.97
  7,	  5,	-0.04407,	-0.04407,	58.02,	244.99
  8,	  5,	-0.04350,	-0.04350,	52.28,	297.28
  9,	  5,	-0.04273,	-0.04273,	43.17,	340.44
 10,	  5,	-0.04190,	-0.04190,	36.09,	376.54
 11,	  5,	-0.04101,	-0.04101,	32.58,	409.12
 12,	  5,	-0.04011,	-0.04011,	29.31,	438.43
 13,	  5,	-0.03914,	-0.03914,	29.63,	468.06
 14,	  5,	-0.03813,	-0.03813,	30.16,	498.22
 15,	  5,	-0.03713,	-0.03713,	31.44,	529.66
 16,	  5,	-0.03618,	-0.03618,	32.73,	562.39
 17,	  5,	-0.03523,	-0.03523,	33.36,	595.75
 18,	  5,	-0.03432,	-0.03432,	35.73,	631.47
 19,	  5,	-0.03351,	-0.03351,	37.18,	668.65
 20,	  5,	-0.03274,	-0.03274,	39.04,	707.69
 21,	  5,	-0.03207,	-0.03207,	40.63,	748.31
 22,	  5,	-0.03144,	-0.03144,	43.18,	791.49
 23,	  5,	-0.03088,	-0.03088,	45.62,	837.11
 24,	  5,	-0.03034,	-0.03034,	47.63,	884.74
 25,	  5,	-0.02984,	-0.02984,	49.89,	934.63
 26,	  5,	-0.02943,	-0.02943,	54.03,	988.66
 27,	  5,	-0.02912,	-0.02912,	58.02,	1046.67
 28,	  5,	-0.02878,	-0.02878,	62.12,	1108.79
 29,	  5,	-0.02856,	-0.02856,	69.16,	1177.95
 30,	  5,	-0.02826,	-0.02826,	76.14,	1254.09
 31,	  5,	-0.02807,	-0.02807,	66.77,	1320.85
 32,	  5,	-0.02789,	-0.02789,	72.30,	1393.15
 33,	  5,	-0.02767,	-0.02767,	76.06,	1469.21
 34,	  5,	-0.02748,	-0.02748,	80.88,	1550.10
 35,	  5,	-0.02731,	-0.02731,	84.78,	1634.88
 36,	  5,	-0.02719,	-0.02719,	91.56,	1726.44
 37,	  5,	-0.02706,	-0.02706,	99.92,	1826.36
 38,	  5,	-0.02690,	-0.02690,	108.87,	1935.24
 39,	  5,	-0.02675,	-0.02675,	116.50,	2051.74
 40,	  5,	-0.02664,	-0.02664,	125.79,	2177.53
 41,	  5,	-0.02636,	-0.02636,	245.23,	2422.76
 42,	  5,	-0.02618,	-0.02618,	268.65,	2691.41
 43,	  5,	-0.02598,	-0.02598,	417.92,	3109.33
 44,	  5,	-0.02582,	-0.02582,	453.87,	3563.20
 45,	  5,	-0.02565,	-0.02565,	629.18,	4192.38
 46,	  5,	-0.02551,	-0.02551,	711.23,	4903.61
 47,	  5,	-0.02529,	-0.02529,	927.78,	5831.39
 48,	  5,	-0.02516,	-0.02516,	1025.43,	6856.82
 49,	  5,	-0.02496,	-0.02496,	1291.43,	8148.25
 50,	  5,	-0.02484,	-0.02484,	1420.01,	9568.26
 51,	  5,	-0.02466,	-0.02466,	1801.61,	11369.87
 52,	  5,	-0.02454,	-0.02454,	1971.19,	13341.06
 53,	  5,	-0.02439,	-0.02439,	2352.88,	15693.94
 54,	  5,	-0.02423,	-0.02423,	2653.79,	18347.73
 55,	  5,	-0.02406,	-0.02406,	3122.27,	21470.00
 56,	  5,	-0.02396,	-0.02396,	3509.34,	24979.34
 57,	  5,	-0.02382,	-0.02382,	4016.43,	28995.78
 58,	  5,	-0.02368,	-0.02368,	4424.75,	33420.53
 59,	  5,	-0.02352,	-0.02352,	5237.49,	38658.02
 60,	  5,	-0.02337,	-0.02337,	5577.70,	44235.72
 61,	  5,	-0.02323,	-0.02323,	6564.44,	50800.17
 62,	  5,	-0.02310,	-0.02310,	6973.16,	57773.33
 63,	  5,	-0.02298,	-0.02298,	7884.00,	65657.33
 64,	  5,	-0.02284,	-0.02284,	8386.17,	74043.50
 65,	  5,	-0.02267,	-0.02267,	9463.09,	83506.59
 66,	  5,	-0.02255,	-0.02255,	10028.06,	93534.65
 67,	  5,	-0.02245,	-0.02245,	11327.80,	104862.45
 68,	  5,	-0.02228,	-0.02228,	11877.40,	116739.86
 69,	  5,	-0.02222,	-0.02222,	13420.56,	130160.42
 70,	  5,	-0.02212,	-0.02212,	14070.00,	144230.42
 71,	  5,	-0.02201,	-0.02201,	15873.71,	160104.13
 72,	  5,	-0.02185,	-0.02185,	17680.85,	177784.98
 73,	  5,	-0.02175,	-0.02175,	19811.57,	197596.54
 74,	  5,	-0.02163,	-0.02163,	22260.79,	219857.33
 75,	  5,	-0.02152,	-0.02152,	25077.31,	244934.64
 76,	  5,	-0.02140,	-0.02140,	27745.58,	272680.22
