beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04116,	-0.65841,	636.69,	636.69
  2,	  5,	-0.03947,	-0.63136,	198.89,	835.58
  8,	 20,	-0.03931,	-0.62884,	176.68,	1012.26
 12,	 20,	-0.03682,	-0.58904,	428.74,	1441.00
 16,	 20,	-0.03359,	-0.53730,	535.68,	1976.68
 20,	 20,	-0.03039,	-0.48608,	613.23,	2589.91
 24,	 20,	-0.02781,	-0.44478,	629.06,	3218.96
 28,	 20,	-0.02621,	-0.41920,	680.23,	3899.19
 32,	 20,	-0.02515,	-0.40217,	718.73,	4617.92
 36,	 20,	-0.02453,	-0.39230,	769.08,	5387.00
 40,	 20,	-0.02418,	-0.38676,	903.59,	6290.59
 44,	 20,	-0.02375,	-0.37977,	1332.62,	7623.21
 48,	 20,	-0.02317,	-0.37054,	2260.04,	9883.25
 52,	 20,	-0.02261,	-0.36156,	3229.43,	13112.68
 56,	 20,	-0.02221,	-0.35515,	4274.40,	17387.08
 60,	 20,	-0.02167,	-0.34659,	6340.13,	23727.20
 64,	 20,	-0.02125,	-0.33986,	9539.96,	33267.16
 68,	 20,	-0.02076,	-0.33191,	13983.92,	47251.08
 72,	 20,	-0.02027,	-0.32415,	20937.21,	68188.29
 76,	 20,	-0.01988,	-0.31779,	33079.58,	101267.87
 80,	 20,	-0.01952,	-0.31213,	48802.54,	150070.41
