beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04257,	-0.68134,	1055.70,	1055.70
  2,	  5,	-0.03967,	-0.63488,	2080.30,	3136.01
  8,	 20,	-0.03955,	-0.63293,	3036.10,	6172.11
 12,	 20,	-0.03856,	-0.61706,	2732.86,	8904.97
 16,	 20,	-0.03697,	-0.59158,	2548.09,	11453.05
 20,	 20,	-0.03490,	-0.55849,	2105.85,	13558.90
 24,	 20,	-0.03324,	-0.53190,	2032.35,	15591.25
 28,	 20,	-0.03167,	-0.50674,	1934.90,	17526.15
 32,	 20,	-0.03049,	-0.48795,	1790.78,	19316.93
 36,	 20,	-0.02949,	-0.47194,	1672.36,	20989.29
 40,	 20,	-0.02862,	-0.45804,	1608.04,	22597.33
 44,	 20,	-0.02784,	-0.44549,	3242.20,	25839.53
 48,	 20,	-0.02698,	-0.43179,	4580.01,	30419.55
 52,	 20,	-0.02633,	-0.42129,	6603.64,	37023.19
 56,	 20,	-0.02548,	-0.40781,	9644.49,	46667.68
 60,	 20,	-0.02474,	-0.39592,	13688.36,	60356.04
 64,	 20,	-0.02407,	-0.38527,	19011.61,	79367.65
 68,	 20,	-0.02342,	-0.37474,	25944.97,	105312.62
 72,	 20,	-0.02294,	-0.36705,	35440.75,	140753.37
 76,	 20,	-0.02235,	-0.35763,	50137.51,	190890.89
 80,	 20,	-0.02186,	-0.34987,	69428.14,	260319.03
