beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04142,	-0.66261,	640.07,	640.07
  2,	  5,	-0.03825,	-0.61194,	341.30,	981.37
  8,	 20,	-0.03819,	-0.61096,	135.17,	1116.55
 12,	 20,	-0.03590,	-0.57430,	468.36,	1584.91
 16,	 20,	-0.03314,	-0.53004,	554.22,	2139.13
 20,	 20,	-0.03016,	-0.48239,	601.47,	2740.60
 24,	 20,	-0.02776,	-0.44399,	646.59,	3387.19
 28,	 20,	-0.02617,	-0.41846,	678.40,	4065.58
 32,	 20,	-0.02526,	-0.40390,	702.40,	4767.99
 36,	 20,	-0.02463,	-0.39396,	801.24,	5569.23
 40,	 20,	-0.02417,	-0.38648,	907.62,	6476.85
 44,	 20,	-0.02367,	-0.37854,	1368.61,	7845.46
 48,	 20,	-0.02324,	-0.37169,	1801.56,	9647.02
 52,	 20,	-0.02275,	-0.36379,	2798.14,	12445.16
 56,	 20,	-0.02218,	-0.35468,	4357.31,	16802.47
 60,	 20,	-0.02160,	-0.34537,	6718.74,	23521.21
 64,	 20,	-0.02126,	-0.33988,	9864.90,	33386.11
 68,	 20,	-0.02073,	-0.33142,	13849.54,	47235.65
 72,	 20,	-0.02022,	-0.32329,	20482.58,	67718.23
 76,	 20,	-0.01987,	-0.31771,	33819.19,	101537.42
 80,	 20,	-0.01954,	-0.31237,	50545.20,	152082.63
