beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04305,	-0.04305,	96.19,	96.19
  2,	  5,	-0.04305,	-0.04305,	0.00,	96.19
  5,	  5,	-0.04305,	-0.04305,	57.04,	153.24
  6,	  5,	-0.04291,	-0.04291,	59.01,	212.25
  7,	  5,	-0.04264,	-0.04264,	59.48,	271.73
  8,	  5,	-0.04212,	-0.04212,	53.76,	325.49
  9,	  5,	-0.04140,	-0.04140,	45.58,	371.07
 10,	  5,	-0.04064,	-0.04064,	39.28,	410.35
 11,	  5,	-0.03981,	-0.03981,	37.32,	447.67
 12,	  5,	-0.03899,	-0.03899,	35.33,	483.00
 13,	  5,	-0.03814,	-0.03814,	35.54,	518.54
 14,	  5,	-0.03726,	-0.03726,	35.80,	554.34
 15,	  5,	-0.03643,	-0.03643,	37.85,	592.20
 16,	  5,	-0.03557,	-0.03557,	39.89,	632.09
 17,	  5,	-0.03473,	-0.03473,	40.87,	672.96
 18,	  5,	-0.03396,	-0.03396,	42.31,	715.26
 19,	  5,	-0.03318,	-0.03318,	43.97,	759.24
 20,	  5,	-0.03248,	-0.03248,	46.52,	805.75
 21,	  5,	-0.03182,	-0.03182,	49.02,	854.77
 22,	  5,	-0.03125,	-0.03125,	51.75,	906.53
 23,	  5,	-0.03073,	-0.03073,	53.13,	959.66
 24,	  5,	-0.03023,	-0.03023,	57.78,	1017.44
 25,	  5,	-0.02979,	-0.02979,	60.88,	1078.32
 26,	  5,	-0.02938,	-0.02938,	64.66,	1142.98
 27,	  5,	-0.02907,	-0.02907,	69.95,	1212.93
 28,	  5,	-0.02880,	-0.02880,	75.92,	1288.85
 29,	  5,	-0.02853,	-0.02853,	80.54,	1369.39
 30,	  5,	-0.02831,	-0.02831,	90.62,	1460.02
 31,	  5,	-0.02810,	-0.02810,	82.51,	1542.53
 32,	  5,	-0.02787,	-0.02787,	88.17,	1630.69
 33,	  5,	-0.02771,	-0.02771,	92.43,	1723.12
 34,	  5,	-0.02755,	-0.02755,	96.78,	1819.89
 35,	  5,	-0.02744,	-0.02744,	102.60,	1922.49
 36,	  5,	-0.02727,	-0.02727,	109.55,	2032.04
 37,	  5,	-0.02713,	-0.02713,	119.06,	2151.11
 38,	  5,	-0.02695,	-0.02695,	128.22,	2279.33
 39,	  5,	-0.02687,	-0.02687,	138.91,	2418.24
 40,	  5,	-0.02667,	-0.02667,	148.17,	2566.41
 41,	  5,	-0.02638,	-0.02638,	290.12,	2856.54
 42,	  5,	-0.02616,	-0.02616,	318.70,	3175.24
 43,	  5,	-0.02600,	-0.02600,	485.61,	3660.85
 44,	  5,	-0.02581,	-0.02581,	535.39,	4196.24
 45,	  5,	-0.02566,	-0.02566,	735.64,	4931.87
 46,	  5,	-0.02546,	-0.02546,	821.60,	5753.47
 47,	  5,	-0.02536,	-0.02536,	1096.52,	6850.00
 48,	  5,	-0.02516,	-0.02516,	1255.75,	8105.74
 49,	  5,	-0.02502,	-0.02502,	1566.64,	9672.38
 50,	  5,	-0.02488,	-0.02488,	1763.86,	11436.24
 51,	  5,	-0.02468,	-0.02468,	2144.12,	13580.36
 52,	  5,	-0.02454,	-0.02454,	2378.46,	15958.82
 53,	  5,	-0.02441,	-0.02441,	2830.82,	18789.65
 54,	  5,	-0.02426,	-0.02426,	3142.68,	21932.33
 55,	  5,	-0.02412,	-0.02412,	3785.13,	25717.46
 56,	  5,	-0.02393,	-0.02393,	4152.59,	29870.05
 57,	  5,	-0.02382,	-0.02382,	4850.79,	34720.85
 58,	  5,	-0.02365,	-0.02365,	5461.91,	40182.76
 59,	  5,	-0.02351,	-0.02351,	6136.18,	46318.94
 60,	  5,	-0.02337,	-0.02337,	6705.33,	53024.26
 61,	  5,	-0.02323,	-0.02323,	7724.32,	60748.59
 62,	  5,	-0.02308,	-0.02308,	8349.75,	69098.34
 63,	  5,	-0.02294,	-0.02294,	9446.11,	78544.45
 64,	  5,	-0.02286,	-0.02286,	10381.26,	88925.71
 65,	  5,	-0.02272,	-0.02272,	11523.73,	100449.44
 66,	  5,	-0.02259,	-0.02259,	12144.69,	112594.13
 67,	  5,	-0.02246,	-0.02246,	13617.60,	126211.73
 68,	  5,	-0.02236,	-0.02236,	14213.24,	140424.97
 69,	  5,	-0.02222,	-0.02222,	15948.33,	156373.30
 70,	  5,	-0.02210,	-0.02210,	17138.52,	173511.82
 71,	  5,	-0.02195,	-0.02195,	19107.05,	192618.87
 72,	  5,	-0.02183,	-0.02183,	21234.42,	213853.29
 73,	  5,	-0.02174,	-0.02174,	23928.67,	237781.96
 74,	  5,	-0.02162,	-0.02162,	26403.90,	264185.86
