beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04311,	-0.04311,	80.61,	80.61
  2,	  5,	-0.04311,	-0.04311,	0.00,	80.61
  5,	  5,	-0.04311,	-0.04311,	57.05,	137.66
  6,	  5,	-0.04311,	-0.04311,	57.05,	194.71
  7,	  5,	-0.04276,	-0.04276,	58.44,	253.15
  8,	  5,	-0.04223,	-0.04223,	52.34,	305.49
  9,	  5,	-0.04158,	-0.04158,	44.48,	349.97
 10,	  5,	-0.04080,	-0.04080,	37.03,	387.00
 11,	  5,	-0.03997,	-0.03997,	32.48,	419.48
 12,	  5,	-0.03913,	-0.03913,	29.55,	449.03
 13,	  5,	-0.03826,	-0.03826,	30.03,	479.06
 14,	  5,	-0.03738,	-0.03738,	30.43,	509.49
 15,	  5,	-0.03648,	-0.03648,	30.63,	540.12
 16,	  5,	-0.03556,	-0.03556,	32.21,	572.32
 17,	  5,	-0.03471,	-0.03471,	33.15,	605.47
 18,	  5,	-0.03393,	-0.03393,	34.59,	640.06
 19,	  5,	-0.03317,	-0.03317,	36.12,	676.19
 20,	  5,	-0.03247,	-0.03247,	36.88,	713.07
 21,	  5,	-0.03177,	-0.03177,	39.27,	752.34
 22,	  5,	-0.03118,	-0.03118,	41.71,	794.05
 23,	  5,	-0.03061,	-0.03061,	43.60,	837.65
 24,	  5,	-0.03012,	-0.03012,	47.12,	884.78
 25,	  5,	-0.02967,	-0.02967,	49.67,	934.44
 26,	  5,	-0.02934,	-0.02934,	53.01,	987.46
 27,	  5,	-0.02894,	-0.02894,	56.56,	1044.02
 28,	  5,	-0.02871,	-0.02871,	62.47,	1106.49
 29,	  5,	-0.02847,	-0.02847,	66.84,	1173.33
 30,	  5,	-0.02823,	-0.02823,	74.74,	1248.07
 31,	  5,	-0.02802,	-0.02802,	67.23,	1315.30
 32,	  5,	-0.02790,	-0.02790,	71.38,	1386.68
 33,	  5,	-0.02768,	-0.02768,	75.11,	1461.80
 34,	  5,	-0.02753,	-0.02753,	79.63,	1541.43
 35,	  5,	-0.02740,	-0.02740,	85.01,	1626.43
 36,	  5,	-0.02726,	-0.02726,	90.48,	1716.92
 37,	  5,	-0.02704,	-0.02704,	98.90,	1815.81
 38,	  5,	-0.02695,	-0.02695,	106.55,	1922.36
 39,	  5,	-0.02678,	-0.02678,	116.13,	2038.49
 40,	  5,	-0.02660,	-0.02660,	124.16,	2162.66
 41,	  5,	-0.02634,	-0.02634,	246.39,	2409.05
 42,	  5,	-0.02618,	-0.02618,	269.74,	2678.79
 43,	  5,	-0.02600,	-0.02600,	414.27,	3093.06
 44,	  5,	-0.02583,	-0.02583,	453.31,	3546.37
 45,	  5,	-0.02567,	-0.02567,	632.02,	4178.38
 46,	  5,	-0.02548,	-0.02548,	701.10,	4879.49
 47,	  5,	-0.02535,	-0.02535,	916.82,	5796.31
 48,	  5,	-0.02520,	-0.02520,	1043.99,	6840.30
 49,	  5,	-0.02502,	-0.02502,	1293.16,	8133.46
 50,	  5,	-0.02488,	-0.02488,	1429.66,	9563.11
 51,	  5,	-0.02470,	-0.02470,	1743.90,	11307.02
 52,	  5,	-0.02456,	-0.02456,	1995.11,	13302.13
 53,	  5,	-0.02439,	-0.02439,	2381.61,	15683.75
 54,	  5,	-0.02423,	-0.02423,	2636.19,	18319.93
 55,	  5,	-0.02412,	-0.02412,	3165.76,	21485.70
 56,	  5,	-0.02394,	-0.02394,	3511.59,	24997.28
 57,	  5,	-0.02384,	-0.02384,	4010.59,	29007.87
 58,	  5,	-0.02368,	-0.02368,	4496.18,	33504.05
 59,	  5,	-0.02354,	-0.02354,	5168.81,	38672.86
 60,	  5,	-0.02340,	-0.02340,	5407.28,	44080.14
 61,	  5,	-0.02329,	-0.02329,	6333.37,	50413.50
 62,	  5,	-0.02311,	-0.02311,	6844.72,	57258.22
 63,	  5,	-0.02298,	-0.02298,	7835.23,	65093.45
 64,	  5,	-0.02283,	-0.02283,	8327.74,	73421.19
 65,	  5,	-0.02271,	-0.02271,	9584.86,	83006.04
 66,	  5,	-0.02259,	-0.02259,	10062.41,	93068.46
 67,	  5,	-0.02248,	-0.02248,	11085.50,	104153.96
 68,	  5,	-0.02233,	-0.02233,	11655.83,	115809.78
 69,	  5,	-0.02220,	-0.02220,	13238.80,	129048.58
 70,	  5,	-0.02210,	-0.02210,	13769.89,	142818.48
 71,	  5,	-0.02198,	-0.02198,	15517.90,	158336.38
 72,	  5,	-0.02181,	-0.02181,	17687.04,	176023.42
 73,	  5,	-0.02174,	-0.02174,	19604.89,	195628.32
 74,	  5,	-0.02161,	-0.02161,	22015.68,	217643.99
 75,	  5,	-0.02151,	-0.02151,	25053.38,	242697.37
 76,	  5,	-0.02140,	-0.02140,	27857.91,	270555.28
