beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04202,	-0.16810,	1055.00,	1055.00
  2,	  5,	-0.03986,	-0.15943,	2667.60,	3722.60
  6,	 10,	-0.03969,	-0.15875,	1834.54,	5557.13
  8,	 10,	-0.03941,	-0.15766,	1830.70,	7387.83
 10,	 10,	-0.03875,	-0.15502,	2004.40,	9392.24
 12,	 10,	-0.03784,	-0.15137,	1864.71,	11256.95
 14,	 10,	-0.03679,	-0.14715,	1801.37,	13058.31
 16,	 10,	-0.03564,	-0.14255,	1932.28,	14990.60
 18,	 10,	-0.03446,	-0.13784,	1469.82,	16460.42
 20,	 10,	-0.03327,	-0.13307,	1275.08,	17735.50
 22,	 10,	-0.03230,	-0.12921,	1264.59,	19000.08
 24,	 10,	-0.03143,	-0.12573,	1310.66,	20310.75
 26,	 10,	-0.03069,	-0.12275,	1217.03,	21527.78
 28,	 10,	-0.03004,	-0.12016,	1197.73,	22725.51
 30,	 10,	-0.02949,	-0.11796,	1174.98,	23900.50
 32,	 10,	-0.02901,	-0.11603,	1157.01,	25057.50
 34,	 10,	-0.02859,	-0.11436,	1164.00,	26221.50
 36,	 10,	-0.02813,	-0.11251,	1084.87,	27306.37
 38,	 10,	-0.02782,	-0.11128,	1159.72,	28466.09
 40,	 10,	-0.02739,	-0.10955,	1109.87,	29575.96
 42,	 10,	-0.02709,	-0.10836,	1956.99,	31532.96
 44,	 10,	-0.02671,	-0.10686,	2275.37,	33808.32
 46,	 10,	-0.02639,	-0.10558,	2784.25,	36592.58
 48,	 10,	-0.02594,	-0.10378,	3428.95,	40021.53
 50,	 10,	-0.02558,	-0.10233,	4329.60,	44351.13
 52,	 10,	-0.02523,	-0.10094,	5384.00,	49735.13
 54,	 10,	-0.02486,	-0.09946,	6675.77,	56410.90
 56,	 10,	-0.02451,	-0.09803,	8180.16,	64591.06
 58,	 10,	-0.02422,	-0.09688,	10029.93,	74620.99
 60,	 10,	-0.02392,	-0.09568,	11984.34,	86605.33
 62,	 10,	-0.02361,	-0.09443,	14262.18,	100867.51
 64,	 10,	-0.02339,	-0.09355,	16909.00,	117776.51
 66,	 10,	-0.02308,	-0.09231,	18905.37,	136681.87
 68,	 10,	-0.02279,	-0.09117,	21872.79,	158554.67
 70,	 10,	-0.02253,	-0.09013,	24528.76,	183083.43
 72,	 10,	-0.02227,	-0.08908,	29477.60,	212561.03
 74,	 10,	-0.02204,	-0.08815,	35988.83,	248549.86
 76,	 10,	-0.02176,	-0.08705,	42337.31,	290887.17
 78,	 10,	-0.02155,	-0.08620,	51575.62,	342462.78
 80,	 10,	-0.02136,	-0.08543,	60432.20,	402894.99
