beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04329,	-0.04329,	83.55,	83.55
  2,	  5,	-0.04329,	-0.04329,	0.00,	83.55
  5,	  5,	-0.04329,	-0.04329,	56.82,	140.37
  6,	  5,	-0.04326,	-0.04326,	57.73,	198.10
  7,	  5,	-0.04294,	-0.04294,	58.13,	256.22
  8,	  5,	-0.04239,	-0.04239,	53.15,	309.37
  9,	  5,	-0.04167,	-0.04167,	44.46,	353.83
 10,	  5,	-0.04091,	-0.04091,	36.83,	390.66
 11,	  5,	-0.04008,	-0.04008,	33.66,	424.32
 12,	  5,	-0.03919,	-0.03919,	33.30,	457.62
 13,	  5,	-0.03825,	-0.03825,	33.74,	491.37
 14,	  5,	-0.03735,	-0.03735,	32.94,	524.31
 15,	  5,	-0.03645,	-0.03645,	33.80,	558.11
 16,	  5,	-0.03557,	-0.03557,	35.37,	593.48
 17,	  5,	-0.03473,	-0.03473,	36.55,	630.03
 18,	  5,	-0.03393,	-0.03393,	37.79,	667.82
 19,	  5,	-0.03317,	-0.03317,	40.25,	708.07
 20,	  5,	-0.03243,	-0.03243,	42.84,	750.90
 21,	  5,	-0.03178,	-0.03178,	43.51,	794.41
 22,	  5,	-0.03117,	-0.03117,	46.80,	841.21
 23,	  5,	-0.03061,	-0.03061,	48.62,	889.84
 24,	  5,	-0.03020,	-0.03020,	52.30,	942.14
 25,	  5,	-0.02976,	-0.02976,	55.18,	997.32
 26,	  5,	-0.02938,	-0.02938,	58.94,	1056.26
 27,	  5,	-0.02900,	-0.02900,	63.10,	1119.36
 28,	  5,	-0.02872,	-0.02872,	69.00,	1188.37
 29,	  5,	-0.02847,	-0.02847,	73.52,	1261.89
 30,	  5,	-0.02828,	-0.02828,	81.86,	1343.74
 31,	  5,	-0.02809,	-0.02809,	75.74,	1419.48
 32,	  5,	-0.02786,	-0.02786,	78.51,	1497.99
 33,	  5,	-0.02770,	-0.02770,	84.55,	1582.55
 34,	  5,	-0.02757,	-0.02757,	86.78,	1669.33
 35,	  5,	-0.02737,	-0.02737,	93.37,	1762.70
 36,	  5,	-0.02723,	-0.02723,	99.62,	1862.32
 37,	  5,	-0.02711,	-0.02711,	108.63,	1970.95
 38,	  5,	-0.02690,	-0.02690,	116.23,	2087.18
 39,	  5,	-0.02673,	-0.02673,	126.13,	2213.31
 40,	  5,	-0.02656,	-0.02656,	134.55,	2347.86
 41,	  5,	-0.02635,	-0.02635,	267.68,	2615.54
 42,	  5,	-0.02618,	-0.02618,	294.52,	2910.05
 43,	  5,	-0.02603,	-0.02603,	442.81,	3352.86
 44,	  5,	-0.02579,	-0.02579,	492.28,	3845.15
 45,	  5,	-0.02566,	-0.02566,	685.67,	4530.82
 46,	  5,	-0.02552,	-0.02552,	775.53,	5306.35
 47,	  5,	-0.02533,	-0.02533,	1008.72,	6315.07
 48,	  5,	-0.02521,	-0.02521,	1129.27,	7444.34
 49,	  5,	-0.02503,	-0.02503,	1417.74,	8862.08
 50,	  5,	-0.02492,	-0.02492,	1547.56,	10409.64
 51,	  5,	-0.02471,	-0.02471,	1932.11,	12341.75
 52,	  5,	-0.02456,	-0.02456,	2171.46,	14513.21
 53,	  5,	-0.02437,	-0.02437,	2581.42,	17094.62
 54,	  5,	-0.02421,	-0.02421,	2877.48,	19972.11
 55,	  5,	-0.02409,	-0.02409,	3443.25,	23415.35
 56,	  5,	-0.02395,	-0.02395,	3855.59,	27270.94
 57,	  5,	-0.02384,	-0.02384,	4470.46,	31741.41
 58,	  5,	-0.02363,	-0.02363,	4904.11,	36645.51
 59,	  5,	-0.02351,	-0.02351,	5702.47,	42347.98
 60,	  5,	-0.02336,	-0.02336,	5958.58,	48306.55
 61,	  5,	-0.02322,	-0.02322,	6914.90,	55221.45
 62,	  5,	-0.02312,	-0.02312,	7466.48,	62687.93
 63,	  5,	-0.02297,	-0.02297,	8664.15,	71352.08
 64,	  5,	-0.02281,	-0.02281,	9136.50,	80488.58
 65,	  5,	-0.02272,	-0.02272,	10397.13,	90885.71
 66,	  5,	-0.02261,	-0.02261,	10981.32,	101867.03
 67,	  5,	-0.02247,	-0.02247,	12345.06,	114212.09
 68,	  5,	-0.02238,	-0.02238,	13233.13,	127445.22
 69,	  5,	-0.02221,	-0.02221,	14674.05,	142119.27
 70,	  5,	-0.02210,	-0.02210,	15073.85,	157193.12
 71,	  5,	-0.02196,	-0.02196,	17369.31,	174562.43
 72,	  5,	-0.02184,	-0.02184,	19302.47,	193864.91
 73,	  5,	-0.02171,	-0.02171,	21417.80,	215282.71
 74,	  5,	-0.02158,	-0.02158,	24069.43,	239352.14
 75,	  5,	-0.02150,	-0.02150,	27436.21,	266788.34
