beta, betaK, slope_Q, pred_Q_low, pred_Q_high
 16,   2, -0.034298, 0.001806, -0.026348
 24,   3, -0.027126, -0.018681, -0.027072
 32,   4, -0.023642, -0.021961, -0.026071
 40,   5, -0.022400, -0.022252, -0.024694
 48,   6, -0.021668, -0.021698, -0.023314
 56,   7, -0.020942, -0.020886, -0.022035
 64,   8, -0.020058, -0.020019, -0.020878
 72,   9, -0.019242, -0.019170, -0.019837
 80,  10, -0.018552, -0.018369, -0.018900
