beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04203,	-0.16814,	1028.80,	1028.80
  2,	  5,	-0.03910,	-0.15642,	2493.68,	3522.48
  6,	 10,	-0.03893,	-0.15572,	1715.04,	5237.52
  8,	 10,	-0.03878,	-0.15513,	2086.15,	7323.67
 10,	 10,	-0.03812,	-0.15247,	1967.27,	9290.94
 12,	 10,	-0.03725,	-0.14899,	1897.43,	11188.38
 14,	 10,	-0.03633,	-0.14534,	1802.76,	12991.14
 16,	 10,	-0.03522,	-0.14089,	1752.45,	14743.59
 18,	 10,	-0.03424,	-0.13696,	1851.20,	16594.79
 20,	 10,	-0.03321,	-0.13286,	1771.85,	18366.64
 22,	 10,	-0.03226,	-0.12905,	1730.16,	20096.80
 24,	 10,	-0.03139,	-0.12555,	1731.19,	21827.99
 26,	 10,	-0.03065,	-0.12262,	1620.07,	23448.06
 28,	 10,	-0.03006,	-0.12027,	1607.28,	25055.34
 30,	 10,	-0.02948,	-0.11792,	1455.22,	26510.56
 32,	 10,	-0.02903,	-0.11614,	1119.80,	27630.37
 34,	 10,	-0.02855,	-0.11420,	1088.14,	28718.51
 36,	 10,	-0.02816,	-0.11267,	1074.84,	29793.35
 38,	 10,	-0.02773,	-0.11091,	1093.49,	30886.84
 40,	 10,	-0.02742,	-0.10967,	1070.29,	31957.13
 42,	 10,	-0.02705,	-0.10821,	1836.64,	33793.77
 44,	 10,	-0.02663,	-0.10654,	2210.73,	36004.50
 46,	 10,	-0.02630,	-0.10521,	2786.37,	38790.87
 48,	 10,	-0.02590,	-0.10360,	3453.15,	42244.02
 50,	 10,	-0.02560,	-0.10239,	4344.14,	46588.16
 52,	 10,	-0.02517,	-0.10068,	5342.72,	51930.88
 54,	 10,	-0.02485,	-0.09939,	6664.48,	58595.36
 56,	 10,	-0.02458,	-0.09832,	8161.50,	66756.85
 58,	 10,	-0.02431,	-0.09724,	10044.78,	76801.63
 60,	 10,	-0.02395,	-0.09580,	12030.28,	88831.92
 62,	 10,	-0.02369,	-0.09475,	14347.46,	103179.37
 64,	 10,	-0.02339,	-0.09355,	16648.78,	119828.16
 66,	 10,	-0.02312,	-0.09248,	19034.01,	138862.17
 68,	 10,	-0.02284,	-0.09136,	21851.99,	160714.16
 70,	 10,	-0.02255,	-0.09022,	24671.03,	185385.19
 72,	 10,	-0.02230,	-0.08919,	29354.40,	214739.59
 74,	 10,	-0.02202,	-0.08807,	35773.54,	250513.13
 76,	 10,	-0.02175,	-0.08702,	42295.80,	292808.93
 78,	 10,	-0.02150,	-0.08602,	51091.38,	343900.31
 80,	 10,	-0.02129,	-0.08516,	60096.75,	403997.06
