beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04230,	-0.67694,	1117.89,	1117.89
  2,	  5,	-0.04008,	-0.64137,	2571.12,	3689.02
  8,	 20,	-0.03986,	-0.63786,	2548.96,	6237.98
 12,	 20,	-0.03886,	-0.62178,	2593.87,	8831.85
 16,	 20,	-0.03712,	-0.59401,	2159.12,	10990.96
 20,	 20,	-0.03518,	-0.56293,	2162.80,	13153.77
 24,	 20,	-0.03339,	-0.53435,	2048.55,	15202.32
 28,	 20,	-0.03158,	-0.50530,	1843.49,	17045.81
 32,	 20,	-0.03046,	-0.48737,	1800.54,	18846.35
 36,	 20,	-0.02936,	-0.46984,	1702.29,	20548.63
 40,	 20,	-0.02862,	-0.45794,	1593.94,	22142.58
 44,	 20,	-0.02788,	-0.44617,	3223.74,	25366.32
 48,	 20,	-0.02690,	-0.43044,	4597.82,	29964.14
 52,	 20,	-0.02624,	-0.41991,	6574.21,	36538.35
 56,	 20,	-0.02546,	-0.40751,	9613.86,	46152.21
 60,	 20,	-0.02480,	-0.39694,	13743.86,	59896.08
 64,	 20,	-0.02408,	-0.38539,	19138.43,	79034.51
 68,	 20,	-0.02346,	-0.37544,	25623.46,	104657.97
 72,	 20,	-0.02287,	-0.36597,	35098.39,	139756.36
 76,	 20,	-0.02237,	-0.35806,	50528.47,	190284.82
 80,	 20,	-0.02189,	-0.35023,	69205.67,	259490.49
