beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04243,	-0.67899,	1123.22,	1123.22
  2,	  5,	-0.03986,	-0.63783,	2328.61,	3451.83
  8,	 20,	-0.03970,	-0.63538,	3105.19,	6557.02
 12,	 20,	-0.03874,	-0.61996,	2983.17,	9540.19
 16,	 20,	-0.03699,	-0.59189,	2979.70,	12519.89
 20,	 20,	-0.03480,	-0.55683,	2786.75,	15306.65
 24,	 20,	-0.03308,	-0.52930,	2011.61,	17318.26
 28,	 20,	-0.03160,	-0.50568,	1931.98,	19250.24
 32,	 20,	-0.03033,	-0.48541,	1831.18,	21081.42
 36,	 20,	-0.02941,	-0.47058,	1687.38,	22768.81
 40,	 20,	-0.02854,	-0.45668,	1586.48,	24355.29
 44,	 20,	-0.02792,	-0.44681,	3253.43,	27608.71
 48,	 20,	-0.02705,	-0.43288,	4554.64,	32163.35
 52,	 20,	-0.02619,	-0.41910,	6457.14,	38620.49
 56,	 20,	-0.02537,	-0.40593,	9459.83,	48080.32
 60,	 20,	-0.02476,	-0.39617,	13638.38,	61718.70
 64,	 20,	-0.02400,	-0.38403,	19095.78,	80814.48
 68,	 20,	-0.02348,	-0.37580,	25768.35,	106582.83
 72,	 20,	-0.02290,	-0.36643,	35173.42,	141756.25
 76,	 20,	-0.02241,	-0.35868,	50380.37,	192136.63
 80,	 20,	-0.02190,	-0.35053,	69399.76,	261536.38
