beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04375,	-0.04375,	81.04,	81.04
  2,	  5,	-0.04375,	-0.04375,	0.00,	81.04
  5,	  5,	-0.04375,	-0.04375,	56.76,	137.79
  6,	  5,	-0.04373,	-0.04373,	57.70,	195.50
  7,	  5,	-0.04334,	-0.04334,	58.49,	253.99
  8,	  5,	-0.04274,	-0.04274,	53.21,	307.20
  9,	  5,	-0.04204,	-0.04204,	44.88,	352.08
 10,	  5,	-0.04128,	-0.04128,	37.01,	389.09
 11,	  5,	-0.04039,	-0.04039,	35.12,	424.21
 12,	  5,	-0.03944,	-0.03944,	32.33,	456.55
 13,	  5,	-0.03856,	-0.03856,	32.74,	489.28
 14,	  5,	-0.03768,	-0.03768,	33.22,	522.50
 15,	  5,	-0.03675,	-0.03675,	34.12,	556.62
 16,	  5,	-0.03584,	-0.03584,	35.79,	592.41
 17,	  5,	-0.03497,	-0.03497,	37.32,	629.73
 18,	  5,	-0.03411,	-0.03411,	39.22,	668.95
 19,	  5,	-0.03329,	-0.03329,	40.59,	709.54
 20,	  5,	-0.03257,	-0.03257,	43.23,	752.77
 21,	  5,	-0.03192,	-0.03192,	44.52,	797.29
 22,	  5,	-0.03136,	-0.03136,	47.54,	844.84
 23,	  5,	-0.03078,	-0.03078,	49.49,	894.33
 24,	  5,	-0.03027,	-0.03027,	52.17,	946.50
 25,	  5,	-0.02987,	-0.02987,	55.98,	1002.48
 26,	  5,	-0.02944,	-0.02944,	59.96,	1062.44
 27,	  5,	-0.02908,	-0.02908,	63.84,	1126.28
 28,	  5,	-0.02879,	-0.02879,	69.59,	1195.87
 29,	  5,	-0.02853,	-0.02853,	75.33,	1271.20
 30,	  5,	-0.02831,	-0.02831,	82.07,	1353.27
 31,	  5,	-0.02807,	-0.02807,	74.82,	1428.09
 32,	  5,	-0.02781,	-0.02781,	79.19,	1507.28
 33,	  5,	-0.02766,	-0.02766,	83.80,	1591.08
 34,	  5,	-0.02748,	-0.02748,	88.24,	1679.32
 35,	  5,	-0.02732,	-0.02732,	95.02,	1774.35
 36,	  5,	-0.02716,	-0.02716,	101.76,	1876.11
 37,	  5,	-0.02704,	-0.02704,	107.72,	1983.83
 38,	  5,	-0.02691,	-0.02691,	116.86,	2100.69
 39,	  5,	-0.02675,	-0.02675,	125.61,	2226.30
 40,	  5,	-0.02664,	-0.02664,	135.30,	2361.60
 41,	  5,	-0.02634,	-0.02634,	263.65,	2625.25
 42,	  5,	-0.02617,	-0.02617,	288.87,	2914.12
 43,	  5,	-0.02597,	-0.02597,	444.76,	3358.87
 44,	  5,	-0.02581,	-0.02581,	484.24,	3843.11
 45,	  5,	-0.02566,	-0.02566,	694.00,	4537.11
 46,	  5,	-0.02551,	-0.02551,	763.73,	5300.85
 47,	  5,	-0.02536,	-0.02536,	1012.12,	6312.97
 48,	  5,	-0.02518,	-0.02518,	1126.42,	7439.40
 49,	  5,	-0.02503,	-0.02503,	1430.35,	8869.74
 50,	  5,	-0.02488,	-0.02488,	1582.17,	10451.91
 51,	  5,	-0.02471,	-0.02471,	1953.33,	12405.24
 52,	  5,	-0.02455,	-0.02455,	2198.73,	14603.97
 53,	  5,	-0.02440,	-0.02440,	2651.78,	17255.75
 54,	  5,	-0.02426,	-0.02426,	2902.70,	20158.44
 55,	  5,	-0.02414,	-0.02414,	3459.14,	23617.59
 56,	  5,	-0.02396,	-0.02396,	3871.50,	27489.09
 57,	  5,	-0.02378,	-0.02378,	4510.17,	31999.26
 58,	  5,	-0.02366,	-0.02366,	4908.88,	36908.14
 59,	  5,	-0.02355,	-0.02355,	5755.57,	42663.71
 60,	  5,	-0.02341,	-0.02341,	6213.52,	48877.23
 61,	  5,	-0.02322,	-0.02322,	6967.68,	55844.91
 62,	  5,	-0.02310,	-0.02310,	7502.53,	63347.44
 63,	  5,	-0.02299,	-0.02299,	8512.43,	71859.87
 64,	  5,	-0.02285,	-0.02285,	9132.14,	80992.01
 65,	  5,	-0.02272,	-0.02272,	10416.19,	91408.20
 66,	  5,	-0.02261,	-0.02261,	10938.73,	102346.93
 67,	  5,	-0.02247,	-0.02247,	12589.65,	114936.58
 68,	  5,	-0.02235,	-0.02235,	13221.77,	128158.35
 69,	  5,	-0.02222,	-0.02222,	14735.26,	142893.61
 70,	  5,	-0.02212,	-0.02212,	15397.68,	158291.29
 71,	  5,	-0.02197,	-0.02197,	17370.60,	175661.89
 72,	  5,	-0.02185,	-0.02185,	19446.78,	195108.67
 73,	  5,	-0.02177,	-0.02177,	21921.24,	217029.91
 74,	  5,	-0.02161,	-0.02161,	24293.80,	241323.71
 75,	  5,	-0.02152,	-0.02152,	27507.58,	268831.29
