beta, betaK, slope_Q, pred_Q_low, pred_Q_high
 16,   2, -0.041032, -0.020760, -0.056908
 24,   3, -0.037166, -0.034017, -0.043989
 32,   4, -0.033304, -0.033302, -0.037895
 40,   5, -0.030938, -0.031191, -0.033807
 48,   6, -0.028928, -0.029051, -0.030736
 56,   7, -0.027002, -0.027120, -0.028298
 64,   8, -0.025504, -0.025425, -0.026296
 72,   9, -0.024066, -0.023940, -0.024611
 80,  10, -0.022870, -0.022635, -0.023169
