beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04298,	-0.04298,	81.71,	81.71
  2,	  5,	-0.04298,	-0.04298,	0.00,	81.71
  5,	  5,	-0.04298,	-0.04298,	56.94,	138.65
  6,	  5,	-0.04295,	-0.04295,	57.66,	196.31
  7,	  5,	-0.04265,	-0.04265,	57.67,	253.98
  8,	  5,	-0.04221,	-0.04221,	53.97,	307.95
  9,	  5,	-0.04156,	-0.04156,	41.95,	349.90
 10,	  5,	-0.04080,	-0.04080,	36.66,	386.56
 11,	  5,	-0.04000,	-0.04000,	32.98,	419.54
 12,	  5,	-0.03913,	-0.03913,	30.12,	449.66
 13,	  5,	-0.03825,	-0.03825,	29.81,	479.47
 14,	  5,	-0.03733,	-0.03733,	29.98,	509.45
 15,	  5,	-0.03646,	-0.03646,	31.00,	540.45
 16,	  5,	-0.03564,	-0.03564,	31.97,	572.42
 17,	  5,	-0.03482,	-0.03482,	32.80,	605.23
 18,	  5,	-0.03396,	-0.03396,	33.81,	639.04
 19,	  5,	-0.03320,	-0.03320,	35.89,	674.93
 20,	  5,	-0.03244,	-0.03244,	37.45,	712.38
 21,	  5,	-0.03182,	-0.03182,	39.08,	751.46
 22,	  5,	-0.03121,	-0.03121,	40.77,	792.23
 23,	  5,	-0.03069,	-0.03069,	44.24,	836.47
 24,	  5,	-0.03022,	-0.03022,	46.28,	882.75
 25,	  5,	-0.02980,	-0.02980,	49.17,	931.92
 26,	  5,	-0.02941,	-0.02941,	53.14,	985.06
 27,	  5,	-0.02908,	-0.02908,	56.63,	1041.69
 28,	  5,	-0.02878,	-0.02878,	62.46,	1104.14
 29,	  5,	-0.02852,	-0.02852,	67.91,	1172.05
 30,	  5,	-0.02830,	-0.02830,	74.61,	1246.66
 31,	  5,	-0.02804,	-0.02804,	67.17,	1313.83
 32,	  5,	-0.02787,	-0.02787,	70.57,	1384.40
 33,	  5,	-0.02773,	-0.02773,	74.76,	1459.16
 34,	  5,	-0.02752,	-0.02752,	78.96,	1538.12
 35,	  5,	-0.02741,	-0.02741,	84.93,	1623.05
 36,	  5,	-0.02724,	-0.02724,	91.97,	1715.02
 37,	  5,	-0.02708,	-0.02708,	97.81,	1812.83
 38,	  5,	-0.02693,	-0.02693,	107.26,	1920.09
 39,	  5,	-0.02681,	-0.02681,	116.25,	2036.34
 40,	  5,	-0.02658,	-0.02658,	123.77,	2160.11
 41,	  5,	-0.02636,	-0.02636,	243.31,	2403.42
 42,	  5,	-0.02617,	-0.02617,	269.14,	2672.55
 43,	  5,	-0.02604,	-0.02604,	414.53,	3087.08
 44,	  5,	-0.02586,	-0.02586,	448.04,	3535.12
 45,	  5,	-0.02564,	-0.02564,	626.92,	4162.04
 46,	  5,	-0.02550,	-0.02550,	706.51,	4868.54
 47,	  5,	-0.02535,	-0.02535,	906.66,	5775.20
 48,	  5,	-0.02522,	-0.02522,	1044.27,	6819.47
 49,	  5,	-0.02500,	-0.02500,	1299.11,	8118.58
 50,	  5,	-0.02489,	-0.02489,	1467.66,	9586.24
 51,	  5,	-0.02470,	-0.02470,	1753.39,	11339.63
 52,	  5,	-0.02449,	-0.02449,	1937.31,	13276.94
 53,	  5,	-0.02439,	-0.02439,	2374.69,	15651.62
 54,	  5,	-0.02424,	-0.02424,	2627.26,	18278.88
 55,	  5,	-0.02409,	-0.02409,	3062.81,	21341.69
 56,	  5,	-0.02393,	-0.02393,	3377.47,	24719.16
 57,	  5,	-0.02381,	-0.02381,	4106.27,	28825.43
 58,	  5,	-0.02370,	-0.02370,	4379.83,	33205.26
 59,	  5,	-0.02352,	-0.02352,	5053.59,	38258.85
 60,	  5,	-0.02338,	-0.02338,	5524.84,	43783.69
 61,	  5,	-0.02324,	-0.02324,	6259.47,	50043.16
 62,	  5,	-0.02310,	-0.02310,	6778.03,	56821.19
 63,	  5,	-0.02299,	-0.02299,	7744.47,	64565.66
 64,	  5,	-0.02283,	-0.02283,	8288.79,	72854.45
 65,	  5,	-0.02272,	-0.02272,	9505.79,	82360.24
 66,	  5,	-0.02260,	-0.02260,	10029.05,	92389.29
 67,	  5,	-0.02248,	-0.02248,	11302.78,	103692.07
 68,	  5,	-0.02234,	-0.02234,	11883.04,	115575.11
 69,	  5,	-0.02226,	-0.02226,	13461.80,	129036.92
 70,	  5,	-0.02211,	-0.02211,	13915.93,	142952.84
 71,	  5,	-0.02198,	-0.02198,	15701.17,	158654.01
 72,	  5,	-0.02187,	-0.02187,	17652.61,	176306.62
 73,	  5,	-0.02175,	-0.02175,	19812.72,	196119.34
 74,	  5,	-0.02165,	-0.02165,	22162.43,	218281.77
 75,	  5,	-0.02153,	-0.02153,	25215.99,	243497.75
 76,	  5,	-0.02142,	-0.02142,	27790.59,	271288.35
