beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04101,	-0.65608,	692.67,	692.67
  2,	  5,	-0.03960,	-0.63350,	192.70,	885.38
  8,	 20,	-0.03949,	-0.63176,	158.03,	1043.41
 12,	 20,	-0.03710,	-0.59341,	483.11,	1526.52
 16,	 20,	-0.03378,	-0.54032,	558.72,	2085.23
 20,	 20,	-0.03047,	-0.48738,	632.14,	2717.38
 24,	 20,	-0.02795,	-0.44706,	660.72,	3378.10
 28,	 20,	-0.02625,	-0.41977,	716.25,	4094.35
 32,	 20,	-0.02518,	-0.40265,	743.29,	4837.64
 36,	 20,	-0.02466,	-0.39432,	815.39,	5653.03
 40,	 20,	-0.02409,	-0.38519,	905.79,	6558.83
 44,	 20,	-0.02361,	-0.37749,	988.19,	7547.02
 48,	 20,	-0.02309,	-0.36919,	1813.27,	9360.29
 52,	 20,	-0.02251,	-0.36004,	2726.07,	12086.36
 56,	 20,	-0.02212,	-0.35367,	4329.72,	16416.08
 60,	 20,	-0.02169,	-0.34685,	6747.71,	23163.79
 64,	 20,	-0.02122,	-0.33936,	10056.89,	33220.68
 68,	 20,	-0.02083,	-0.33309,	13897.57,	47118.25
 72,	 20,	-0.02035,	-0.32534,	21099.87,	68218.12
 76,	 20,	-0.01989,	-0.31798,	33801.89,	102020.01
 80,	 20,	-0.01947,	-0.31137,	48827.16,	150847.17
