beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04115,	-0.16459,	582.15,	582.15
  2,	  5,	-0.04092,	-0.16364,	15.79,	597.94
  6,	 10,	-0.04091,	-0.16364,	102.68,	700.62
  8,	 10,	-0.04054,	-0.16213,	118.65,	819.27
 10,	 10,	-0.03902,	-0.15606,	220.96,	1040.23
 12,	 10,	-0.03714,	-0.14852,	308.37,	1348.60
 14,	 10,	-0.03517,	-0.14067,	355.70,	1704.30
 16,	 10,	-0.03317,	-0.13266,	409.87,	2114.17
 18,	 10,	-0.03152,	-0.12605,	485.27,	2599.45
 20,	 10,	-0.02994,	-0.11973,	532.25,	3131.70
 22,	 10,	-0.02862,	-0.11445,	574.52,	3706.22
 24,	 10,	-0.02754,	-0.11014,	602.52,	4308.74
 26,	 10,	-0.02673,	-0.10689,	613.86,	4922.60
 28,	 10,	-0.02608,	-0.10430,	650.46,	5573.06
 30,	 10,	-0.02559,	-0.10232,	659.27,	6232.33
 32,	 10,	-0.02524,	-0.10092,	711.51,	6943.84
 34,	 10,	-0.02492,	-0.09965,	764.90,	7708.74
 36,	 10,	-0.02466,	-0.09863,	768.44,	8477.18
 38,	 10,	-0.02454,	-0.09813,	619.50,	9096.68
 40,	 10,	-0.02429,	-0.09715,	644.27,	9740.95
 42,	 10,	-0.02403,	-0.09608,	426.25,	10167.19
 44,	 10,	-0.02376,	-0.09500,	665.63,	10832.82
 46,	 10,	-0.02346,	-0.09383,	993.04,	11825.86
 48,	 10,	-0.02321,	-0.09281,	1385.63,	13211.49
 50,	 10,	-0.02294,	-0.09174,	1867.43,	15078.91
 52,	 10,	-0.02269,	-0.09073,	3420.41,	18499.32
 54,	 10,	-0.02245,	-0.08978,	4248.38,	22747.70
 56,	 10,	-0.02221,	-0.08880,	4887.74,	27635.45
 58,	 10,	-0.02193,	-0.08768,	5558.67,	33194.11
 60,	 10,	-0.02176,	-0.08700,	6815.09,	40009.21
 62,	 10,	-0.02148,	-0.08588,	8521.28,	48530.49
 64,	 10,	-0.02129,	-0.08512,	10496.97,	59027.46
 66,	 10,	-0.02103,	-0.08410,	12766.52,	71793.98
 68,	 10,	-0.02080,	-0.08319,	15487.89,	87281.87
 70,	 10,	-0.02061,	-0.08242,	18334.00,	105615.87
 72,	 10,	-0.02043,	-0.08171,	22503.72,	128119.59
 74,	 10,	-0.02020,	-0.08078,	26910.30,	155029.89
 76,	 10,	-0.01997,	-0.07984,	32520.47,	187550.36
 78,	 10,	-0.01979,	-0.07914,	39688.45,	227238.81
 80,	 10,	-0.01955,	-0.07819,	46104.04,	273342.84
