beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04386,	-0.04386,	89.33,	89.33
  2,	  5,	-0.04386,	-0.04386,	0.00,	89.33
  5,	  5,	-0.04386,	-0.04386,	57.07,	146.41
  6,	  5,	-0.04370,	-0.04370,	59.04,	205.44
  7,	  5,	-0.04342,	-0.04342,	59.55,	264.99
  8,	  5,	-0.04288,	-0.04288,	53.84,	318.82
  9,	  5,	-0.04215,	-0.04215,	45.50,	364.32
 10,	  5,	-0.04135,	-0.04135,	41.30,	405.63
 11,	  5,	-0.04048,	-0.04048,	36.90,	442.52
 12,	  5,	-0.03955,	-0.03955,	36.71,	479.23
 13,	  5,	-0.03861,	-0.03861,	37.10,	516.33
 14,	  5,	-0.03766,	-0.03766,	37.00,	553.34
 15,	  5,	-0.03673,	-0.03673,	39.44,	592.78
 16,	  5,	-0.03581,	-0.03581,	41.01,	633.79
 17,	  5,	-0.03488,	-0.03488,	41.86,	675.65
 18,	  5,	-0.03405,	-0.03405,	43.88,	719.53
 19,	  5,	-0.03331,	-0.03331,	47.28,	766.80
 20,	  5,	-0.03259,	-0.03259,	48.42,	815.23
 21,	  5,	-0.03187,	-0.03187,	51.13,	866.35
 22,	  5,	-0.03126,	-0.03126,	53.58,	919.93
 23,	  5,	-0.03074,	-0.03074,	56.90,	976.83
 24,	  5,	-0.03029,	-0.03029,	60.35,	1037.19
 25,	  5,	-0.02986,	-0.02986,	64.24,	1101.43
 26,	  5,	-0.02949,	-0.02949,	66.71,	1168.14
 27,	  5,	-0.02913,	-0.02913,	70.08,	1238.21
 28,	  5,	-0.02880,	-0.02880,	77.17,	1315.38
 29,	  5,	-0.02854,	-0.02854,	83.95,	1399.33
 30,	  5,	-0.02832,	-0.02832,	92.78,	1492.11
 31,	  5,	-0.02809,	-0.02809,	83.79,	1575.90
 32,	  5,	-0.02787,	-0.02787,	88.06,	1663.96
 33,	  5,	-0.02771,	-0.02771,	91.72,	1755.68
 34,	  5,	-0.02755,	-0.02755,	99.41,	1855.09
 35,	  5,	-0.02740,	-0.02740,	104.31,	1959.40
 36,	  5,	-0.02729,	-0.02729,	112.88,	2072.28
 37,	  5,	-0.02708,	-0.02708,	120.00,	2192.28
 38,	  5,	-0.02692,	-0.02692,	130.05,	2322.33
 39,	  5,	-0.02682,	-0.02682,	137.77,	2460.10
 40,	  5,	-0.02673,	-0.02673,	149.91,	2610.01
 41,	  5,	-0.02641,	-0.02641,	292.02,	2902.03
 42,	  5,	-0.02624,	-0.02624,	318.50,	3220.52
 43,	  5,	-0.02604,	-0.02604,	494.44,	3714.96
 44,	  5,	-0.02582,	-0.02582,	544.80,	4259.76
 45,	  5,	-0.02568,	-0.02568,	753.00,	5012.77
 46,	  5,	-0.02555,	-0.02555,	836.76,	5849.52
 47,	  5,	-0.02535,	-0.02535,	1111.13,	6960.66
 48,	  5,	-0.02517,	-0.02517,	1234.92,	8195.58
 49,	  5,	-0.02497,	-0.02497,	1565.01,	9760.59
 50,	  5,	-0.02480,	-0.02480,	1727.96,	11488.54
 51,	  5,	-0.02467,	-0.02467,	2144.08,	13632.63
 52,	  5,	-0.02449,	-0.02449,	2417.76,	16050.39
 53,	  5,	-0.02437,	-0.02437,	2954.66,	19005.05
 54,	  5,	-0.02422,	-0.02422,	3235.53,	22240.58
 55,	  5,	-0.02411,	-0.02411,	3749.86,	25990.44
 56,	  5,	-0.02395,	-0.02395,	4092.91,	30083.35
 57,	  5,	-0.02380,	-0.02380,	4853.71,	34937.06
 58,	  5,	-0.02369,	-0.02369,	5304.15,	40241.21
 59,	  5,	-0.02348,	-0.02348,	6336.62,	46577.83
 60,	  5,	-0.02337,	-0.02337,	6655.86,	53233.69
 61,	  5,	-0.02322,	-0.02322,	7701.41,	60935.10
 62,	  5,	-0.02310,	-0.02310,	8341.61,	69276.71
 63,	  5,	-0.02298,	-0.02298,	9509.10,	78785.81
 64,	  5,	-0.02283,	-0.02283,	10441.23,	89227.04
 65,	  5,	-0.02270,	-0.02270,	11615.40,	100842.44
 66,	  5,	-0.02258,	-0.02258,	12298.16,	113140.60
 67,	  5,	-0.02248,	-0.02248,	13964.52,	127105.13
 68,	  5,	-0.02233,	-0.02233,	14475.05,	141580.18
 69,	  5,	-0.02219,	-0.02219,	16679.87,	158260.05
 70,	  5,	-0.02213,	-0.02213,	17523.75,	175783.80
 71,	  5,	-0.02200,	-0.02200,	19188.61,	194972.41
 72,	  5,	-0.02190,	-0.02190,	21656.08,	216628.49
 73,	  5,	-0.02175,	-0.02175,	24046.77,	240675.25
 74,	  5,	-0.02163,	-0.02163,	26362.40,	267037.65
