beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04226,	-0.16907,	987.06,	987.06
  2,	  5,	-0.03946,	-0.15787,	2556.84,	3543.90
  6,	 10,	-0.03932,	-0.15728,	1646.49,	5190.39
  8,	 10,	-0.03910,	-0.15641,	1367.79,	6558.18
 10,	 10,	-0.03845,	-0.15381,	1371.87,	7930.05
 12,	 10,	-0.03752,	-0.15008,	1310.42,	9240.47
 14,	 10,	-0.03657,	-0.14630,	1276.79,	10517.25
 16,	 10,	-0.03546,	-0.14184,	1307.54,	11824.79
 18,	 10,	-0.03441,	-0.13764,	1252.51,	13077.31
 20,	 10,	-0.03327,	-0.13309,	1274.00,	14351.31
 22,	 10,	-0.03225,	-0.12900,	1214.60,	15565.91
 24,	 10,	-0.03141,	-0.12566,	1193.56,	16759.47
 26,	 10,	-0.03063,	-0.12252,	1173.88,	17933.35
 28,	 10,	-0.02998,	-0.11994,	1184.27,	19117.62
 30,	 10,	-0.02945,	-0.11782,	1167.68,	20285.30
 32,	 10,	-0.02901,	-0.11605,	1098.57,	21383.87
 34,	 10,	-0.02862,	-0.11448,	1067.16,	22451.03
 36,	 10,	-0.02820,	-0.11280,	1062.71,	23513.73
 38,	 10,	-0.02783,	-0.11135,	1095.73,	24609.47
 40,	 10,	-0.02741,	-0.10967,	1090.17,	25699.64
 42,	 10,	-0.02705,	-0.10819,	1892.25,	27591.89
 44,	 10,	-0.02659,	-0.10636,	2246.74,	29838.63
 46,	 10,	-0.02625,	-0.10500,	2793.00,	32631.63
 48,	 10,	-0.02590,	-0.10360,	3414.34,	36045.97
 50,	 10,	-0.02561,	-0.10243,	4324.90,	40370.88
 52,	 10,	-0.02519,	-0.10077,	5334.51,	45705.38
 54,	 10,	-0.02485,	-0.09941,	6587.45,	52292.83
 56,	 10,	-0.02457,	-0.09829,	8193.50,	60486.33
 58,	 10,	-0.02423,	-0.09691,	9949.33,	70435.66
 60,	 10,	-0.02393,	-0.09572,	11823.04,	82258.71
 62,	 10,	-0.02361,	-0.09443,	14217.00,	96475.71
 64,	 10,	-0.02334,	-0.09335,	16725.70,	113201.40
 66,	 10,	-0.02312,	-0.09249,	18714.36,	131915.76
 68,	 10,	-0.02283,	-0.09131,	21852.99,	153768.75
 70,	 10,	-0.02250,	-0.09001,	23844.90,	177613.64
 72,	 10,	-0.02227,	-0.08910,	29338.12,	206951.76
 74,	 10,	-0.02205,	-0.08822,	35861.49,	242813.26
 76,	 10,	-0.02180,	-0.08722,	43267.22,	286080.48
 78,	 10,	-0.02158,	-0.08631,	52508.91,	338589.39
 80,	 10,	-0.02133,	-0.08531,	60767.67,	399357.06
