beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04114,	-0.16455,	464.02,	464.02
  2,	  5,	-0.04097,	-0.16387,	8.50,	472.52
  6,	 10,	-0.04094,	-0.16375,	86.23,	558.75
  8,	 10,	-0.04036,	-0.16140,	95.66,	654.41
 10,	 10,	-0.03885,	-0.15537,	155.43,	809.83
 12,	 10,	-0.03705,	-0.14818,	219.91,	1029.75
 14,	 10,	-0.03513,	-0.14051,	257.50,	1287.24
 16,	 10,	-0.03328,	-0.13309,	387.06,	1674.31
 18,	 10,	-0.03152,	-0.12606,	478.76,	2153.06
 20,	 10,	-0.02993,	-0.11972,	385.55,	2538.61
 22,	 10,	-0.02864,	-0.11452,	482.20,	3020.80
 24,	 10,	-0.02762,	-0.11044,	594.13,	3614.94
 26,	 10,	-0.02680,	-0.10716,	584.68,	4199.62
 28,	 10,	-0.02616,	-0.10463,	654.02,	4853.63
 30,	 10,	-0.02567,	-0.10266,	697.18,	5550.82
 32,	 10,	-0.02537,	-0.10147,	697.78,	6248.60
 34,	 10,	-0.02504,	-0.10014,	764.48,	7013.07
 36,	 10,	-0.02471,	-0.09883,	700.72,	7713.79
 38,	 10,	-0.02447,	-0.09784,	641.55,	8355.34
 40,	 10,	-0.02426,	-0.09700,	681.10,	9036.43
 42,	 10,	-0.02400,	-0.09598,	435.18,	9471.62
 44,	 10,	-0.02373,	-0.09489,	667.69,	10139.30
 46,	 10,	-0.02344,	-0.09375,	966.51,	11105.81
 48,	 10,	-0.02320,	-0.09279,	1381.11,	12486.92
 50,	 10,	-0.02293,	-0.09171,	1856.46,	14343.37
 52,	 10,	-0.02267,	-0.09067,	2456.01,	16799.39
 54,	 10,	-0.02239,	-0.08954,	3231.50,	20030.89
 56,	 10,	-0.02219,	-0.08875,	4564.40,	24595.29
 58,	 10,	-0.02194,	-0.08772,	5404.34,	29999.63
 60,	 10,	-0.02169,	-0.08672,	6860.99,	36860.62
 62,	 10,	-0.02152,	-0.08604,	8457.78,	45318.40
 64,	 10,	-0.02122,	-0.08487,	10238.32,	55556.73
 66,	 10,	-0.02100,	-0.08398,	12574.47,	68131.19
 68,	 10,	-0.02080,	-0.08317,	15045.99,	83177.19
 70,	 10,	-0.02058,	-0.08228,	17849.12,	101026.30
 72,	 10,	-0.02034,	-0.08134,	21745.82,	122772.12
 74,	 10,	-0.02011,	-0.08043,	25835.03,	148607.15
 76,	 10,	-0.02002,	-0.08007,	32028.97,	180636.12
 78,	 10,	-0.01975,	-0.07897,	39182.48,	219818.60
 80,	 10,	-0.01957,	-0.07825,	46012.85,	265831.45
