beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04304,	-2.75696,	733.70,	733.70
  2,	  5,	-0.04171,	-2.67169,	2256.72,	2990.42
  8,	 40,	-0.04171,	-2.67169,	99.60,	3090.02
 16,	 40,	-0.04166,	-2.66803,	4068.90,	7158.92
 24,	 40,	-0.03722,	-2.38327,	3081.30,	10240.23
 32,	 40,	-0.03322,	-2.12759,	2987.88,	13228.11
 40,	 40,	-0.03088,	-1.97758,	2658.15,	15886.26
 48,	 40,	-0.02881,	-1.84481,	5140.54,	21026.81
 56,	 40,	-0.02698,	-1.72804,	9585.97,	30612.78
 64,	 40,	-0.02561,	-1.64037,	18284.61,	48897.38
 72,	 40,	-0.02408,	-1.54216,	33675.41,	82572.80
 80,	 40,	-0.02286,	-1.46385,	65849.50,	148422.30
