beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04325,	-0.04325,	80.16,	80.16
  2,	  5,	-0.04325,	-0.04325,	0.00,	80.16
  5,	  5,	-0.04325,	-0.04325,	56.74,	136.90
  6,	  5,	-0.04325,	-0.04325,	56.93,	193.83
  7,	  5,	-0.04294,	-0.04294,	58.11,	251.94
  8,	  5,	-0.04244,	-0.04244,	52.52,	304.46
  9,	  5,	-0.04179,	-0.04179,	43.05,	347.52
 10,	  5,	-0.04102,	-0.04102,	34.31,	381.83
 11,	  5,	-0.04015,	-0.04015,	31.96,	413.78
 12,	  5,	-0.03927,	-0.03927,	29.82,	443.61
 13,	  5,	-0.03835,	-0.03835,	30.09,	473.69
 14,	  5,	-0.03750,	-0.03750,	30.43,	504.12
 15,	  5,	-0.03655,	-0.03655,	30.92,	535.04
 16,	  5,	-0.03560,	-0.03560,	32.34,	567.39
 17,	  5,	-0.03476,	-0.03476,	33.28,	600.67
 18,	  5,	-0.03397,	-0.03397,	34.82,	635.48
 19,	  5,	-0.03318,	-0.03318,	36.45,	671.93
 20,	  5,	-0.03249,	-0.03249,	37.95,	709.89
 21,	  5,	-0.03184,	-0.03184,	40.66,	750.54
 22,	  5,	-0.03123,	-0.03123,	42.39,	792.93
 23,	  5,	-0.03072,	-0.03072,	44.17,	837.11
 24,	  5,	-0.03021,	-0.03021,	46.94,	884.04
 25,	  5,	-0.02980,	-0.02980,	49.43,	933.47
 26,	  5,	-0.02939,	-0.02939,	54.16,	987.63
 27,	  5,	-0.02901,	-0.02901,	57.34,	1044.98
 28,	  5,	-0.02870,	-0.02870,	63.13,	1108.10
 29,	  5,	-0.02841,	-0.02841,	68.45,	1176.55
 30,	  5,	-0.02822,	-0.02822,	75.27,	1251.82
 31,	  5,	-0.02799,	-0.02799,	66.72,	1318.54
 32,	  5,	-0.02782,	-0.02782,	72.66,	1391.20
 33,	  5,	-0.02770,	-0.02770,	75.49,	1466.69
 34,	  5,	-0.02754,	-0.02754,	80.39,	1547.08
 35,	  5,	-0.02737,	-0.02737,	85.28,	1632.36
 36,	  5,	-0.02723,	-0.02723,	90.98,	1723.34
 37,	  5,	-0.02711,	-0.02711,	99.87,	1823.21
 38,	  5,	-0.02699,	-0.02699,	108.61,	1931.82
 39,	  5,	-0.02685,	-0.02685,	117.52,	2049.34
 40,	  5,	-0.02670,	-0.02670,	126.27,	2175.61
 41,	  5,	-0.02643,	-0.02643,	246.54,	2422.15
 42,	  5,	-0.02620,	-0.02620,	270.71,	2692.86
 43,	  5,	-0.02598,	-0.02598,	412.42,	3105.29
 44,	  5,	-0.02586,	-0.02586,	452.12,	3557.40
 45,	  5,	-0.02569,	-0.02569,	640.54,	4197.94
 46,	  5,	-0.02550,	-0.02550,	713.70,	4911.64
 47,	  5,	-0.02532,	-0.02532,	923.61,	5835.25
 48,	  5,	-0.02518,	-0.02518,	1045.05,	6880.30
 49,	  5,	-0.02501,	-0.02501,	1294.97,	8175.28
 50,	  5,	-0.02483,	-0.02483,	1436.95,	9612.23
 51,	  5,	-0.02471,	-0.02471,	1783.03,	11395.26
 52,	  5,	-0.02455,	-0.02455,	1975.94,	13371.19
 53,	  5,	-0.02439,	-0.02439,	2370.72,	15741.91
 54,	  5,	-0.02424,	-0.02424,	2644.19,	18386.10
 55,	  5,	-0.02407,	-0.02407,	3061.80,	21447.90
 56,	  5,	-0.02397,	-0.02397,	3523.37,	24971.27
 57,	  5,	-0.02381,	-0.02381,	4061.64,	29032.91
 58,	  5,	-0.02368,	-0.02368,	4443.83,	33476.75
 59,	  5,	-0.02353,	-0.02353,	5080.46,	38557.21
 60,	  5,	-0.02338,	-0.02338,	5598.31,	44155.52
 61,	  5,	-0.02326,	-0.02326,	6516.32,	50671.84
 62,	  5,	-0.02314,	-0.02314,	6978.82,	57650.66
 63,	  5,	-0.02296,	-0.02296,	7838.52,	65489.18
 64,	  5,	-0.02284,	-0.02284,	8218.63,	73707.80
 65,	  5,	-0.02272,	-0.02272,	9540.48,	83248.28
 66,	  5,	-0.02264,	-0.02264,	10370.85,	93619.13
 67,	  5,	-0.02246,	-0.02246,	11308.22,	104927.35
 68,	  5,	-0.02235,	-0.02235,	12182.48,	117109.83
 69,	  5,	-0.02222,	-0.02222,	13616.53,	130726.35
 70,	  5,	-0.02208,	-0.02208,	14125.85,	144852.20
 71,	  5,	-0.02198,	-0.02198,	15824.59,	160676.79
 72,	  5,	-0.02187,	-0.02187,	17484.43,	178161.22
 73,	  5,	-0.02175,	-0.02175,	19772.96,	197934.19
 74,	  5,	-0.02161,	-0.02161,	22212.46,	220146.65
 75,	  5,	-0.02153,	-0.02153,	24947.90,	245094.55
 76,	  5,	-0.02141,	-0.02141,	27827.26,	272921.80
