beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04085,	-2.61396,	934.88,	934.88
  2,	  5,	-0.04052,	-2.59222,	80.39,	1015.27
  8,	 40,	-0.04052,	-2.59222,	167.22,	1182.48
 16,	 40,	-0.03459,	-2.21245,	774.23,	1956.71
 24,	 40,	-0.02720,	-1.73932,	1042.50,	2999.21
 32,	 40,	-0.02363,	-1.51039,	1112.93,	4112.14
 40,	 40,	-0.02254,	-1.44064,	1069.83,	5181.97
 48,	 40,	-0.02176,	-1.39066,	2500.09,	7682.06
 56,	 40,	-0.02085,	-1.33237,	5863.25,	13545.32
 64,	 40,	-0.01994,	-1.27462,	12621.66,	26166.98
 72,	 40,	-0.01918,	-1.22544,	25247.46,	51414.44
 80,	 40,	-0.01854,	-1.18484,	59345.42,	110759.86
