beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04399,	-0.04399,	79.30,	79.30
  2,	  5,	-0.04399,	-0.04399,	0.00,	79.30
  5,	  5,	-0.04399,	-0.04399,	56.37,	135.68
  6,	  5,	-0.04399,	-0.04399,	56.49,	192.17
  7,	  5,	-0.04379,	-0.04379,	58.36,	250.53
  8,	  5,	-0.04317,	-0.04317,	51.23,	301.75
  9,	  5,	-0.04238,	-0.04238,	43.51,	345.26
 10,	  5,	-0.04158,	-0.04158,	37.49,	382.75
 11,	  5,	-0.04073,	-0.04073,	34.47,	417.22
 12,	  5,	-0.03985,	-0.03985,	32.59,	449.81
 13,	  5,	-0.03887,	-0.03887,	32.14,	481.95
 14,	  5,	-0.03792,	-0.03792,	32.73,	514.68
 15,	  5,	-0.03699,	-0.03699,	32.99,	547.67
 16,	  5,	-0.03602,	-0.03602,	35.13,	582.80
 17,	  5,	-0.03512,	-0.03512,	37.40,	620.20
 18,	  5,	-0.03427,	-0.03427,	38.39,	658.59
 19,	  5,	-0.03341,	-0.03341,	40.47,	699.06
 20,	  5,	-0.03260,	-0.03260,	43.16,	742.22
 21,	  5,	-0.03188,	-0.03188,	43.67,	785.89
 22,	  5,	-0.03129,	-0.03129,	45.85,	831.74
 23,	  5,	-0.03076,	-0.03076,	49.36,	881.10
 24,	  5,	-0.03027,	-0.03027,	52.44,	933.53
 25,	  5,	-0.02982,	-0.02982,	55.32,	988.85
 26,	  5,	-0.02942,	-0.02942,	58.98,	1047.84
 27,	  5,	-0.02909,	-0.02909,	62.85,	1110.68
 28,	  5,	-0.02881,	-0.02881,	68.97,	1179.65
 29,	  5,	-0.02856,	-0.02856,	75.10,	1254.75
 30,	  5,	-0.02830,	-0.02830,	80.76,	1335.51
 31,	  5,	-0.02810,	-0.02810,	75.57,	1411.09
 32,	  5,	-0.02794,	-0.02794,	80.06,	1491.14
 33,	  5,	-0.02779,	-0.02779,	82.62,	1573.77
 34,	  5,	-0.02758,	-0.02758,	88.49,	1662.26
 35,	  5,	-0.02738,	-0.02738,	93.23,	1755.48
 36,	  5,	-0.02727,	-0.02727,	100.74,	1856.22
 37,	  5,	-0.02705,	-0.02705,	107.30,	1963.53
 38,	  5,	-0.02693,	-0.02693,	117.77,	2081.29
 39,	  5,	-0.02671,	-0.02671,	125.19,	2206.49
 40,	  5,	-0.02654,	-0.02654,	134.43,	2340.92
 41,	  5,	-0.02638,	-0.02638,	267.31,	2608.23
 42,	  5,	-0.02622,	-0.02622,	292.07,	2900.30
 43,	  5,	-0.02602,	-0.02602,	440.24,	3340.54
 44,	  5,	-0.02586,	-0.02586,	487.19,	3827.73
 45,	  5,	-0.02567,	-0.02567,	685.27,	4513.00
 46,	  5,	-0.02550,	-0.02550,	761.31,	5274.31
 47,	  5,	-0.02535,	-0.02535,	1002.61,	6276.92
 48,	  5,	-0.02518,	-0.02518,	1122.96,	7399.89
 49,	  5,	-0.02501,	-0.02501,	1444.31,	8844.20
 50,	  5,	-0.02485,	-0.02485,	1594.24,	10438.43
 51,	  5,	-0.02471,	-0.02471,	1923.60,	12362.03
 52,	  5,	-0.02454,	-0.02454,	2157.66,	14519.68
 53,	  5,	-0.02443,	-0.02443,	2646.95,	17166.63
 54,	  5,	-0.02424,	-0.02424,	2912.91,	20079.54
 55,	  5,	-0.02411,	-0.02411,	3445.43,	23524.97
 56,	  5,	-0.02401,	-0.02401,	3822.64,	27347.61
 57,	  5,	-0.02383,	-0.02383,	4387.94,	31735.55
 58,	  5,	-0.02366,	-0.02366,	4936.15,	36671.69
 59,	  5,	-0.02353,	-0.02353,	5681.87,	42353.56
 60,	  5,	-0.02339,	-0.02339,	6151.11,	48504.67
 61,	  5,	-0.02321,	-0.02321,	7260.66,	55765.33
 62,	  5,	-0.02313,	-0.02313,	7683.57,	63448.90
 63,	  5,	-0.02302,	-0.02302,	8591.50,	72040.40
 64,	  5,	-0.02284,	-0.02284,	9161.30,	81201.70
 65,	  5,	-0.02264,	-0.02264,	10450.90,	91652.61
 66,	  5,	-0.02258,	-0.02258,	10958.36,	102610.96
 67,	  5,	-0.02245,	-0.02245,	12585.52,	115196.48
 68,	  5,	-0.02233,	-0.02233,	13273.54,	128470.02
 69,	  5,	-0.02217,	-0.02217,	14736.35,	143206.37
 70,	  5,	-0.02210,	-0.02210,	15347.80,	158554.17
 71,	  5,	-0.02196,	-0.02196,	17592.72,	176146.89
 72,	  5,	-0.02187,	-0.02187,	19718.04,	195864.92
 73,	  5,	-0.02169,	-0.02169,	21928.66,	217793.58
 74,	  5,	-0.02160,	-0.02160,	24544.25,	242337.83
 75,	  5,	-0.02150,	-0.02150,	26736.42,	269074.25
