beta, betaK, slope_Q, pred_Q_low, pred_Q_high
 12,   3, -0.038732, -0.008611, -0.026646
 16,   4, -0.037056, -0.023747, -0.031238
 20,   5, -0.034998, -0.028515, -0.032497
 24,   6, -0.033162, -0.029998, -0.032443
 28,   7, -0.031556, -0.030179, -0.031834
 32,   8, -0.030404, -0.029791, -0.030990
 36,   9, -0.029450, -0.029148, -0.030061
 40,  10, -0.028576, -0.028395, -0.029116
 44,  11, -0.027846, -0.027605, -0.028191
 48,  12, -0.026938, -0.026816, -0.027302
 52,  13, -0.026226, -0.026046, -0.026456
 56,  14, -0.025398, -0.025305, -0.025655
 60,  15, -0.024758, -0.024597, -0.024900
 64,  16, -0.024054, -0.023924, -0.024188
 68,  17, -0.023460, -0.023284, -0.023518
 72,  18, -0.022904, -0.022678, -0.022885
 76,  19, -0.022394, -0.022103, -0.022289
 80,  20, -0.021888, -0.021558, -0.021725
